"Freq [GHz]","dB(St(1,1)) []"
1,-3.06241334885028
1.006,-3.50156585204371
1.012,-3.87102431803126
1.018,-4.17391268667484
1.024,-4.41839421544268
1.03,-4.61152427210895
1.036,-4.7622780594625
1.042,-4.8779700325512
1.048,-4.96521578811371
1.054,-5.02926460336132
1.06,-5.07441330094963
1.066,-5.10408422389946
1.072,-5.12135322949784
1.078,-5.12768170796706
1.084,-5.12531835640594
1.09,-5.11550228550869
1.096,-5.09930649121515
1.102,-5.07764588089531
1.108,-5.05069006650842
1.114,-5.01994172188862
1.12,-4.98525484422307
1.126,-4.94712844544996
1.132,-4.90591443375668
1.138,-4.8619159860327
1.144,-4.81543656064809
1.15,-4.76660700161907
1.156,-4.71577171772327
1.162,-4.66310330382635
1.168,-4.6088335606389
1.174,-4.55317177235641
1.18,-4.49632139050538
1.186,-4.43848545743782
1.192,-4.37986682994698
1.198,-4.32066680828628
1.204,-4.26108339030257
1.21,-4.20130954082274
1.216,-4.14153160513883
1.222,-4.08192791263458
1.228,-4.02266758842882
1.234,-3.96390957926913
1.24,-3.90580189317524
1.246,-3.84848104706168
1.252,-3.79207171168234
1.258,-3.7366865376797
1.264,-3.68242613570559
1.27,-3.62937913560684
1.276,-3.57762173074058
1.282,-3.52016976533897
1.288,-3.47792548028443
1.294,-3.43063467545977
1.3,-3.38460995540066
1.306,-3.34005317912018
1.312,-3.29701167388706
1.318,-3.25550005065707
1.324,-3.21551973119162
1.33,-3.17706432922057
1.336,-3.14012174668987
1.342,-3.10467526015842
1.348,-3.07070423290701
1.354,-3.03818466630532
1.36,-3.00708967196563
1.366,-2.97738989910944
1.372,-2.94905393372515
1.378,-2.92204868049457
1.384,-2.89633974091206
1.39,-2.8718918156716
1.396,-2.84866920884931
1.402,-2.82663669742417
1.408,-2.80576194056941
1.414,-2.78602775897585
1.42,-2.76767568838623
1.426,-2.7493249336883
1.432,-2.73278110238071
1.438,-2.7171084982894
1.444,-2.70234836177231
1.45,-2.68847764842371
1.456,-2.67546638182897
1.462,-2.66328361243636
1.468,-2.65189876911417
1.474,-2.64128210574641
1.48,-2.63140488863033
1.486,-2.62223948785253
1.492,-2.61375942482797
1.498,-2.60593939589387
1.504,-2.59875528075778
1.51,-2.59218414026787
1.516,-2.58620420609485
1.522,-2.5807948640168
1.528,-2.57593663202831
