"Freq [GHz]","dB(St(3,1)) []"
1,-10.5501478862108
1.006,-10.6086402455206
1.012,-10.6469858344821
1.018,-10.6593250771112
1.024,-10.6838074017269
1.03,-10.6937687831573
1.036,-10.7004789314283
1.042,-10.7095404828496
1.048,-10.7186029298258
1.054,-10.7318259637868
1.06,-10.7474499767413
1.066,-10.7662425911993
1.072,-10.7835234967911
1.078,-10.813874781871
1.084,-10.8401301395875
1.09,-10.8678629560916
1.096,-10.8959035149061
1.102,-10.924259594135
1.108,-10.9411237923936
1.114,-10.9651660893507
1.12,-10.9834335271804
1.126,-10.9966544565701
1.132,-11.0063137042285
1.138,-11.0117686347895
1.144,-10.799017319676
1.15,-10.9783336781877
1.156,-10.9977049902025
1.162,-10.9897260927015
1.168,-10.9706151841731
1.174,-10.9362709916876
1.18,-10.9298412354431
1.186,-10.8971260807835
1.192,-10.8750383424562
1.198,-10.8192779979948
1.204,-10.7812642645617
1.21,-10.7011239321526
1.216,-10.7157732287686
1.222,-10.6676344541421
1.228,-10.6207942986348
1.234,-10.5728699866822
1.24,-10.5235962214089
1.246,-10.4730432521462
1.252,-10.4213951664786
1.258,-10.3688862841199
1.264,-10.3157448346039
1.27,-10.2620267024662
1.276,-10.2063962164801
1.282,-10.1527294201624
1.288,-10.097933377201
1.294,-10.0427762351512
1.3,-9.98751224144165
1.306,-9.93220148602982
1.312,-9.8768818468011
1.318,-9.82179936498801
1.324,-9.76656216566955
1.33,-9.71153729491188
1.336,-9.6566835783354
1.342,-9.60203427037965
1.348,-9.54771044780415
1.354,-9.4928245481103
1.36,-9.43905444657026
1.366,-9.38530489474217
1.372,-9.33177399251501
1.378,-9.27848316908006
1.384,-9.22544033771154
1.39,-9.17265321535789
1.396,-9.12013836937131
1.402,-9.06794155535605
1.408,-9.01620968502194
1.414,-8.96560207135053
1.42,-8.926186886565
1.426,-8.85285355900249
1.432,-8.8039119518567
1.438,-8.75305506687184
1.444,-8.70179205635894
1.45,-8.6503818294436
1.456,-8.59888741020166
1.462,-8.54731917639632
1.468,-8.4956686400256
1.474,-8.44391939979951
1.48,-8.39205153220432
1.486,-8.34004366562828
1.492,-8.28787410692979
1.498,-8.23552153364965
1.504,-8.18296546688267
1.51,-8.13018662291388
1.516,-8.07716719141668
1.522,-8.02389106467893
1.528,-7.97034403082452
1.534,-7.9165139380498
1.54,-7.86239083370361
1.546,-7.80796708029006
1.552,-7.75323744951245
1.558,-7.69819919496553
1.564,-7.64218632297499
1.57,-7.58380803136351
1.576,-7.52501667266203
1.582,-7.46580020438654
1.588,-7.40614636591782
1.594,-7.34604266701911
1.6,-7.28547637487554
1.606,-7.22443449954701
1.612,-7.16290377773463
1.618,-7.10087065477231
1.624,-7.03832126477197
1.63,-6.97524140887116
1.636,-6.91161653155823
1.642,-6.84743169508069
1.648,-6.78267155197907
1.654,-6.71732031582881
1.66,-6.65136173031807
1.666,-6.58477903683633
1.672,-6.51755494079707
1.678,-6.44967157696351
1.684,-6.38111047408529
1.69,-6.31185251918066
1.696,-6.24187792180429
1.702,-6.17116617861373
1.708,-6.09969603847156
1.714,-6.02744546817192
1.72,-5.9543916186249
1.726,-5.88051079091804
1.732,-5.80577840102199
1.738,-5.73016894088877
1.744,-5.6536559320977
1.75,-5.57621186568154
1.756,-5.49780811769377
1.762,-5.41841482333656
1.768,-5.33800068094852
1.774,-5.25653263673261
1.78,-5.1739753633426
1.786,-5.09029037212166
1.792,-5.00543444808407
1.798,-4.91935676549206
1.804,-4.83199325231805
1.81,-4.74325469050769
1.816,-4.65299879435308
1.822,-4.56095420317979
1.828,-4.46646169133766
1.834,-4.36717928654933
1.84,-4.2422670843232
1.846,-4.23707034739649
1.852,-4.10967060969514
1.858,-4.00487258396667
1.864,-3.90208192830537
1.87,-3.79897556145845
1.876,-3.69490396400832
1.882,-3.58960528024715
1.888,-3.48294771761299
1.894,-3.3748536925622
1.9,-3.26527182276939
1.906,-3.1541648558304
1.912,-3.04150381610195
1.918,-2.92726486823488
1.924,-2.81142746897268
1.93,-2.69397316531266
1.936,-2.57488472714464
1.942,-2.45414545282509
1.948,-2.33173855976792
1.954,-2.20764661091546
1.96,-2.08185095030644
1.966,-1.95433113557649
1.972,-1.82506436651647
1.978,-1.69402491914466
1.984,-1.56118360541036
1.99,-1.42650729022634
1.996,-1.28995850999159
2.002,-1.15149524939513
2.008,-1.0110709445544
2.014,-0.868634787982179
2.02,-0.724132411144266
2.026,-0.577507009522536
2.032,-0.428700949297789
2.038,-0.277657851477309
2.044,-0.124325088836565
2.05,0.0313434418000395
2.056,0.189384484457211
2.062,0.349822800733651
2.068,0.512669064751139
2.074,0.677918568879081
2.08,0.84555096594509
2.086,1.01553115868472
2.092,1.18781130235371
2.098,1.36233373977083
2.104,1.53903456985449
2.11,1.71784748457296
2.116,1.89870750534541
2.122,2.08155430308285
2.128,2.26746235162269
2.134,2.45696731658179
2.14,2.6491489914846
2.146,2.84403009102374
2.152,3.04163021747226
2.158,3.24196514792589
2.164,3.44504599591523
2.17,3.6508782271085
2.176,3.8594605058473
2.182,4.07078334595596
2.188,4.28482753565305
2.194,4.50156230252539
2.2,4.7209431805057
2.206,4.94290953683199
2.212,5.16738171343798
2.218,5.3942577348744
2.224,5.62340953525871
2.23,5.8546786637413
2.236,6.08787145273104
2.242,6.32275371564998
2.248,6.55904536540222
2.254,6.79641711491805
2.26,7.03450945882472
2.266,7.26912175058953
2.272,7.5102878786012
2.278,7.74723219186763
2.284,7.98240494923474
2.29,8.21499685841047
2.296,8.44405524665938
2.302,8.66850011940529
2.308,8.88712337668334
2.314,9.09858936976261
2.32,9.30144051823921
2.326,9.49411245780586
2.332,9.67498897739901
2.338,9.84151919047471
2.344,9.99373801107462
2.35,10.1284975992532
2.356,10.244430587852
2.362,10.340000140773
2.368,10.4138431280717
2.374,10.4648418604042
2.38,10.4921785010391
2.386,10.4953757303213
2.392,10.474320519875
2.398,10.4292672286035
2.404,10.3607865729964
2.41,10.2700539916041
2.416,10.1579377364457
2.422,10.026058773029
2.428,9.87599611992328
2.434,9.7094447112577
2.44,9.52814341860448
2.446,9.33382303207526
2.452,9.12816254268406
2.458,8.91274911478868
2.464,8.68901987357916
2.47,8.45804592390049
2.476,8.21921246689978
2.482,7.97511314197213
2.488,7.73434846943324
2.494,7.48918720598998
2.5,7.24138022372329
2.506,6.99215057809812
2.512,6.74224691806212
2.518,6.49222873551872
2.524,6.24254638148936
2.53,5.99357103691169
2.536,5.74561041887628
2.542,5.49891931714882
2.548,5.25370771808828
2.554,5.01014750144877
2.56,4.76837812655267
2.566,4.52851151958932
2.572,4.29063629209162
2.578,4.05482138405861
2.584,3.8211192062099
2.59,3.58956834410842
2.596,3.36019587829052
2.602,3.13301936744991
2.608,2.90804853547531
2.614,2.68528669747688
2.62,2.4647319547655
2.626,2.24637818404715
2.632,2.03021584188182
2.638,1.81623260176918
2.644,1.6044138381288
2.65,1.39474296902848
2.656,1.18720166789603
2.662,0.981769953762823
2.668,0.778426169974048
2.674,0.577146862886823
2.68,0.377906574935166
2.686,0.180677570537808
2.692,-0.0145704815354904
2.698,-0.207870839959625
2.704,-0.399260001733665
2.71,-0.588777952390188
