"Freq [GHz]","dB(St(1,4)) []"
1,-17.6678625242465
1.006,-16.3318289499688
1.012,-16.8055691477077
1.018,-18.0530593544481
1.024,-19.8327571000069
1.03,-22.0576003774119
1.036,-24.6582557442609
1.042,-27.4980845888475
1.048,-30.0054067271408
1.054,-31.1346451176419
1.06,-30.5272257255768
1.066,-29.2969309469153
1.072,-28.2917095313139
1.078,-27.2867544442524
1.084,-26.5732658037702
1.09,-26.0513733735886
1.096,-25.6827767634699
1.102,-25.4398951079175
1.108,-25.302763766836
1.114,-25.2569209042535
1.12,-25.291689817668
1.126,-25.3988192488856
1.132,-25.5716656848949
1.138,-25.8106892298429
1.144,-26.1015555695341
1.15,-26.4509732248798
1.156,-26.849485333891
1.162,-27.2890495863262
1.168,-27.7560584383833
1.174,-28.2293301333015
1.18,-28.6772874453689
1.186,-29.0565376172673
1.192,-29.3148116917268
1.198,-29.4012415787276
1.204,-29.2827575022762
1.21,-28.9576993372055
1.216,-28.4572506337134
1.222,-27.8304008417948
1.228,-27.129406155424
1.234,-26.3976362532573
1.24,-25.6663482955504
1.246,-24.9557850508965
1.252,-24.277886668686
1.258,-23.6389966331154
1.264,-23.0421214660058
1.27,-22.4892754298456
1.276,-21.9897131697575
1.282,-17.3555602902033
1.288,-17.2814603011251
1.294,-17.2135812853302
1.3,-17.159548502425
1.306,-17.1002296702415
1.312,-17.0539471768875
1.318,-16.9768861402332
1.324,-16.9538938727242
1.33,-16.9192304588839
1.336,-16.887337007132
1.342,-16.858834713166
1.348,-16.8333161100525
1.354,-16.8144325961751
1.36,-16.7952152322279
1.366,-16.780247892714
1.372,-16.7690399203777
1.378,-16.7630936780859
1.384,-16.7788794537779
1.39,-16.7068355746386
1.396,-16.7215719807317
1.402,-16.7068921344598
1.408,-16.751235934204
1.414,-16.7473107493818
1.42,-16.7508504575165
1.426,-16.9776105727693
1.432,-16.9408680134903
1.438,-16.9104692509483
1.444,-16.8534628724848
1.45,-16.6621556603221
1.456,-12.861758276573
1.462,-17.9842372207793
1.468,-17.0554433474171
1.474,-16.815794647502
1.48,-16.8165470723035
1.486,-16.8357722796313
1.492,-17.0949855161407
1.498,-16.843851169712
1.504,-16.8537271517014
1.51,-16.8597897876602
1.516,-16.8636221423055
1.522,-16.8631615567678
1.528,-16.8423173732788
1.534,-16.6304930003302
1.54,-16.7283403780803
1.546,-16.8416106471195
1.552,-16.8716813954949
1.558,-16.8874032377741
1.564,-16.8984786243809
1.57,-16.905941493322
1.576,-16.9120985509126
1.582,-16.9169439010968
1.588,-16.9204771443228
1.594,-16.9227033805456
1.6,-16.9236331346228
1.606,-16.9232822033899
1.612,-16.9216714253506
1.618,-16.918826375446
1.624,-16.9147769886392
1.63,-16.90955711687
1.636,-16.9032040239796
1.642,-16.8957578218829
1.648,-16.8872608473341
1.654,-16.8777569692533
1.66,-16.8672907945923
1.666,-16.8559066862968
1.672,-16.8436473582136
1.678,-16.8305513447195
