"Freq [GHz]","dB(St(5,1)) []"
1,-16.6225780677087
1.006,-16.3228552906152
1.012,-16.0601037295919
1.018,-15.8483448370861
1.024,-15.6872617606554
1.03,-15.5704948423486
1.036,-15.4918256159839
1.042,-15.4398630375906
1.048,-15.4118560626
1.054,-15.4018258035915
1.06,-15.4058043482686
1.066,-15.4207473739525
1.072,-15.4442383385486
1.078,-15.4746449781724
1.084,-15.5104681659166
1.09,-15.550674588245
1.096,-15.5944499647879
1.102,-15.641207013259
1.108,-15.6899728787299
1.114,-15.7411868071484
1.12,-15.7939676010673
1.126,-15.8481327394408
1.132,-15.903458948125
1.138,-15.9598195730486
1.144,-13.8379762182719
1.15,-13.8229402587031
1.156,-13.813458350374
1.162,-13.8102659031344
1.168,-13.8127503913345
1.174,-14.074972755706
1.18,-12.9609647076867
1.186,-11.6147946367313
1.192,-8.86621445201575
1.198,-18.6296492603114
1.204,-17.2705132002543
1.21,-13.4874657349029
1.216,-11.3814532190662
1.222,-15.9948771406245
1.228,-16.72522819586
1.234,-16.8777511453177
1.24,-16.8734676581836
1.246,-16.8397977036471
1.252,-16.8267821137999
1.258,-16.8471644150403
1.264,-16.8900094295771
1.27,-16.9156901521699
1.276,-16.7408138324532
1.282,-14.2310914104805
1.288,-14.2559127319809
1.294,-14.2802803414095
1.3,-14.3037802791664
1.306,-14.3263959038534
1.312,-14.3480320996245
1.318,-14.3686547288027
1.324,-14.38820643882
1.33,-14.4066550006188
1.336,-14.4239618373367
1.342,-14.4400988259243
1.348,-14.455084498086
1.354,-14.4684611455795
1.36,-14.4810027263521
1.366,-14.4921637107176
1.372,-14.5020208010022
1.378,-14.5105666774943
1.384,-14.5177370596275
1.39,-14.5239125092029
1.396,-14.5284868714851
1.402,-14.5318064383561
1.408,-14.5338203132259
1.414,-14.534469682442
1.42,-14.5328530115494
1.426,-14.5318569582882
1.432,-14.5285623173669
1.438,-14.5239520639682
1.444,-14.5180307207512
1.45,-14.5108091110229
1.456,-14.5023525440461
1.462,-14.492455575569
1.468,-14.4813837670817
1.474,-14.4690422363223
1.48,-14.455448767464
1.486,-14.440626925662
1.492,-14.4260707076436
1.498,-14.4071552561159
1.504,-14.3886789850693
1.51,-14.3689934758721
1.516,-14.3481265946826
1.522,-14.3260964067484
1.528,-14.3029200393473
1.534,-14.2786149131196
1.54,-14.2531990395237
1.546,-14.2266911085041
1.552,-14.1991105098805
1.558,-14.1704773277174
1.564,-14.1344077784554
1.57,-14.0792140005755
1.576,-14.0247341888453
1.582,-13.9709161339458
1.588,-13.9177099629494
1.594,-13.8650678549724
1.6,-13.8129437902754
1.606,-13.7612933308005
1.612,-13.7100734299749
1.618,-13.6592422695212
1.624,-13.6087591209941
1.63,-13.5585842297824
1.636,-13.5086787193738
1.642,-13.4590045137635
1.648,-13.4095242759908
1.654,-13.3602013608999
1.66,-13.3109997803491
1.666,-13.2618841792179
1.672,-13.2128198206911
1.678,-13.1637725794293
1.684,-13.1147089413612
1.69,-13.0655960089566
1.696,-13.0164015109551
1.702,-12.967093815641
1.708,-12.9176419468593
1.714,-12.8680156020703
1.72,-12.8181851718316
1.726,-12.7681217601899
1.732,-12.7177972055417
1.738,-12.6671841016064
1.744,-12.6162558182256
1.75,-12.5649865217796
1.756,-12.5133511950857
1.762,-12.4613256567305
1.768,-12.4088865798934
1.774,-12.3560115108689
1.78,-12.3026788877348
1.786,-12.2488680600422
1.792,-12.1945593112442
1.798,-12.1397338873794
1.804,-12.0843740397451
1.81,-12.0284631002298
1.816,-11.9719856402109
1.822,-11.914927876336
1.828,-11.8572789855968
1.834,-11.7990372702665
1.84,-11.7402762569301
1.846,-11.6801777419517
1.852,-11.6202570805098
1.858,-11.5594710928633
1.864,-11.4979998398299
1.87,-11.4358527128606
1.876,-11.3730278842497
1.882,-11.3095219140547
1.888,-11.2453315594469
1.894,-11.18045429759
1.9,-11.1148885224981
1.906,-11.0486336364778
1.912,-10.9816901018085
1.918,-10.914059475978
1.924,-10.8457444399132
1.93,-10.7767488234508
1.936,-10.7070776301327
1.942,-10.6367370624314
1.948,-10.5657345480374
1.954,-10.4940787675904
1.96,-10.4217796841002
1.966,-10.3488485742207
1.972,-10.2752980614873
1.978,-10.2011421515896
1.984,-10.1263962697229
1.99,-10.0510773000338
1.996,-9.97520362715314
2.002,-9.89879517978338
2.008,-9.82187347628393
2.014,-9.74446167216941
2.02,-9.66658460940829
2.026,-9.58826886737728
2.032,-9.50954281529292
2.038,-9.4304366659044
2.044,-9.35098253019139
2.05,-9.27121447276626
2.056,-9.19116856763303
2.062,-9.11088295390365
2.068,-9.03039789101766
2.074,-8.94975581295264
2.08,-8.86900138085084
2.086,-8.7881815334222
2.092,-8.70734553441614
2.098,-8.62654501638383
2.104,-8.54583401988099
2.11,-8.46526902718851
2.116,-8.38490898955528
2.122,-8.30481534689732
2.128,-8.22415766373485
2.134,-8.14308383018084
2.14,-8.06257327570765
2.146,-7.98268291205055
2.152,-7.90347066017628
2.158,-7.8249954204997
2.164,-7.74731703610741
2.17,-7.67049624852856
2.176,-7.5945946456108
2.182,-7.5196746010837
2.188,-7.4457992054229
2.194,-7.37303218766742
2.2,-7.30143782788919
2.206,-7.2310808600684
2.212,-7.16202636519121
2.218,-7.09433965445671
2.224,-7.02808614255725
2.23,-6.9633312110807
2.236,-6.90014006217104
2.242,-6.83857756267565
2.248,-6.77870807909873
2.254,-6.7205953037681
2.26,-6.66430207270079
2.266,-6.60989017571516
2.272,-6.55742015937188
2.278,-6.50695112331952
2.284,-6.45854051054863
2.29,-6.4122438918886
2.296,-6.36811474475833
2.302,-6.32620422561943
2.308,-6.28656093463061
2.314,-6.24923066941267
2.32,-6.21425616214995
2.326,-6.18167678963809
2.332,-6.15152823772025
2.338,-6.12384208657547
2.344,-6.09864525464377
2.35,-6.07595918115385
2.356,-6.05579850331978
2.362,-6.03816869858387
2.368,-6.02306144200701
2.374,-6.01044439882597
2.38,-6.00023556882548
2.386,-5.9922263029658
2.392,-5.98578437051902
2.398,-5.97830395510031
2.404,-5.98244269990976
2.41,-6.00000066317736
2.416,-6.0042618167132
2.422,-6.01171967081289
2.428,-6.02214606818885
2.434,-6.03529889649305
2.44,-6.05104663283931
2.446,-6.06930407886336
2.452,-6.09000520358564
2.458,-6.11309190499422
2.464,-6.13850899573583
2.47,-6.1662018153764
2.476,-6.19611504854262
2.482,-6.22819213923862
2.488,-6.26237501873572
2.494,-6.29860400689091
2.5,-6.33681781316031
2.506,-6.37695359643257
2.512,-6.41894705994028
2.518,-6.46273256687175
2.524,-6.50824326764956
2.53,-6.55541123301812
2.536,-6.60416758904623
2.542,-6.65444265141116
2.548,-6.70616605717167
2.554,-6.75926689281846
2.56,-6.8136738178056
2.566,-6.86931518307179
2.572,-6.92611914429027
2.578,-6.98401376976177
2.584,-7.04292714300054
2.59,-7.10278746016764
2.596,-7.16352312258473
2.602,-7.22506282461985
2.608,-7.28733563727725
2.614,-7.35027108784852
2.62,-7.41379923599425
2.626,-7.47785074662607
2.632,-7.54235695994886
2.638,-7.60724995900483
2.644,-7.67246263503498
2.65,-7.73792875094165
2.656,-7.80358300309851
2.662,-7.86936108171361
2.668,-7.93519972990696
2.674,-8.00103680161926
2.68,-8.0668113184217
2.686,-8.1324635252515
2.692,-8.19793494505304
2.698,-8.26316843226244
2.704,-8.32810822503393
2.71,-8.39269999607078
2.716,-8.4568909018928
2.722,-8.52062963034574
2.728,-8.58386644613783
2.734,-8.64655323417381
2.74,-8.70864354044868
2.746,-8.77009261026113
2.752,-8.83085742351185
2.758,-8.89089672686269
2.764,-8.95017106255082
2.77,-9.00864279367533
2.776,-9.0662761258039
2.782,-9.12303712478103
2.788,-9.1788937306584
2.794,-9.23381576770915
2.8,-9.28777495052997
2.806,-9.34074488627608
2.812,-9.3927010731093
2.818,-9.44362089496477
2.824,-9.49348361274949
2.83,-9.54227035206486
2.836,-9.58996408748089
2.842,-9.63654962325942
2.848,-9.68201357019644
2.854,-9.72634431788402
2.86,-9.7695320011201
2.866,-9.81156845833434
2.872,-9.85244717864206
2.878,-9.89216323234972
2.884,-9.93071317726508
2.89,-9.96809492987883
2.896,-10.0043075863404
2.902,-10.0393511733496
2.908,-10.073226304344
2.914,-10.1059337133464
2.92,-10.1374736407821
2.926,-10.1678450578873
2.932,-10.1970447467439
2.938,-10.2250663100317
2.944,-10.251899272772
2.95,-10.2775285481105
2.956,-10.3019346336463
2.962,-10.3250949120893
2.968,-10.346986261302
2.974,-10.3675887891265
2.98,-10.3868899835947
2.986,-10.4048881592904
2.992,-10.4215940869224
2.998,-10.4370302304692
3.004,-10.4512278561978
3.01,-10.4642229724877
3.016,-10.4760522699727
