"Freq [GHz]","dB(St(1,1)) []"
1,-1.75776148120574
1.006,-2.01862173326106
1.012,-2.04513395666768
1.018,-1.98498383170334
1.024,-1.86805499523869
1.03,-1.71188508479157
1.036,-1.52939223806366
1.042,-1.3307498328528
1.048,-1.12358495455871
1.054,-0.914190008568831
1.06,-0.706837589069195
1.066,-0.505421583611601
1.072,-0.312426201789572
1.078,-0.130004451877103
1.084,0.0406367200776968
1.09,0.198467545581908
1.096,0.34288993300329
1.102,0.473586806072702
1.108,0.590475126447209
1.114,0.693646429140403
1.12,0.783359386357713
1.126,0.859991099008409
1.132,0.924020049023791
1.138,0.976002605344833
1.144,1.01656129100895
1.15,1.04635876948737
1.156,1.06609277994018
1.162,1.07648221610417
1.168,1.07824681767177
1.174,1.07203205224351
1.18,1.05890702711202
1.186,1.03908503405876
1.192,1.0134711231208
1.198,0.982694658772384
1.204,0.947374478387538
1.21,0.908240016299243
1.216,0.86528398029606
1.222,0.819662399192209
1.228,0.771583016794799
1.234,0.721489412828448
1.24,0.669778918625258
1.246,0.616811334003695
1.252,0.562911592784397
1.258,0.508372548289467
1.264,0.453459675743058
1.27,0.398424652002402
1.276,0.343598075617564
1.282,0.28304492218743
1.288,0.234250031956995
1.294,0.180527958312219
1.3,0.127343554410085
1.306,0.0749172799519275
1.312,0.0233333262313428
1.318,-0.0273556612007106
1.324,-0.077112191978642
1.33,-0.125910270363942
1.336,-0.17373663736994
1.342,-0.22060422587177
1.348,-0.266711494443599
1.354,-0.310238025579207
1.36,-0.354543718182908
1.366,-0.397414604552674
1.372,-0.439251305759589
1.378,-0.480106168769097
1.384,-0.520008014598492
1.39,-0.558982107729096
1.396,-0.597053382807985
1.402,-0.634246768392314
1.408,-0.670586269055826
1.414,-0.70609015970996
1.42,-0.740678567846736
1.426,-0.774885808315029
1.432,-0.808039705175159
1.438,-0.840505824246077
1.444,-0.872280466323104
1.45,-0.903385093016639
1.456,-0.933845140684528
1.462,-0.963688285386998
1.468,-0.992944424891826
1.474,-1.02164593311499
1.48,-1.04982790617315
1.486,-1.07752831355108
1.492,-1.10478802361599
1.498,-1.13165069852487
1.504,-1.15816256941115
1.51,-1.18437211283965
1.516,-1.21032965499273
1.522,-1.23608693159
1.528,-1.26169662997824
1.534,-1.28721193612561
1.54,-1.31268610438201
1.546,-1.33817206266301
1.552,-1.3637220608071
1.558,-1.38938736564569
1.564,-1.4151894491769
1.57,-1.44115515433085
1.576,-1.46743264429257
1.582,-1.49405957516289
1.588,-1.52107178140461
1.594,-1.54850321496429
1.6,-1.57638592132456
1.606,-1.60475004704099
1.612,-1.63362387336843
1.618,-1.66303387072442
1.624,-1.69300476889901
1.63,-1.72355963799786
1.636,-1.75471997493975
1.642,-1.7865057896253
1.648,-1.81893568303733
1.654,-1.85202690511515
1.66,-1.88579536972588
1.666,-1.9202555776216
1.672,-1.95542032531144
1.678,-1.99129984728333
1.684,-2.02789915684466
1.69,-2.06520783778715
1.696,-2.10313781243291
1.702,-2.13946430266746
1.708,-2.18296740897723
1.714,-2.22307729056795
1.72,-2.26427009845041
1.726,-2.30633655493903
1.732,-2.3492493665935
1.738,-2.39300643696205
1.744,-2.43761209052134
1.75,-2.48307250436174
1.756,-2.52939357782954
1.762,-2.57657725819483
1.768,-2.62459735321406
1.774,-2.67490624089175
1.78,-2.72367639337145
1.786,-2.77440820748739
1.792,-2.82608696504227
1.798,-2.87869656257579
1.804,-2.9322350638333
1.81,-2.98678581121415
1.816,-3.04218204468185
1.822,-3.0985674835087
1.828,-3.15591619705309
1.834,-3.21423258102665
1.84,-3.27352208960244
1.846,-3.33378881311558
1.852,-3.39503945422548
1.858,-3.45727677784928
1.864,-3.52050455423388
1.87,-3.58472564023327
1.876,-3.64994214521515
1.882,-3.71615539819427
1.888,-3.78336591141421
1.894,-3.85157335785782
1.9,-3.92077660478632
1.906,-3.9909740909718
1.912,-4.06217154584485
1.918,-4.13431871187395
1.924,-4.20747510926781
1.93,-4.28160120463047
1.936,-4.35669209979579
1.942,-4.43273869674848
1.948,-4.50972963098297
1.954,-4.58765061487464
1.96,-4.66648230243227
1.966,-4.74619384026541
1.972,-4.82671750163629
1.978,-4.90777809777176
1.984,-4.96765190330971
1.99,-5.07587165183962
1.996,-5.15941405136284
2.002,-5.24419200741139
2.008,-5.32986711739521
2.014,-5.41635616661692
2.02,-5.50361563412672
2.026,-5.59161212220045
2.032,-5.6803150476322
2.038,-5.76969418179604
2.044,-5.85971862327539
2.05,-5.95035628211752
2.056,-6.04157357122216
2.062,-6.13333518856457
2.068,-6.22560394082801
2.074,-6.31834058571607
2.08,-6.41150368192062
2.086,-6.50504944128018
2.092,-6.5989315805033
2.098,-6.69310117139041
2.104,-6.78750648940995
2.11,-6.88209286107963
2.116,-6.97680251102476
2.122,-7.07157440991181
2.128,-7.16788172858727
2.134,-7.265621730208
2.14,-7.36319777467944
2.146,-7.46056536534789
2.152,-7.55767834489947
2.158,-7.65448885986483
2.164,-7.75094732907839
2.17,-7.84700241733809
2.176,-7.94260101572934
2.182,-8.0376882303254
2.188,-8.13220738125971
2.194,-8.22610001448954
2.2,-8.31930592894747
2.206,-8.41176322222025
2.212,-8.50340835842718
2.218,-8.5941762626254
2.224,-8.6840004468967
2.23,-8.77281317434678
2.236,-8.86054566868729
2.242,-8.94712837904962
2.248,-9.03249131247254
2.254,-9.11656445053614
2.26,-9.19927827256405
2.266,-9.28056441677231
2.272,-9.36035652450525
2.278,-9.4385913342781
2.284,-9.51521012693313
2.29,-9.59016067998417
2.296,-9.66339998490193
2.302,-9.7348981472345
2.308,-9.80464418789429
2.314,-9.87265502113554
2.32,-9.9389899721043
2.326,-10.0037754295525
2.332,-10.0672490906272
2.338,-10.1298445779746
2.344,-10.1923656805751
2.35,-10.2563771373722
2.356,-10.3251646338889
2.362,-10.4062080019454
2.368,-10.5148303719202
2.374,-10.6105717371332
2.38,-10.4563788207932
2.386,-10.4044675248891
2.392,-10.4309267486723
2.398,-10.4663936907627
2.404,-10.4998131884746
2.41,-10.529655778521
2.416,-10.5558953797838
2.422,-10.578732274411
2.428,-10.5983682838912
2.434,-10.6149734154017
2.44,-10.6286887960072
2.446,-10.6396346049529
