"Freq [GHz]","dB(St(6,7)) []"
1,-11.8642919771969
1.006,-27.1846475493826
1.012,-23.1930900476861
1.018,-18.929652357408
1.024,-16.2512523689144
1.03,-14.4000599927537
1.036,-13.0316396999951
1.042,-11.9732800473717
1.048,-11.1292468737527
1.054,-10.4418604968727
1.06,-9.87469943710204
1.066,-9.4030410725748
1.072,-9.01168418920992
1.078,-8.6830876223381
1.084,-8.41362329526947
1.09,-8.19441643960466
1.096,-8.0203024522944
1.102,-7.88709683418933
1.108,-7.79163135474732
1.114,-7.73054468399337
1.12,-7.70173218714477
1.126,-7.70308893848275
1.132,-7.73285335122341
1.138,-7.78931286335981
1.144,-7.87134256116575
1.15,-7.97735690686662
1.156,-8.1062793781189
1.162,-8.25702877620903
1.168,-8.42863680024789
1.174,-8.62048968226904
1.18,-8.83044016269587
1.186,-9.0595435300449
1.192,-9.30626636741385
1.198,-9.57006712307593
1.204,-9.85038134546135
1.21,-10.145800307028
1.216,-10.4593948699506
1.222,-10.7867237315966
1.228,-11.1291428400919
1.234,-11.4863395037807
1.24,-11.8581144829112
1.246,-12.2443334585691
1.252,-12.6449172271715
1.258,-13.0598266414097
1.264,-13.4890131602283
1.27,-13.9321991084638
1.276,-14.3871123177961
1.282,-14.9145950650226
1.288,-15.3502778666803
1.294,-15.8508832230055
1.3,-16.3673104066246
1.306,-16.8983720329624
1.312,-17.4439583148163
1.318,-18.0040413776615
1.324,-18.5784618551346
1.33,-19.1668016478505
1.336,-19.7682703084381
1.342,-20.3817494352511
1.348,-21.0086916610389
1.354,-21.6076902708148
1.36,-22.2403890942706
1.366,-22.8515573757921
1.372,-23.434672746238
1.378,-23.9706210219621
1.384,-24.4339704698155
1.39,-24.7946657010765
1.396,-25.021950942175
1.402,-25.0908231340478
1.408,-24.9890884199363
1.414,-24.721415689753
1.42,-24.3057132878781
1.426,-23.7852199755048
1.432,-23.1751992247872
1.438,-22.5143087427097
1.444,-21.8263223560864
1.45,-21.1296622753
1.456,-20.4375870356494
1.462,-19.7592559830847
1.468,-19.1007971473698
1.474,-18.4661833487345
1.48,-17.8578887427784
1.486,-17.2773568916298
1.492,-16.7253248515075
1.498,-16.2020437148819
1.504,-15.7074272270385
1.51,-15.2411514943832
1.516,-14.8027219080596
1.522,-14.3915183352006
1.528,-14.0068260581938
1.534,-13.6478574823435
1.54,-13.3137679556352
1.546,-13.003667905044
1.552,-12.7166327189964
1.558,-12.4517112776268
1.564,-12.2077470319701
1.57,-11.9839614699444
1.576,-11.7802004578498
1.582,-11.5954338829032
1.588,-11.428692181518
1.594,-11.2790598051059
1.6,-11.1456699785791
1.606,-11.0277004721518
1.612,-10.9243701649453
1.618,-10.8349362251693
1.624,-10.7586917686336
1.63,-10.694963886783
1.636,-10.6431119586186
1.642,-10.6025261786122
1.648,-10.5726262453296
1.654,-10.5528601622426
1.66,-10.5427031000945
1.666,-10.5416562494974
1.672,-10.5492455218374
1.678,-10.5650197210896
1.684,-10.5885468959218
1.69,-10.6194028968739
1.696,-10.6571059519976
1.702,-10.6989793368
1.708,-10.7537899048093
1.714,-10.8102393382811
1.72,-10.8726697323831
1.726,-10.9405776924427
1.732,-11.0136679151727
1.738,-11.0916897078367
1.744,-11.1744169972968
1.75,-11.2616432183539
1.756,-11.3531790554566
1.762,-11.4488499580207
