"Freq [GHz]","dB(St(1,6)) []"
1,-18.84254657847
1.006,-14.7132773469788
1.012,-12.1547834879197
1.018,-10.3219266052445
1.024,-8.93162444502534
1.03,-7.85139156516559
1.036,-7.00211074616372
1.042,-6.33001660691739
1.048,-5.79615275781215
1.054,-5.3712442951611
1.06,-5.03224168970833
1.066,-4.75490134490527
1.072,-4.62659891689928
1.078,-4.42419054576434
1.084,-4.30100919664869
1.09,-4.2156752238275
1.096,-4.16121299473942
1.102,-4.13340243641522
1.108,-4.12915392631366
1.114,-4.1460839796368
1.12,-4.18230538712904
1.126,-4.23627822122094
1.132,-4.30661924470408
1.138,-4.39059318473115
1.144,-4.4979864520135
1.15,-4.61149884419951
1.156,-4.73980660103865
1.162,-4.88119885171427
1.168,-5.03501333552067
1.174,-5.20072085694859
1.18,-5.37783824441574
1.186,-5.5659057411428
1.192,-5.76447811349064
1.198,-5.97312076364838
1.204,-6.19140838256058
1.21,-6.41892507363559
1.216,-6.65526525383618
1.222,-6.90003470468399
1.228,-7.15285104069555
1.234,-7.41334255374405
1.24,-7.68114369207098
1.246,-7.95588379751623
1.252,-8.23716143215071
1.258,-8.52448319529399
1.264,-8.81709233459311
1.27,-9.11330565918833
1.276,-9.405506863918
1.282,-9.81043067212135
1.288,-10.0395171166029
1.294,-10.3539544254744
1.3,-10.6737130841293
1.306,-10.9964017120181
1.312,-11.3215029875729
1.318,-11.6488211106912
1.324,-11.9782309268555
1.33,-12.3096099184771
1.336,-12.6428298308914
1.342,-12.9778748855821
1.348,-13.3164784425244
1.354,-13.6389572487206
1.36,-13.9798874335268
1.366,-14.3148996171529
1.372,-14.6472174259753
1.378,-14.9771757466726
1.384,-15.3084536690731
1.39,-15.657306775384
1.396,-16.0743028176282
1.402,-16.5528923286469
1.408,-19.406032331044
1.414,-19.3350800216035
1.42,-19.5554925546162
1.426,-19.7701059821136
1.432,-19.981115089189
1.438,-20.1882660790331
1.444,-20.3915791867676
1.45,-20.5910569968559
1.456,-20.7867478413376
1.462,-20.9782752480608
1.468,-21.1660497492544
1.474,-21.3499656363601
1.48,-21.5297877660586
1.486,-21.705809202261
1.492,-21.8779365132471
1.498,-22.0462466216071
1.504,-22.2107362179386
1.51,-22.371464031192
1.516,-22.5284705721022
1.522,-22.6817397560731
1.528,-22.8340259280261
1.534,-22.9783976415893
1.54,-23.1211974128351
1.546,-23.2607069919966
1.552,-23.3969561128917
1.558,-23.5300137538098
1.564,-23.6600492277315
1.57,-23.7873409170451
1.576,-23.9117493278896
1.582,-24.0334169648096
1.588,-24.1524825669652
1.594,-24.2690815304869
1.6,-24.383346302095
1.606,-24.495406747581
1.612,-24.6053904989544
1.618,-24.7134232845679
1.624,-24.8196292475158
1.63,-24.9241312593761
1.636,-25.0270512395385
1.642,-25.1285104961634
1.648,-25.2286301159154
1.654,-25.3275314521448
1.66,-25.4253368105742
1.666,-25.5221705502807
1.672,-25.6181611380222
1.678,-25.7134456939231
1.684,-25.8081823714633
1.69,-25.9025953208493
1.696,-25.9972430780398
1.702,-26.1017423835165
1.708,-26.1788976826452
1.714,-26.2740222362276
1.72,-26.3681560134279
1.726,-26.4624323140831
1.732,-26.5572217682434
1.738,-26.6528329432709
1.744,-26.7496327916345
1.75,-26.8481608479743
1.756,-26.949420559604
1.762,-27.056046372482
1.768,-27.1809151228591
1.774,-26.5189615317309
1.78,-27.2982015465211
1.786,-27.4252896488489
1.792,-27.5418080401454
1.798,-27.6592529797087
1.804,-27.7910736644535
1.81,-27.7416439550716
1.816,-27.9545518203029
1.822,-28.0765469285145
1.828,-28.1925960641915
1.834,-28.3077882565825
1.84,-28.4256667356861
1.846,-28.5451638433533
1.852,-28.6675823684912
1.858,-28.7924811153361
1.864,-28.9200469757703
1.87,-29.0503856134093
1.876,-29.1835993882061
1.882,-29.3197903699816
1.888,-29.4590570140098
1.894,-29.6014821983758
1.9,-29.747089033535
1.906,-29.89559692004
1.912,-30.0418661808258
1.918,-30.2127588381031
1.924,-30.3707683615817
1.93,-30.5350270996369
1.936,-30.703940738295
1.942,-30.8774349459579
1.948,-31.0556180094276
1.954,-31.2386459533277
1.96,-31.4266878155298
1.966,-31.6199006102391
1.972,-31.8183704785277
1.978,-32.0217837087862
1.984,-32.1996599415434
1.99,-32.4518164850681
1.996,-32.6713175344544
2.002,-32.8946920004751
2.008,-33.1135016431043
2.014,-33.2693319307364
2.02,-34.0106693454394
2.026,-34.0449118706803
2.032,-34.2967632214167
2.038,-34.5843293105504
2.044,-34.8968984940827
2.05,-35.2366501644516
2.056,-35.6124941739927
2.062,-36.0441603878518
2.068,-36.577783726012
2.074,-37.3324404755046
2.08,-37.904146611068
2.086,-33.0477979883057
2.092,-35.4278345664287
2.098,-36.4115287661369
2.104,-37.0542643885568
2.11,-37.581247713491
2.116,-38.0581056652746
2.122,-38.5095235323021
2.128,-38.8940646093747
2.134,-39.2091605627213
2.14,-39.4998188967479
2.146,-39.7596565059641
2.152,-39.9819434378418
2.158,-40.1599578864489
2.164,-40.2874491052097
2.17,-40.3591603845292
2.176,-40.3713310674351
2.182,-40.3220796274923
2.188,-40.2115824325425
2.194,-40.0420064953187
2.2,-39.8172146986843
2.206,-39.5423146386368
2.212,-39.2231477012464
2.218,-38.8658084726642
2.224,-38.4762558427506
2.23,-38.0600419271816
2.236,-37.6221558275301
2.242,-37.1669617952624
2.248,-36.6982050097617
2.254,-36.2190594073087
2.26,-35.7321969906373
2.266,-35.2398640038692
2.272,-34.743954714556
2.278,-34.2460776946898
2.284,-33.7476123867988
2.29,-33.249755582773
2.296,-32.7535585023056
2.302,-32.2599556835354
2.308,-31.7697870869426
2.314,-31.283814807089
2.32,-30.802735683665
2.326,-30.327190970824
2.332,-29.8577741114731
2.338,-29.3950376168495
2.344,-28.9395001325586
2.35,-28.4916550920122
2.356,-28.0519831587058
2.362,-27.6209725174212
2.368,-27.1991554940844
2.374,-26.7871812808713
2.38,-26.3859767401844
2.386,-25.9971538842037
2.392,-25.6242587862369
2.398,-25.2779196669105
2.404,-25.0127239237698
2.41,-24.4764673584967
2.416,-23.9588806110384
2.422,-23.6794668668597
2.428,-23.3723178912694
2.434,-23.0631099817755
2.44,-22.7583574624886
2.446,-22.4603654406167
2.452,-22.170098102389
2.458,-21.8879792482855
2.464,-21.614176410831
2.47,-21.3487198282316
2.476,-21.0915588336217
2.482,-20.8425913779274
2.488,-20.6016808512676
2.494,-20.3686664111544
2.5,-20.1433697636459
2.506,-19.9255998892104
2.512,-19.7151565106481
2.518,-19.5118327494395
2.524,-19.3154172308364
2.53,-19.1256957953226
2.536,-18.9424529154331
2.542,-18.7654728824347
2.548,-18.5945408065871
2.554,-18.4294434618804
2.56,-18.2699699980668
2.566,-18.1159125376114
2.572,-17.9670666717526
2.578,-17.823231867533
2.584,-17.6842117960156
2.59,-17.5498145906907
2.596,-17.4198530441321
2.602,-17.2941447501987
2.608,-17.172512198416
2.614,-17.0547828265907
2.62,-16.9407890371745
2.626,-16.8303681824002
2.632,-16.7233625227454
2.638,-16.6196191628392
2.644,-16.5189899685143
2.65,-16.4213314683187
2.656,-16.3265047424351
2.662,-16.2343753016181
2.668,-16.1448129584477
2.674,-16.0576916929054
2.68,-15.9728895140182
2.686,-15.8902883190768
2.692,-15.8097737517145
2.698,-15.7312350599423
2.704,-15.6545649550606
2.71,-15.5796594722155
2.716,-15.5064178332286
2.722,-15.4347423122163
2.728,-15.364538104405
2.734,-15.2957131984629
2.74,-15.2281782525927
2.746,-15.1618464745605
2.752,-15.0966335057866
2.758,-15.032457309573
2.764,-14.9692380635084
2.77,-14.9068980560583
2.776,-14.8453615873263
2.782,-14.7845548739506
2.788,-14.7244059580899
2.794,-14.6648446204409
2.8,-14.6058022972247
2.806,-14.5472120010766
2.812,-14.4890082457759
2.818,-14.4311269747547
2.824,-14.373505493328
2.83,-14.3160824045995
2.836,-14.2587975490028
2.842,-14.2015919474504
2.848,-14.1444077480765
2.854,-14.0871881765726
2.86,-14.0298774901319
2.866,-13.9724209350345
2.872,-13.9147647079265
2.878,-13.8568559208655
2.884,-13.7986425702276
2.89,-13.7400735095951
2.896,-13.6810984267723
2.902,-13.6216678251021
2.908,-13.5617330092911
2.914,-13.5012460759808
2.92,-13.4401599093421
2.926,-13.3784281820087
2.932,-13.3160053617077
2.938,-13.2528467239957
2.944,-13.1889083715563
2.95,-13.1241472605756
2.956,-13.0585212347694
2.962,-12.9919890677063
2.968,-12.9245105141407
2.974,-12.8560463711532
2.98,-12.7865585499771
2.986,-12.7160101594895
2.992,-12.6443656024425
2.998,-12.5715906856245
3.004,-12.4976527452561
3.01,-12.4225207890583
3.016,-12.3461656565627
3.022,-12.2685601993817
3.028,-12.1896794833101
3.034,-12.1095010142907
3.04,-12.0280049904441
3.046,-11.9451745825355
3.052,-11.8609962454234
3.058,-11.7754600632073
3.064,-11.6885601309534
3.07,-11.6002949760307
3.076,-11.5106680222117
3.082,-11.4196880997925
3.088,-11.327370005029
3.094,-11.233735112175
3.1,-11.138812041306
3.106,-11.0426373849034
3.112,-10.9452564958287
3.118,-10.8467243387932
3.124,-10.7471064066889
3.13,-10.6464797021441
3.136,-10.5449337833391
3.142,-10.4425718714129
3.148,-10.3395120146335
3.154,-10.2358883018297
3.16,-10.1318521143161
3.166,-10.0275734016207
3.172,-9.92324196169007
3.178,-9.81906870086501
3.184,-9.71528684278576
3.19,-9.61215304854711
3.196,-9.50994840298272
3.202,-9.40897921411408
3.208,-9.30957756485117
3.214,-9.21210154840951
3.22,-9.11693511219024
3.226,-9.02448742978859
3.232,-8.93519171824009
3.238,-8.84950341859589
3.244,-8.76789766353411
3.25,-8.69086596704219
3.256,-8.60455209170539
3.262,-8.52172896837956
3.268,-8.44285345881964
3.274,-8.36840199038413
3.28,-8.29886765344146
3.286,-8.23475654173729
3.292,-8.17658330858876
3.298,-8.12486593965688
3.304,-8.08011977744653
3.31,-8.04285087266499
3.316,-8.01354878139362
3.322,-7.99267897210948
3.328,-7.98067504958373
3.334,-7.97793103967473
3.34,-7.98479400592274
3.346,-8.00155728181418
3.352,-8.02845459860887
3.358,-8.06565536605066
3.364,-8.11326132219266
3.37,-8.17130471099443
3.376,-8.2397480761858
3.382,-8.31848568253575
3.388,-8.40734649739126
3.394,-8.50609859254951
3.4,-8.61445476491371
3.406,-8.73207912832874
3.412,-8.85859440107724
3.418,-8.9935896043663
3.424,-9.13662789554724
3.43,-9.2872542831088
3.436,-9.44500300501838
3.442,-9.60940439367947
3.448,-9.77999109562116
3.454,-9.95630355850261
3.46,-10.1378947392861
3.466,-10.324334023527
3.472,-10.5152103754986
3.478,-10.710134761887
3.484,-10.9087419082329
3.49,-11.1106914577261
3.496,-11.3156686072378
3.502,-11.5233842965415
3.508,-11.7335750245132
3.514,-11.9460023616161
3.52,-12.1604522219575
3.526,-12.3767339513282
3.532,-12.5946792804152
3.538,-12.8141411852171
3.544,-13.0349926898678
3.55,-13.2571256407694
3.556,-13.4804494752651
3.562,-13.7048900030764
3.568,-13.930388214414
3.574,-14.1568991249961
3.58,-14.3843906651462
3.586,-14.6128426176239
3.592,-14.8422456068122
3.598,-15.072600140276
3.604,-15.3039157024627
3.61,-15.5362098993775
3.616,-15.7695076523858
3.622,-16.0038404388242
3.628,-16.239245576804
3.634,-16.4757655514329
3.64,-16.7134473796277
3.646,-16.9523420107273
