"Freq [GHz]","dB(St(9,1)) []"
1,-3.2067561844223
1.006,-3.1048026217229
1.012,-3.02268117447734
1.018,-2.95838645552827
1.024,-2.90960001929716
1.03,-2.87339072693991
1.036,-2.86898135848585
1.042,-2.84145810832642
1.048,-2.83562029979629
1.054,-2.83777870482638
1.06,-2.84717148507289
1.066,-2.86729870272522
1.072,-2.83960017598459
1.078,-2.88633169403671
1.084,-2.91470038952604
1.09,-2.94463455399259
1.096,-2.97724723729829
1.102,-3.01269406018036
1.108,-3.05095982484402
1.114,-3.09198467872798
1.12,-3.13568467561895
1.126,-3.18192807968854
1.132,-3.23038231516256
1.138,-3.27826953701535
1.144,-3.34204361948895
1.15,-3.39581432721579
1.156,-3.45395194591972
1.162,-3.51456386162726
1.168,-3.57730576457606
1.174,-3.64198183477308
1.18,-3.70842643526184
1.186,-3.77648131222838
1.192,-3.84599024007251
1.198,-3.91679823099261
1.204,-3.9887520978167
1.21,-4.06170133157886
1.216,-4.13549889973511
1.222,-4.21000181172029
1.228,-4.28507140951664
1.234,-4.3605734027466
1.24,-4.43637771111827
1.246,-4.51235822401885
1.252,-4.58839268097102
1.258,-4.66436316740755
1.264,-4.74015891824998
1.27,-4.81569009185573
1.276,-4.89099991632826
1.282,-4.96669174829284
1.288,-5.0399198582496
1.294,-5.11359137546991
1.3,-5.18665304340149
1.306,-5.25903021328525
1.312,-5.33067431620689
1.318,-5.40154349978132
1.324,-5.47159963105882
1.33,-5.54080755315275
1.336,-5.60913485535473
1.342,-5.67655179153844
1.348,-5.74303124452904
1.354,-5.80854870205721
1.36,-5.87308223144523
1.366,-5.93661244817463
1.372,-5.99912247700092
1.378,-6.0605979063486
1.384,-6.12102673888448
1.39,-6.18039934543526
1.396,-6.23870844165816
1.402,-6.29594915181333
1.408,-6.35211944370019
1.414,-6.40722294904079
1.42,-6.46132831624212
1.426,-6.51411243814555
1.432,-6.56602396509775
1.438,-6.61685246419994
1.444,-6.66662328688121
1.45,-6.71534776390139
1.456,-6.76303665919549
1.462,-6.80970147343528
1.468,-6.85535465749004
1.474,-6.9000096157316
1.48,-6.94368065299244
1.486,-6.98638290407687
1.492,-7.02813225823673
1.498,-7.06894528328728
1.504,-7.10883915136207
1.51,-7.14783156724673
1.516,-7.18594069976242
1.522,-7.22318511643851
1.528,-7.25958372158903
1.534,-7.29515569783287
1.54,-7.32992045104982
1.546,-7.36389755873157
1.552,-7.39710672166314
1.558,-7.42956771885265
1.564,-7.46084686160561
1.57,-7.49069478003023
1.576,-7.52073836369112
1.582,-7.5508199195525
1.588,-7.58079036119687
1.594,-7.61051337029926
1.6,-7.63986930077557
1.606,-7.66875881985937
1.612,-7.69710635408473
1.618,-7.724863486428
1.624,-7.75201252201892
1.63,-7.77857047338999
1.636,-7.80459362831719
1.642,-7.8301824243275
1.648,-7.8554849441985
1.654,-7.88069331867075
1.66,-7.90601641227307
1.666,-7.93158405921091
1.672,-7.95717221886534
1.678,-7.98151820341968
1.684,-8.00094182837663
1.69,-8.00773369028026
1.696,-7.99192014884386
1.702,-7.95382396995744
1.708,-7.91862815037559
1.714,-7.90929424031167
1.72,-7.91834306566385
1.726,-7.93260730182773
1.732,-7.94667889598823
1.738,-7.95937716950379
1.744,-7.97072571623899
1.75,-7.98097698229118
1.756,-7.99038275865886
1.762,-7.99915810252481
1.768,-8.00748620327778
1.774,-8.01552770941134
1.78,-8.02342663071879
1.786,-8.03131100774379
1.792,-8.03928713197324
1.798,-8.04742554476931
1.804,-8.05573683821915
1.81,-8.06413687604878
1.816,-8.07240677489983
1.822,-8.0801656176017
1.828,-8.08689328257123
1.834,-8.092056374219
1.84,-8.09537539652192
1.846,-8.09719797954231
1.852,-8.09881513790087
1.858,-8.10237964987297
1.864,-8.10972940325309
1.87,-8.11912533656966
1.876,-8.12188102956062
1.882,-8.10816422237748
1.888,-8.07937477855852
1.894,-8.04511183534885
1.9,-8.01226050141839
1.906,-7.98293425103468
1.912,-7.9569208099474
1.918,-7.93339712002788
1.924,-7.9115532895588
1.93,-7.89073605497776
1.936,-7.8704451189676
1.942,-7.85029870241544
1.948,-7.83000065918561
1.954,-7.80931542359433
1.96,-7.78805021845853
1.966,-7.76604273607655
1.972,-7.74315270859892
1.978,-7.71925621697198
1.984,-7.69424195810874
1.99,-7.66800895683531
1.996,-7.64046538976511
2.002,-7.61152830623316
2.008,-7.58112410493445
2.014,-7.54918966562354
2.02,-7.51567404980155
2.026,-7.48054067608834
2.032,-7.44376984657913
2.038,-7.40536145136109
2.044,-7.36533761241849
2.05,-7.32374495148615
2.056,-7.28065608997745
2.062,-7.23616992977616
2.068,-7.19041024386466
2.074,-7.14352215074736
2.08,-7.09566617881047
2.086,-7.04700985708216
2.092,-6.99771708721946
2.098,-6.94793591983491
2.104,-6.89778571062329
2.11,-6.84734488564033
2.116,-6.7966406230333
2.122,-6.74564161453077
2.128,-6.69450641750922
2.134,-6.64359210974867
2.14,-6.59285028329698
2.146,-6.54236098912869
2.152,-6.49221058422289
2.158,-6.44249199207218
2.164,-6.39330494200322
2.17,-6.34475618032476
2.176,-6.29695964541544
2.182,-6.25003659794829
2.188,-6.20411569654994
2.194,-6.15933300834492
2.2,-6.11583194308224
2.206,-6.07376309893402
2.212,-6.0332840076551
2.218,-5.99455876666382
2.224,-5.9577575458226
2.23,-5.92305595733787
2.236,-5.89063427833854
2.242,-5.86067651740261
2.248,-5.83336931864205
2.254,-5.80890069996852
2.26,-5.78745862586476
2.266,-5.76922941935923
2.272,-5.75439602288838
2.278,-5.74313612322517
2.284,-5.73562016149899
2.29,-5.73200925532371
2.296,-5.73245306593437
2.302,-5.7370876487191
2.308,-5.74603333030992
2.314,-5.75939265915154
2.32,-5.77724847891321
2.326,-5.79966217500832
2.332,-5.8266721436846
2.338,-5.85829253059699
2.344,-5.89451228155919
2.35,-5.93529454252398
2.356,-5.98057643916266
2.362,-6.03026925927257
2.368,-6.08425905439064
2.374,-6.14240767138857
2.38,-6.20455422167016
2.386,-6.27051699639829
2.392,-6.3400958429061
2.398,-6.41307503266742
2.404,-6.48922667831244
2.41,-6.56831480044397
2.416,-6.65010020893301
2.422,-6.73434644968926
2.428,-6.82082716564015
2.434,-6.9093352766351
2.44,-6.99969421976992
2.446,-7.09177059174706
2.452,-7.18548452070016
2.458,-7.28080569787409
2.464,-7.37770314820326
2.47,-7.47598188430736
2.476,-7.57492353055104
2.482,-7.67281149646447
2.488,-7.76696306016375
2.494,-7.85510031144342
2.5,-7.93712437636286
2.506,-8.01490603376081
2.512,-8.09047578479684
2.518,-8.16494194411201
2.524,-8.23856580715642
2.53,-8.31117507357868
2.536,-8.38245700131185
2.542,-8.4520941693464
2.548,-8.51981100881543
2.554,-8.58538246575313
2.56,-8.64862971090045
2.566,-8.7094128455292
2.572,-8.76762398329342
2.578,-8.82318156345361
2.584,-8.87602589457621
2.59,-8.92611569863938
2.596,-8.97342540965259
2.602,-9.01794302476973
2.608,-9.05966835684356
2.614,-9.09861158016041
2.62,-9.1347919933172
2.626,-9.1682369463217
2.632,-9.19898089519573
2.638,-9.22706455857335
2.644,-9.25253415849775
2.65,-9.27544073290271
2.656,-9.29583951087148
2.662,-9.3137893442185
2.668,-9.32935219059854
2.674,-9.34259264446171
2.68,-9.35357751291289
2.686,-9.3623754340202
2.692,-9.36905653543071
2.698,-9.37369213135165
2.704,-9.37635445608062
2.71,-9.37711643234767
2.716,-9.37605147278364
2.722,-9.37323331286649
2.728,-9.3687358737283
2.734,-9.36263315323604
2.74,-9.35499914379201
2.746,-9.34590777533594
2.752,-9.33543288207147
2.758,-9.32364819148387
2.764,-9.31062733426202
2.77,-9.29644387378638
2.776,-9.2811713538911
2.782,-9.2648833636545
2.788,-9.24765361801258
2.794,-9.2295560530255
2.8,-9.21066493465375
2.806,-9.19105497991717
2.812,-9.17080148931403
2.818,-9.14998048936605
2.824,-9.12866888412638
2.83,-9.10694461443659
2.836,-9.08488682364259
2.842,-9.06257602837119
2.848,-9.04009429282078
2.854,-9.01752540482014
2.86,-8.99495505163795
2.866,-8.97247099315544
2.872,-8.95016322949359
2.878,-8.92812415943436
2.884,-8.90644872484367
2.89,-8.88523453452892
2.896,-8.86458195804463
2.902,-8.84459417491987
2.908,-8.82537715561544
2.914,-8.80703953290529
2.92,-8.7896922864018
2.926,-8.77344808418205
2.932,-8.75841993825429
2.938,-8.74471833831947
2.944,-8.73244455552644
2.95,-8.721672566948
2.956,-8.71238807258554
2.962,-8.70418686355731
2.968,-8.69247732952568
2.974,-8.71187733063368
2.98,-8.70400979040378
2.986,-8.7047799954644
2.992,-8.70902732633621
2.998,-8.71632821478796
3.004,-8.72667637926067
3.01,-8.74016028797662
3.016,-8.75689862826226
3.022,-8.77702083582699
3.028,-8.80065938811713
3.034,-8.82794598182713
3.04,-8.8590092115825
3.046,-8.89397290161181
3.052,-8.93295475340615
3.058,-8.97606516654619
3.064,-9.02340617160846
3.07,-9.07507045135053
3.076,-9.13114044440441
3.082,-9.19168753465907
3.088,-9.2567713338104
3.094,-9.32643906625225
3.1,-9.40072506559354
3.106,-9.47965039116072
3.112,-9.56322257120535
3.118,-9.65143547740618
3.124,-9.74426933280158
3.13,-9.84169085265833
3.136,-9.94365351510499
3.142,-10.0500979557517
3.148,-10.1609524780879
3.154,-10.2761336692869
3.16,-10.3955471092236
3.166,-10.5190881590851
3.172,-10.6466428149491
3.178,-10.7780886111499
3.184,-10.9132955581141
3.19,-11.0521270996281
3.196,-11.1944410751388
3.202,-11.3400906736417
3.208,-11.4889253669189
3.214,-11.6407918112891
3.22,-11.7955347085564
3.226,-11.9529976184375
3.232,-12.1130237163508
3.238,-12.2754564920151
3.244,-12.4401403857922
3.25,-12.6069213610855
3.256,-12.7764014256443
3.262,-12.9480621929867
3.268,-13.1218131542568
3.274,-13.2975462018011
3.28,-13.4751383421871
3.286,-13.6544543356964
3.292,-13.835349227239
3.298,-14.0176707392015
3.304,-14.2012615027385
3.31,-14.3859611101134
3.316,-14.5716079766211
3.322,-14.758041006152
3.328,-14.9451010594224
3.334,-15.1326322281984
3.34,-15.3204829224138
3.346,-15.5085067799326
3.352,-15.6965634108379
3.358,-15.8845189896192
3.364,-16.0722467095199
3.37,-16.2596271137028
3.376,-16.4465483178577
3.382,-16.6329061385064
3.388,-16.8186041406292
3.394,-17.0035536174123
3.4,-17.1876735139679
3.406,-17.3708903058467
3.412,-17.5531378421053
3.418,-17.7343571616295
3.424,-17.9144962903808
3.43,-18.0935100262511
3.436,-18.2713597172834
3.442,-18.4480130381588
3.448,-18.6234437690676
3.454,-18.7976315803679
3.46,-18.9705618257988
3.466,-19.1422253464396
3.472,-19.312618287101
3.478,-19.4817419263822
3.484,-19.6496025212296
3.49,-19.8162111664786
3.496,-19.9815836695479
3.502,-20.1457404401739
3.508,-20.30870639482
3.514,-20.4705108751682
3.52,-20.6311875798831
3.526,-20.790774508644
3.532,-20.9493139172478
3.538,-21.1068522824044
3.544,-21.2634402746639
3.55,-21.4191327377398
3.556,-21.5739886723131
3.562,-21.7280712222247
3.568,-21.8814476607869
3.574,-22.0341893747663
3.58,-22.186371843418
3.586,-22.338074609783
3.592,-22.4893812412994
3.598,-22.6403792766357
3.604,-22.791160155528
3.61,-22.9418191283021
3.616,-23.0924551417005
3.622,-23.2431706976071
3.628,-23.3940716812943
3.634,-23.5452671559065
3.64,-23.6968691200534
3.646,-23.8489922256327
3.652,-24.001753453327
3.658,-24.155271743655
3.664,-24.3096675819859
3.67,-24.4650625365658
3.676,-24.6215787493563
3.682,-24.7793383803322
3.688,-24.9384630068391
3.694,-25.0990729806411
3.7,-25.2612867463896
3.706,-25.4252201263848
3.712,-25.5909855776556
3.718,-25.7586914285189
3.724,-25.9284411028543
3.73,-26.1003323413069
3.736,-26.2744564294679
3.742,-26.4508974437342
3.748,-26.6297315259816
3.754,-26.8110261983632
3.76,-26.9948397294406
3.766,-27.1812205624556
3.772,-27.3702068158431
3.778,-27.5618258650838
3.784,-27.7560940137152
3.79,-27.9530162597902
3.796,-28.1525861623414
3.802,-28.3547858105281
3.808,-28.5595858961705
3.814,-28.7669458883786
3.82,-28.976814307028
3.826,-29.1891290899835
3.832,-29.4038180472869
3.838,-29.620799394052
3.844,-29.8399823525962
3.85,-30.0612678134072
3.856,-30.2845490439097
3.862,-30.5097124336727
3.868,-30.7366382646629
3.874,-30.965201495394
3.88,-31.195272548308
3.886,-31.4267180904299
3.892,-31.6594017982065
3.898,-31.893185098447
3.904,-32.1279278783732
3.91,-32.3634891589293
3.916,-32.599727726651
3.922,-32.8365027205258
3.928,-33.0736741713534
3.934,-33.3111034921261
3.94,-33.5486539188683
3.946,-33.7861909021908
3.952,-34.0235824505319
3.958,-34.2606994266564
3.964,-34.4974157994801
3.97,-34.733608853679
3.976,-34.9691593598316
3.982,-35.2039517080528
3.988,-35.4378740081966
3.994,-35.6708181597618
4,-35.9026798946281
4.006,-36.1333587956924
4.012,-36.3627582943772
4.018,-36.5907856498528
4.024,-36.817351912659
4.03,-37.0423718752352
4.036,-37.2657640116884
4.042,-37.4874504089265
4.048,-37.7073566910992
4.054,-37.9254119390855
4.06,-38.1415486065832
4.066,-38.3557024341674
4.072,-38.5678123625125
4.078,-38.7778204458025
4.084,-38.9856717661983
4.09,-39.1913143500866
4.096,-39.3946990866957
4.102,-39.5957796495433
4.108,-39.7945124210625
4.114,-39.9908564206546
4.12,-40.1847732363198
4.126,-40.3762269599344
4.132,-40.5651841261718
4.138,-40.7516136549959
4.144,-40.9354867976012
4.15,-41.1167770856256
4.156,-41.2954602834192
4.162,-41.4715143431207
4.168,-41.6449193622647
4.174,-41.8156575436231
4.18,-41.983713156969
4.186,-42.1490725024417
4.192,-42.3117238751893
4.198,-42.4716575309637
4.204,-42.6288656523494
4.21,-42.7833423153175
4.216,-42.9350834558076
4.222,-43.0840868360572
4.228,-43.2303520104188
4.234,-43.3738802904231
4.24,-43.5146747088757
4.246,-43.6527399827942
4.252,-43.7880824750247
4.258,-43.9207101544024
4.264,-44.0506325543487
4.27,-44.1778607298268
4.276,-44.3024072126082
4.282,-44.424285964826
4.288,-44.5435123308236
4.294,-44.6601029873283
4.3,-44.7740758920093
4.306,-44.8854502304975
4.312,-44.9942463619712
4.318,-45.1004857634254
4.324,-45.2041909727659
4.33,-45.3053855308787
4.336,-45.4040939228405
4.342,-45.5003415184476
4.348,-45.5941545122456
4.354,-45.6855598632489
4.36,-45.7745852345443
4.366,-45.8612589329707
4.372,-45.9456098490682
4.378,-46.0276673974875
4.384,-46.1074614580434
4.39,-46.1850223175914
4.396,-46.2603806129002
4.402,-46.3335672746794
4.408,-46.4046134729167
4.414,-46.4735505636635
4.42,-46.5404100373998
4.426,-46.6052234690923
4.432,-46.6680224700525
4.438,-46.7288386416837
4.444,-46.7877035311951
4.45,-46.8446485893497
4.456,-46.8997051302951
4.462,-46.9529042935199
4.468,-47.0042770079627
4.474,-47.053853958289
4.48,-47.1016655533436
4.486,-47.1477418967717
4.492,-47.192112759796
4.498,-47.2348075561257
4.504,-47.2758553189673
4.51,-47.315284680097
4.516,-47.3531238509512
4.522,-47.3894006056837
4.528,-47.4241422661334
4.534,-47.457375688642
4.54,-47.4891272526584
4.546,-47.5194228510624
4.552,-47.5482878821382
4.558,-47.5757472431266
4.564,-47.6018253252846
4.57,-47.6265460103772
4.576,-47.6499326685306
4.582,-47.672008157372
4.588,-47.6927948223841
4.594,-47.7123144984028
4.6,-47.7305885121884
4.606,-47.7476376859998
4.612,-47.7634823421071
4.618,-47.7781423081754
4.624,-47.7916369234586
4.63,-47.8039850457414
4.636,-47.8152050589717
4.642,-47.8253148815285
4.648,-47.83433197507
4.654,-47.8422733539139
4.66,-47.8491555948996
4.666,-47.8549948476881
4.672,-47.8598068454572
4.678,-47.8636069159494
4.684,-47.8664099928387
4.69,-47.8682306273764
4.696,-47.8690830002873
4.702,-47.8689809338831
4.708,-47.8679379043663
4.714,-47.8659670542975
4.72,-47.8630812052037
4.726,-47.8592928703051
4.732,-47.8546142673401
4.738,-47.8490573314718
4.744,-47.8426337282601
4.75,-47.835354866683
4.756,-47.8272319121971
4.762,-47.8182757998246
4.768,-47.8084972472574
4.774,-47.7979067679705
4.78,-47.7865146843368
4.786,-47.7743311407388
4.792,-47.7613661166715
4.798,-47.7476294398332
4.804,-47.7331307992026
4.81,-47.7178797580991
4.816,-47.7018857672262
4.822,-47.6851581776985
4.828,-47.6677062540521
4.834,-47.6495391872402
4.84,-47.6306661076154
4.846,-47.6110960979024
4.852,-47.5908382061616
4.858,-47.5699014587494
4.864,-47.5482948732766
4.87,-47.5260274715705
4.876,-47.503108292643
4.882,-47.4795464056698
4.888,-47.4553509229852
4.894,-47.4305310130952
4.9,-47.4050959137141
4.906,-47.3790549448287
4.912,-47.3524175217923
4.918,-47.3251931684539
4.924,-47.2973915303234
4.93,-47.2690223877775
4.936,-47.2400956693065
4.942,-47.2106214648051
4.948,-47.1806100389054
4.954,-47.1500718443551
4.96,-47.1190175354376
4.966,-47.0874579814321
4.972,-47.0554042801118
4.978,-47.0228677712748
4.984,-46.9898600503019
4.99,-46.9563929817355
4.996,-46.9224787128682
5.002,-46.8881296873338
5.008,-46.8533586586858
5.014,-46.8181787039506
5.02,-46.7826032371386
5.026,-46.7466460226937
5.032,-46.7103211888621
5.038,-46.6736432409541
5.044,-46.6366270744751
5.05,-46.5992879880945
5.056,-46.5616416964218
5.062,-46.5237043425534
5.068,-46.4854925103526
5.074,-46.4470232364187
5.08,-46.4083140217024
5.086,-46.369382842715
5.092,-46.3302481622811
5.098,-46.2909289397754
5.104,-46.2514446407843
5.11,-46.2118152461268
5.116,-46.172061260165
5.122,-46.132203718332
5.128,-46.0922641938008
5.134,-46.0522648032109
