"Freq [GHz]","dB(St(8,9)) []"
1,-10.6249852157649
1.006,-3.81433411139451
1.012,-2.06859998480319
1.018,-6.38400150644082
1.024,-9.113053569799
1.03,-10.831661984149
1.036,-12.0935252124206
1.042,-13.1201104631492
1.048,-14.0054519627662
1.054,-14.7889157570837
1.06,-15.4841017634111
1.066,-16.0928181547487
1.072,-16.6129321927802
1.078,-17.0428302922335
1.084,-17.3834635266513
1.09,-17.6386587436625
1.096,-17.8144319604467
1.102,-17.9179843693487
1.108,-17.9568302393045
1.114,-17.9382325997865
1.12,-17.8689298613438
1.126,-17.7550560861084
1.132,-17.6021564247947
1.138,-17.4152312517328
1.144,-17.19877668121
1.15,-16.956812661309
1.156,-16.6929015248684
1.162,-16.4101632042251
1.168,-16.1112923050121
1.174,-15.7985798052486
1.18,-15.4739398906057
1.186,-15.1389409507957
1.192,-14.7948390748952
1.198,-14.4426122891813
1.204,-14.0829940337838
1.21,-13.7165047756856
1.216,-13.3434810765547
1.222,-12.9641018069659
1.228,-12.578411499202
1.234,-12.1863410603666
1.24,-11.7877262406145
1.246,-11.3823243879994
1.252,-10.9698301432659
1.258,-10.5498908563434
1.264,-10.1221226628001
1.27,-9.68612836543117
1.276,-9.24151854775516
1.282,-4.38340120096955
1.288,-4.34524994152763
1.294,-4.31700838943845
1.3,-4.28504795522221
1.306,-4.25044968642896
1.312,-4.21420884107275
1.318,-4.17707569731234
1.324,-4.13961263659513
1.33,-4.10221746355786
1.336,-4.06500287179065
1.342,-4.02698573965489
1.348,-3.97664478940745
1.354,-4.02265412556405
1.36,-3.96676292008668
1.366,-3.94191865496623
1.372,-3.92632144046646
1.378,-3.91924121599892
1.384,-3.92172611202965
1.39,-3.93537544817321
1.396,-3.96206172753875
1.402,-4.00368627247674
1.408,-4.0614565683645
1.414,-4.13190486127637
1.42,-4.12431421073604
1.426,-4.34936846930543
1.432,-4.47762571285657
1.438,-4.64027111048394
1.444,-4.83248855886829
1.45,-5.05567458610045
1.456,-5.31108123593115
1.462,-5.60332571545311
1.468,-5.93039110491864
1.474,-6.29422631657339
1.48,-6.69435341808222
1.486,-7.12935068306801
1.492,-7.64993687322086
1.498,-8.0811821759394
1.504,-8.59046093480283
1.51,-9.10712789015586
1.516,-9.61953324140566
1.522,-10.1138839266235
1.528,-10.5704157955915
1.534,-10.9873756791491
1.54,-11.3440734055088
1.546,-11.563154669082
1.552,-11.811874910714
1.558,-11.9492055975955
1.564,-12.0155956077008
1.57,-12.0159179424769
1.576,-11.9702035250386
1.582,-11.8899773339483
1.588,-11.7857136413211
1.594,-11.6662916190734
1.6,-11.5388295293934
1.606,-11.4087426934679
1.612,-11.2798618713489
1.618,-11.1543535969983
1.624,-11.0312683999937
1.63,-10.8834185009571
1.636,-10.898616074792
1.642,-10.7752469128306
1.648,-10.6890070768372
1.654,-10.6163990621255
1.66,-10.5544201593027
1.666,-10.5018969301166
1.672,-10.4579522030065
1.678,-10.4215998220254
1.684,-10.391322756487
1.69,-10.3637535603616
1.696,-10.3258382308564
1.702,-10.0019496704526
1.708,-10.4781358787297
1.714,-10.4371189349153
1.72,-10.4372296441139
1.726,-10.4499118163942
1.732,-10.470002155088
1.738,-10.49558564697
1.744,-10.5255861343535
1.75,-10.5591655401209
1.756,-10.5954030200661
1.762,-10.632627875948
1.768,-10.6638315632452
1.774,-10.9670957961983
1.78,-10.801210910648
1.786,-10.8410776429588
1.792,-10.8882999921707
1.798,-10.9381006083045
1.804,-10.9892431315342
1.81,-11.0411404074858
1.816,-11.0934106292117
1.822,-11.145767022414
1.828,-11.1979948941168
1.834,-11.2500118290251
1.84,-11.3026665221778
1.846,-11.3456456090485
1.852,-11.3981341734702
1.858,-11.4467530055475
1.864,-11.4938259875765
1.87,-11.5394520587905
1.876,-11.5835890040025
1.882,-11.6261755254511
1.888,-11.6671535485712
1.894,-11.7064741298439
1.9,-11.7440991912358
1.906,-11.7800018796829
1.912,-11.8141663845559
1.918,-11.8465875103375
1.924,-11.8772701262213
1.93,-11.9062285464883
1.936,-11.9334858631697
