"Freq [GHz]","dB(St(2,2)) []"
1,-9.01593863965327
1.006,-10.2432154866298
1.012,-11.0580952938658
1.018,-11.4803910133993
1.024,-11.6707681101472
1.03,-11.756692838931
1.036,-11.7883187982342
1.042,-11.7955950123921
1.048,-11.7940230829464
1.054,-11.7916694322225
1.06,-11.7926102252401
1.066,-11.7989141398228
1.072,-11.8387594481671
1.078,-11.8290316844113
1.084,-11.8672993106633
1.09,-11.86080994313
1.096,-11.9214350374121
1.102,-11.9714655474883
1.108,-12.0030796123492
1.114,-12.0591334717864
1.12,-12.1126997341103
1.126,-12.1685676975123
1.132,-12.227824294847
1.138,-12.2975348403994
1.144,-12.3481963585629
1.15,-12.4154457813389
1.156,-12.4586130114638
1.162,-12.5567933387974
1.168,-12.6130389027569
1.174,-12.6875382900869
1.18,-12.7362609926175
1.186,-12.8140702554885
1.192,-12.9432329157334
1.198,-12.9228750709684
1.204,-13.002089296585
1.21,-12.9535569320277
1.216,-13.118933209909
1.222,-13.1765858324637
1.228,-13.2329465290631
1.234,-13.2881515747951
1.24,-13.3422121825646
1.246,-13.1733066736891
1.252,-13.4620314661636
1.258,-13.4345139136783
1.264,-24.9783235564453
1.27,-9.27157492808503
1.276,-8.0096129894519
1.282,-6.38653626021904
1.288,-6.36911293094933
1.294,-6.3254862647608
1.3,-6.26927573089148
1.306,-6.2034359903851
1.312,-6.13173208189157
1.318,-6.05872580088976
1.324,-5.98990622187588
1.33,-5.93184879884689
1.336,-5.89235833375501
1.342,-5.88054537724014
1.348,-5.90676986190256
1.354,-5.98237640088614
1.36,-6.11915877661464
1.366,-6.32854286950628
1.372,-6.62057173679735
1.378,-7.00288909432698
1.384,-7.47999108702293
1.39,-8.05299009413059
1.396,-8.71999537708031
1.402,-9.47702586127135
1.408,-10.3192318567603
1.414,-11.2421927083929
1.42,-12.2436250100616
1.426,-13.3200535973545
1.432,-14.4787230811624
1.438,-15.7249858380447
1.444,-17.0721454009726
1.45,-18.5411867519942
1.456,-20.1645997541806
1.462,-21.9932841870263
1.468,-24.1104373853994
1.474,-26.6625839979974
1.48,-29.9397169839049
1.486,-34.6246542847027
1.492,-42.2725373304181
1.498,-40.7538654293494
1.504,-34.4453245161115
1.51,-30.7768742352069
1.516,-28.3119021363042
1.522,-26.4905369765826
1.528,-25.0645666557672
1.534,-23.9042934901148
1.54,-22.9338455013643
1.546,-22.1051508045589
1.552,-21.385901874046
1.558,-20.7533822037165
1.564,-20.1907747973641
1.57,-19.6850814072406
1.576,-19.227475552803
1.582,-18.8104328147292
1.588,-18.4279564082831
1.594,-18.0751950975741
1.6,-17.748173215479
1.606,-17.4435955543214
1.612,-17.1587035586455
1.618,-16.8911674709501
1.624,-16.6390041804961
1.63,-16.4005137765346
1.636,-16.1742299313258
1.642,-15.9588806565029
1.648,-15.7533569420301
1.654,-15.5566874563573
1.66,-15.3680179579186
1.666,-15.186594405244
1.672,-15.0117489972821
1.678,-14.8428885548278
1.684,-14.6794847870535
1.69,-14.5210660870174
1.696,-14.3672105757148
1.702,-14.2175401721249
1.708,-14.0717155113732
1.714,-13.9294315678512
1.72,-13.7904138673409
1.726,-13.6544151936342
1.732,-13.5212127121424
1.738,-13.390605446522
1.744,-13.2624120551393
1.75,-13.1364688627623
1.756,-13.0126281095904
1.762,-12.8907563847762
1.768,-12.7707332149779
1.774,-12.6524497798647
1.78,-12.5358077249873
1.786,-12.4207180358284
1.792,-12.3070999200484
1.798,-12.1948796051842
1.804,-12.0839888623323
1.81,-11.9743628117858
1.816,-11.8659358130184
1.822,-11.7586316099127
1.828,-11.652332218818
1.834,-11.546733349542
1.84,-11.4397996162735
1.846,-11.3504377813551
1.852,-11.2427781626174
1.858,-11.141127599506
1.864,-11.0410265531904
1.87,-10.9420694404549
1.876,-10.8441408952026
1.882,-10.7471897949208
1.888,-10.6511867633952
1.894,-10.556111952608
1.9,-10.4619505259083
1.906,-10.3686906601886
1.912,-10.276322526272
1.918,-10.1848377015527
1.924,-10.0942287947888
1.93,-10.0044891849353
1.936,-9.91561282655509
1.942,-9.82759409720371
1.948,-9.74042767322421
1.954,-9.65410842604824
1.96,-9.56863133414527
1.966,-9.48399140747794
1.972,-9.40018362232756
1.978,-9.31720286496568
1.984,-9.23504388303328
1.99,-9.15370124374055
1.996,-9.07316929817
2.002,-8.99344215108305
2.008,-8.91451363571578
2.014,-8.8363772931126
2.02,-8.75902635559465
2.026,-8.68245373399889
2.032,-8.60665200835462
2.038,-8.53161342169054
2.044,-8.45732987668818
2.05,-8.38379293491687
2.056,-8.31099381840331
2.062,-8.23892341330473
2.068,-8.1675722754689
2.074,-8.09693063767838
2.08,-8.02698841838855
2.086,-7.95773523178129
2.092,-7.88916039896719
2.098,-7.82125296018018
2.104,-7.75400168781842
2.11,-7.68739510019543
2.116,-7.62142147587437
2.122,-7.55606886846774
2.128,-7.49137514081131
2.134,-7.42735036718778
2.14,-7.36394236705139
2.146,-7.30114200732084
