"Freq [GHz]","dB(St(5,5)) []"
1,-12.228470978955
1.006,-12.1859466055928
1.012,-12.9195325889511
1.018,-13.844344141337
1.024,-14.8127296217555
1.03,-15.7898471054293
1.036,-16.7540424137759
1.042,-17.6881534603828
1.048,-18.5843354627381
1.054,-19.4330174571043
1.06,-20.2267183946738
1.066,-20.9591969679704
1.072,-21.6255272895897
1.078,-22.2222526373656
1.084,-22.7476125929864
1.09,-23.201630084245
1.096,-23.5861345527286
1.102,-23.9046447176025
1.108,-24.1621447076985
1.114,-24.3647888658929
1.12,-24.5195785118191
1.126,-24.6340464472741
1.132,-24.7159576144788
1.138,-24.7727072173176
1.144,-24.8103676093875
1.15,-24.8393903888277
1.156,-24.8602779773731
1.162,-24.8790783794217
1.168,-24.8949054964832
1.174,-24.9044789541446
1.18,-24.9015004633707
1.186,-24.8757642683551
1.192,-24.8128444140334
1.198,-24.695164628064
1.204,-24.5050717884478
1.21,-24.2296313735363
1.216,-23.8653888694071
1.222,-23.4205174129414
1.228,-22.9129060343277
1.234,-22.3652355267544
1.24,-21.7996651559243
1.246,-21.2342463061548
1.252,-20.6816336239379
1.258,-20.1495702392602
1.264,-19.6425208528209
1.27,-19.1651003658676
1.276,-18.7401312189017
1.282,-18.3050508816761
1.288,-17.9163203997944
1.294,-17.5530980775364
1.3,-17.2135672430123
1.306,-16.8956663198446
1.312,-16.5969218254461
1.318,-16.3255984617065
1.324,-16.0589699349793
1.33,-15.8120440777673
1.336,-15.5799703177625
1.342,-15.3613377424044
1.348,-15.1539412581244
1.354,-14.9678054857634
1.36,-14.7821256988076
1.366,-14.6094996073809
1.372,-14.4470055315375
1.378,-14.2938845827592
1.384,-14.1495951994169
1.39,-14.0136878610343
1.396,-13.8857812165346
1.402,-13.7655565613116
1.408,-13.6527586109199
1.414,-13.547202336553
1.42,-13.4488545469315
1.426,-13.3572504120355
1.432,-13.2730109526548
1.438,-13.1959930480186
1.444,-13.1264665230167
1.45,-13.0647984237496
1.456,-13.0114808308569
1.462,-12.9671399536212
1.468,-12.932538938062
1.474,-12.9085726953818
1.48,-12.8962515693536
1.486,-12.8966702830581
1.492,-12.9109589311371
1.498,-12.9402140462287
1.504,-12.9854102161699
1.51,-13.0472964044758
1.516,-13.1262856650589
1.522,-13.2223514365937
1.528,-13.3349466664748
1.534,-13.4629621421512
1.54,-13.6047365905885
1.546,-13.7581234720616
1.552,-13.9206094824557
1.558,-14.0894701805396
1.564,-14.1742212786539
1.57,-14.0059670440722
1.576,-13.8519538647894
1.582,-13.7111085843797
1.588,-13.5822815240614
