"Freq [GHz]","dB(St(3,3)) []"
1,-12.5468668883749
1.006,-10.8734407235669
1.012,-10.6116336456665
1.018,-10.444025767089
1.024,-10.4528851434315
1.03,-10.6690208564452
1.036,-10.8358872462462
1.042,-11.0237173715558
1.048,-11.1811828361307
1.054,-11.3291526918648
1.06,-11.4681545187923
1.066,-11.5969523929832
1.072,-11.7176373257759
1.078,-11.8223630120641
1.084,-11.915886456907
1.09,-11.9970468190741
1.096,-12.0661583865394
1.102,-12.1239297382593
1.108,-12.1710411450375
1.114,-12.2089395931105
1.12,-12.238436648687
1.126,-12.2606503104857
1.132,-12.2766318581595
1.138,-12.2877226133458
1.144,-12.2985844826205
1.15,-12.2979902445044
1.156,-12.2993923458347
1.162,-12.2997932872427
1.168,-12.299110699836
1.174,-12.2979185074075
1.18,-12.2970053370878
1.186,-12.2970922524376
1.192,-12.2987149699112
1.198,-12.3022768633494
1.204,-12.3084543908763
1.21,-12.3320062717892
1.216,-12.3178218228604
1.222,-12.3302936065147
1.228,-12.3431885484494
1.234,-12.357534769346
1.24,-12.3734855657835
1.246,-12.3910705884249
1.252,-12.410286131895
1.258,-12.4311123611631
1.264,-12.4535092311598
1.27,-12.477377120954
1.276,-12.5022368013258
1.282,-13.8363257037674
1.288,-13.712845923449
1.294,-13.6732936146045
1.3,-13.6369623800962
1.306,-13.600050951626
1.312,-13.566197847437
1.318,-13.53374337039
1.324,-13.5026221626844
1.33,-13.4723482271766
1.336,-13.4427195967534
1.342,-13.4134955164337
1.348,-13.3844283165374
1.354,-13.3553505176487
1.36,-13.3258915014876
1.366,-13.295902820171
1.372,-13.2651379684837
1.378,-13.2333725335279
1.384,-13.2003951364958
1.39,-13.166008840804
1.396,-13.130025461097
1.402,-13.0922297271672
1.408,-13.0522107599394
1.414,-13.0083254995529
1.42,-12.9354165632419
1.426,-12.921120320681
1.432,-12.8734404752205
1.438,-12.824390833846
1.444,-12.7745627352979
1.45,-12.7249775365535
1.456,-12.6771855957823
1.462,-12.6333546941063
1.468,-12.5966992999827
1.474,-12.5715148477891
1.48,-12.5635481184919
1.486,-12.5801642227932
1.492,-12.6299977992148
1.498,-12.7237002476817
1.504,-12.8700690846954
1.51,-13.0812424252343
1.516,-13.3469663396037
1.522,-13.6769646854606
1.528,-13.9431413675333
1.534,-14.4055195404477
1.54,-14.7609382604898
1.546,-15.4727446200018
