"Freq [GHz]","dB(St(1,8)) []"
1,-8.53609698347251
1.006,-6.25877071843089
1.012,1.30274947813068
1.018,-5.35540047521306
1.024,-7.78741639985512
1.03,-9.34812165749089
1.036,-10.5206489348903
1.042,-11.5282186386684
1.048,-12.3620216647907
1.054,-13.0687158401903
1.06,-13.6659910895573
1.066,-14.1645184638794
1.072,-14.6017175913015
1.078,-14.9291201933805
1.084,-15.1981014171942
1.09,-15.4064478647195
1.096,-15.5600416666121
1.102,-15.664494717901
1.108,-15.7248104508323
1.114,-15.7453749762569
1.12,-15.7300098745946
1.126,-15.6820352198118
1.132,-15.6042783177059
1.138,-15.4980837341285
1.144,-15.3736961327186
1.15,-15.2210111971148
1.156,-15.0489317932261
1.162,-14.8584906879177
1.168,-14.651344296109
1.174,-14.4291102845817
1.18,-14.1933069211577
1.186,-13.9453314019224
1.192,-13.6864417889836
1.198,-13.4177378601247
1.204,-13.1401403310993
1.21,-12.8543684660279
1.216,-12.5609159101205
1.222,-12.2600242076121
1.228,-11.9516530299631
1.234,-11.6354456498426
1.24,-11.3106876282464
1.246,-10.9762559820158
1.252,-10.6305551877134
1.258,-10.2714351448311
1.264,-9.89608453132555
1.27,-9.50089085096409
1.276,-9.08125931310824
1.282,-8.43128406643853
1.288,-8.97542939431941
1.294,-9.4912410304172
1.3,-9.96427502591667
1.306,-10.3866952435826
1.312,-10.7548178553382
1.318,-11.0675877634365
1.324,-11.3257263338829
1.33,-11.5311662217938
1.336,-11.6867708813179
1.342,-11.796086196198
1.348,-11.8631418770737
1.354,-11.7201210493883
1.36,-12.4734033539618
1.366,-11.8676781180129
1.372,-11.7877273471875
1.378,-11.7181723841891
1.384,-11.622596900048
1.39,-11.5139859787674
1.396,-11.394724807459
1.402,-11.2677272312532
1.408,-11.1357055546233
1.414,-11.0054994964958
1.42,-10.9467723482568
1.426,-11.1827989708814
1.432,-10.9041038801071
1.438,-10.6555788176852
1.444,-10.4341025248328
1.45,-10.2372599380722
1.456,-10.0634738606137
1.462,-9.91240298842932
1.468,-9.7860969359492
1.474,-9.69286836139119
1.48,-9.6652209536351
1.486,-9.93761018861415
1.492,-7.88709314170351
1.498,-8.76898328456044
1.504,-8.8229392351014
1.51,-8.80053154216162
1.516,-8.75915728928465
1.522,-8.71271299812995
1.528,-8.66599348671199
1.534,-8.62093641158159
1.54,-8.57836502265722
1.546,-8.53860667216035
1.552,-8.50174932315009
1.558,-8.46776008767169
1.564,-8.44696120054466
1.57,-8.45752523311027
1.576,-8.46660044308073
1.582,-8.47413772469701
1.588,-8.48010149464622
1.594,-8.48446638890435
1.6,-8.48721237759253
1.606,-8.48831562955743
1.612,-8.48772630404827
1.618,-8.48529591123306
1.624,-8.48041406285547
1.63,-8.46705614754222
1.636,-8.48525030683119
1.642,-8.47025465506092
1.648,-8.45990218795832
1.654,-8.44917334588878
1.66,-8.43753326469482
1.666,-8.42487621008389
1.672,-8.41119825257607
1.678,-8.39653122533415
1.684,-8.38092473104859
1.69,-8.3644460463236
1.696,-8.34722191489423
1.702,-8.33092896184061
1.708,-8.30926954550754
1.714,-8.28996876737591
1.72,-8.26984765367938
1.726,-8.24912243621358
1.732,-8.22787685795465
1.738,-8.20617570452297
1.744,-8.18407829491142
1.75,-8.16164159066862
1.756,-8.1389211867761
1.762,-8.11597170728141
1.768,-8.09284699940143
1.774,-8.06960025099752
1.78,-8.04628407592267
1.786,-8.02295058260364
1.792,-7.9996514273027
1.798,-7.97643784200806
1.804,-7.95336060852781
1.81,-7.93046990713265
1.816,-7.9078148434448
1.822,-7.88544202508937
1.828,-7.86339064742173
1.834,-7.8416690462395
1.84,-7.82000512736604
1.846,-7.80159042883251
1.852,-7.78048809581974
1.858,-7.7608511607034
1.864,-7.74197624733045
1.87,-7.72385485899054
1.876,-7.70652853613429
1.882,-7.69005213226006
1.888,-7.67449009285602
1.894,-7.65992467319798
1.9,-7.64649346927402
1.906,-7.63460295499641
1.912,-7.62890641575496
1.918,-7.60592377362731
1.924,-7.59891278684056
1.93,-7.59106561318077
1.936,-7.58393721551287
1.942,-7.57770155573544
1.948,-7.5723390834824
1.954,-7.56773329896756
1.96,-7.5636312478697
1.966,-7.5593960534139
1.972,-7.55262945265547
1.978,-7.52564435048664
1.984,-7.05974603033747
1.99,-7.48267929762283
1.996,-7.53145076646274
2.002,-7.54256389357769
2.008,-7.54832854850424
2.014,-7.55348382428254
2.02,-7.55951008361807
2.026,-7.56713043820242
2.032,-7.57679697398567
2.038,-7.58882173210597
2.044,-7.60342319846764
2.05,-7.62074969900162
2.056,-7.64089569463183
2.062,-7.66391499505733
2.068,-7.6898316593001
2.074,-7.71864866576305
2.08,-7.75035446062757
2.086,-7.7849276348058
2.092,-7.82234006867733
2.098,-7.86255890091123
2.104,-7.9055476454705
2.11,-7.95126672557971
2.116,-7.99967363348077
2.122,-8.05072287030187
2.128,-8.09756978075052
2.134,-8.13933640183297
2.14,-8.18252312668053
2.146,-8.22711531165048
2.152,-8.27309727334004
2.158,-8.32045235820997
2.164,-8.36916301614658
2.17,-8.41921087770005
2.176,-8.4705768347386
2.182,-8.52324112426334
2.188,-8.57718341513747
2.194,-8.63238289749679
2.2,-8.68881837462338
2.206,-8.74646835708393
2.212,-8.80531115895464
2.218,-8.86532499597802
2.224,-8.92648808552084
2.23,-8.9887787482271
2.236,-9.05217551128349
2.242,-9.11665721323621
2.248,-9.18220311031502
2.254,-9.24879298423062
2.26,-9.31640725141044
2.266,-9.38502707362048
2.272,-9.45463446987889
2.278,-9.52521242948673
2.284,-9.59674502586608
2.29,-9.66921753067262
2.296,-9.74261652729386
2.302,-9.81693002227571
2.308,-9.89214755231015
2.314,-9.96826028294274
2.32,-10.0452610927267
2.326,-10.1231446324474
2.332,-10.2019073419136
2.338,-10.2815473940139
2.344,-10.3620645117986
2.35,-10.4434595574256
2.356,-10.5257336945111
