"Freq [GHz]","dB(St(7,7)) []"
1,-18.8039525592181
1.006,-18.8722134372144
1.012,-18.9457533257941
1.018,-19.0055039421513
1.024,-19.0305062065132
1.03,-19.0026413813743
1.036,-18.9093844141285
1.042,-18.7530196108338
1.048,-18.5385151233368
1.054,-18.281697594022
1.06,-18.0004821402426
1.066,-17.7121668409458
1.072,-17.4315801340607
1.078,-17.1687428938702
1.084,-16.9311829822047
1.09,-16.7225546503429
1.096,-16.5440998620455
1.102,-16.3952291244419
1.108,-16.2741069999553
1.114,-16.1781251863531
1.12,-16.1042667794783
1.126,-16.0493794267778
1.132,-16.0103868546259
1.138,-15.9846863536563
1.144,-15.9676765420893
1.15,-15.9600668507512
1.156,-15.9581549155037
1.162,-15.9604878060816
1.168,-15.9657434196846
1.174,-15.972866155541
1.18,-15.9810456147399
1.186,-15.9896816344886
1.192,-15.9983476775198
1.198,-16.0067564920993
1.204,-16.0147331795629
1.21,-16.0223787374245
1.216,-16.0288785578479
1.222,-16.0351171321137
1.228,-16.0407402451149
1.234,-16.0457833777001
1.24,-16.0502720770421
1.246,-16.0542267578599
1.252,-16.0576604635794
1.258,-16.0605775242246
1.264,-16.0629742263656
1.27,-16.0648450785783
1.276,-16.0662325294312
1.282,-18.9782146536418
1.288,-18.8544399471841
1.294,-18.7320672606399
1.3,-18.6116012841559
1.306,-18.4930557230091
1.312,-18.3765473222899
1.318,-18.2621260585946
1.324,-18.1497933155071
1.33,-18.0396016402498
1.336,-17.9315872864037
1.342,-17.8257147065821
1.348,-17.722007397181
1.354,-17.6204582563209
1.36,-17.5210516201697
1.366,-17.4237679074613
1.372,-17.3285863149899
1.378,-17.2354851694233
1.384,-17.1444340189496
1.39,-17.0554062939354
1.396,-16.9683656230901
1.402,-16.8832817490816
1.408,-16.8001202031585
1.414,-16.7188458342078
1.42,-16.6394205748338
1.426,-16.5617667280718
1.432,-16.4859840972326
1.438,-16.4118934274606
1.444,-16.3395071985467
1.45,-16.2687938350254
1.456,-16.1997373174257
1.462,-16.132221054988
1.468,-16.066303101941
1.474,-16.0019083859129
1.48,-15.9390022817051
1.486,-15.8775406606722
1.492,-15.816013583083
1.498,-15.7590165363592
1.504,-15.7017460117616
1.51,-15.6458317742638
1.516,-15.5912328158863
1.522,-15.5379195392047
1.528,-15.4858648522147
1.534,-15.4350428793667
1.54,-15.3854285981715
1.546,-15.336997679524
1.552,-15.2897263897539
1.558,-15.2435915164299
1.564,-15.19858770241
1.57,-15.1547100598972
1.576,-15.1118825201302
1.582,-15.070094779478
1.588,-15.0293368914716
1.594,-14.9895992906868
1.6,-14.9508728192463
