"Freq [GHz]","dB(St(1,9)) []"
1,-6.00933943257063
1.006,-19.0625159382148
1.012,-27.01046631704
1.018,-31.774263799501
1.024,-30.3543950179956
1.03,-27.1007376420481
1.036,-24.3123225062772
1.042,-22.4209825109817
1.048,-20.887999955603
1.054,-19.6879734720955
1.06,-18.7388407365946
1.066,-17.9797682159408
1.072,-4.64171107169914
1.078,-4.99883375635856
1.084,-4.90915610691512
1.09,-4.81180373449535
1.096,-4.73154980797861
1.102,-4.68287157777202
1.108,-4.56242864337497
1.114,-4.55362034123042
1.12,-4.53191554974439
1.126,-4.52888302938886
1.132,-4.52456235305507
1.138,-4.52838689777834
1.144,-15.6528807384383
1.15,-15.7493843576671
1.156,-15.8932599343237
1.162,-16.0638671747033
1.168,-16.2589866660218
1.174,-16.4782251571943
1.18,-16.7215941330909
1.186,-16.989220689543
1.192,-17.2812663444306
1.198,-17.5979025551465
1.204,-17.9393061201606
1.21,-18.305662962847
1.216,-18.6971759176826
1.222,-19.1140744385723
1.228,-19.556624852885
1.234,-20.0251397353784
1.24,-20.5199842022544
1.246,-21.0415747323387
1.252,-21.5903599623592
1.258,-22.1667529484964
1.264,-22.7709033332565
1.27,-23.4017307858729
1.276,-24.0493560538766
1.282,-24.8319190680247
1.288,-25.4368454442674
1.294,-26.1498141735548
1.3,-26.8708767349208
1.306,-27.5841454424224
1.312,-28.2690952039659
1.318,-28.8970542085853
1.324,-29.430520384815
1.33,-29.8259698455456
1.336,-30.0416658324141
1.342,-30.0492502051707
1.348,-29.8423852701375
1.354,-29.4570473211769
1.36,-28.9022116566861
1.366,-28.2394831303864
1.372,-27.504070356589
1.378,-26.7258221302877
1.384,-25.9261252574378
1.39,-25.119241158345
1.396,-24.3141834486225
1.402,-23.5163519481362
1.408,-22.7286766042609
1.414,-21.9519012334153
1.42,-21.1734550752081
1.426,-20.4582210315346
1.432,-19.7177075734294
1.438,-18.9949967870718
1.444,-18.2862069696459
1.45,-17.5905618965576
1.456,-16.9076719693265
1.462,-16.2372703049989
1.468,-15.5791631008474
1.474,-14.9332198224589
1.48,-14.2993742507793
1.486,-13.6776298114815
1.492,-13.068067465906
1.498,-12.4708557135753
1.504,-11.8862626267404
1.51,-11.3146699503755
1.516,-10.75658932949
1.522,-10.2126807156355
1.528,-9.68377296338474
1.534,-9.17088654901172
1.54,-8.67525821502202
1.546,-8.19836714886676
1.552,-7.7419620219251
1.558,-7.30808782256425
1.564,-6.99211267995053
1.57,-6.96705024020599
1.576,-6.94526270390872
1.582,-6.92683347980214
1.588,-6.91183234017014
1.594,-6.90031607933966
1.6,-6.89232942006073
1.606,-6.88790610792283
1.612,-6.88707001929419
1.618,-6.8898355595608
1.624,-6.89620266555564
1.63,-6.90606138446704
1.636,-6.92020155329388
1.642,-6.93737833601617
1.648,-6.95834156882203
1.654,-6.98302694610199
1.66,-7.0114741394717
1.666,-7.04375766112555
1.672,-7.07999143879638
1.678,-7.12034264118545
1.684,-7.16505343011161
1.69,-7.21447688257226
1.696,-7.26916063726955
1.702,-7.33121832360708
1.708,-7.39610975343314
1.714,-7.47207564857542
1.72,-7.55862985367324
1.726,-7.65968616981882
1.732,-7.78165608144726
1.738,-7.93613788166172
1.744,-8.14612679271314
1.75,-8.46193915926707
1.756,-8.98092193967577
1.762,-7.87585128637969
1.768,-2.54019172304038
1.774,-5.65297096855748
1.78,-6.51568570645142
1.786,-6.92056029741066
1.792,-7.17335673279812
1.798,-7.3572542476532
1.804,-7.5045602371333
1.81,-7.6303696676917
1.816,-7.74266171760001
1.822,-7.84604980669224
1.828,-7.94339818246602
1.834,-8.03661978182562
1.84,-8.12736182891148
1.846,-8.20533537795984
1.852,-8.30301565057704
1.858,-8.39036082654031
1.864,-8.4777479258698
1.87,-8.56645184445037
1.876,-8.65710673775502
1.882,-8.75238419422773
1.888,-8.85085204372222
1.894,-8.9552988412877
1.9,-9.06517915384346
1.906,-9.17440844350345
1.912,-9.25606775797929
1.918,-9.35757922253457
1.924,-9.393027475063
1.93,-9.4275654646946
1.936,-9.47095653440307
1.942,-9.52512543788283
1.948,-9.58778968966923
1.954,-9.65633654418422
1.96,-9.72883599912827
1.966,-9.80401120204309
1.972,-9.88100403823437
1.978,-9.95896281298215
1.984,-9.95823294723121
1.99,-10.1211710534039
