"Freq [GHz]","dB(St(6,6)) []"
1,-5.31902889833882
1.006,-4.71159073188435
1.012,-5.34974823021344
1.018,-7.22790147021502
1.024,-7.76804892045976
1.03,-7.78469115944103
1.036,-7.66894026407433
1.042,-7.51861719725706
1.048,-7.3620284768224
1.054,-7.20912873668401
1.06,-7.06393515438598
1.066,-6.92812966740743
1.072,-6.80230603340675
1.078,-6.6864778789074
1.084,-6.58031813519804
1.09,-6.48328668925014
1.096,-6.39470548340139
1.102,-6.31380626781394
1.108,-6.2397630520991
1.114,-6.17171570517268
1.12,-6.10878857749028
1.126,-6.05010692809297
1.132,-5.99481511954478
1.138,-5.94214260257518
1.144,-5.89092433902352
1.15,-5.84102317825407
1.156,-5.79146101835429
1.162,-5.74172641521152
1.168,-5.69138405326281
1.174,-5.64011988562913
1.18,-5.58775205983498
1.186,-5.53423222853949
1.192,-5.47963595037804
1.198,-5.42413596277505
1.204,-5.36791808582685
1.21,-5.30896819364247
1.216,-5.25630572554128
1.222,-5.19999014888324
1.228,-5.1442936360141
1.234,-5.08900781073355
1.24,-5.03384733562261
1.246,-4.97829844566428
1.252,-4.92159308125667
1.258,-4.86273184225414
1.264,-4.80059446061758
1.27,-4.73435289337088
1.276,-4.66625183357992
1.282,1.00845879570035
1.288,0.2219669511232
1.294,-0.519750091333315
1.3,-1.15962897375189
1.306,-1.68119762825353
1.312,-2.0910925884026
1.318,-2.40601764184738
1.324,-2.64470354548567
1.33,-2.82446852003475
1.336,-2.95963593551834
1.342,-3.06150898622239
1.348,-3.13873170079209
1.354,-3.19779167268954
1.36,-3.24357422806367
1.366,-3.2796170385977
1.372,-3.30858130469224
1.378,-3.33241246345538
1.384,-3.35254045621337
1.39,-3.37001844036066
1.396,-3.38560214924288
1.402,-3.39984916278886
1.408,-3.41315496424199
1.414,-3.4257988043139
1.42,-3.43798092109139
1.426,-3.44981412636869
1.432,-3.46139882171055
1.438,-3.47277844055704
1.444,-3.48397636384296
1.45,-3.49500048344845
1.456,-3.5058473432321
1.462,-3.51650527176839
1.468,-3.52695714615471
1.474,-3.53718354385983
1.48,-3.54716941398268
1.486,-3.55694076902882
1.492,-3.572302630759
1.498,-3.57481602771734
1.504,-3.58356267798199
1.51,-3.59182177037712
1.516,-3.59962826800403
1.522,-3.6069672248947
1.528,-3.61381655537862
1.534,-3.62015301132332
1.54,-3.62595367797118
1.546,-3.63119646774239
1.552,-3.63586030277543
1.558,-3.63992517652724
1.564,-3.64356036956106
1.57,-3.64709560500082
1.576,-3.65000927385972
1.582,-3.65237444761435
1.588,-3.654250385704
1.594,-3.65568504886577
1.6,-3.65671723633884
1.606,-3.65737834938553
1.612,-3.65769381804622
1.618,-3.65768424018999
1.624,-3.6573662825948
1.63,-3.65675338920179
1.636,-3.6558563352089
1.642,-3.65468365900758
1.648,-3.65324199790368
1.654,-3.65153634838558
1.66,-3.64957026744432
1.666,-3.64734602803707
1.672,-3.64486473909769
1.678,-3.64212643841467
1.684,-3.63913016510414
1.69,-3.63587401720787
1.696,-3.6323551990654
1.702,-3.62857006248017
1.708,-3.62451414527422
1.714,-3.62018221056208
1.72,-3.61556828994224
1.726,-3.61066573377627
1.732,-3.60546727178054
1.738,-3.599965087273
1.744,-3.59415090858072
1.75,-3.58801612130617
1.756,-3.58155190536099
1.762,-3.57474940089977
1.768,-3.56759990754429
1.774,-3.56009512164505
1.78,-3.55222741696195
1.786,-3.5439901754989
1.792,-3.5353781783676
1.798,-3.5263880741938
1.804,-3.51701896202422
1.81,-3.50727317866426
1.816,-3.49715754032207
1.822,-3.48668585146533
1.828,-3.47588599466599
1.834,-3.46483124807299
1.84,-3.45396532865706
