"Freq [GHz]","dB(St(1,8)) []"
1,-29.4189821466116
1.006,-29.4258225202375
1.012,-29.4328949035836
1.018,-29.4401981431697
1.024,-29.447731152487
1.03,-29.4554929104257
1.036,-29.4634824597549
1.042,-29.4716989056516
1.048,-29.4801414142773
1.054,-29.4888092113998
1.06,-29.4977015810587
1.066,-29.5068178642711
1.072,-29.5161574577781
1.078,-29.5257198128272
1.084,-29.535504433992
1.09,-29.5455108780243
1.096,-29.5557387527393
1.102,-29.5661877159305
1.108,-29.5768574743144
1.114,-29.5877477825008
1.12,-29.5988584419901
1.126,-29.6101893001935
1.132,-29.621740249476
1.138,-29.6335112262202
1.144,-29.6455022099089
1.15,-29.6577132222263
1.156,-29.6701443261746
1.162,-29.6827956252061
1.168,-29.6956672623679
1.174,-29.7087594194587
1.18,-29.7220723161962
1.186,-29.7356062093925
1.192,-29.7493613921378
1.198,-29.7633381929887
1.204,-29.7775369751619
1.21,-29.7919581357301
1.216,-29.8066021048187
1.222,-29.8214693448031
1.228,-29.8365603495029
1.234,-29.851875643373
1.24,-29.8674157806896
1.246,-29.8831813447291
1.252,-29.8991729469376
1.258,-29.9153912260912
1.264,-29.9318368474425
1.27,-29.9485105018546
1.276,-29.9654129049175
1.282,-29.9825447960474
1.288,-29.9999069375654
1.294,-30.0175001137547
1.3,-30.0353251298926
1.306,-30.0533828112565
1.312,-30.071674002101
1.318,-30.0901995646035
1.324,-30.1089603777761
1.33,-30.1279573363417
1.336,-30.1471913495699
1.342,-30.1666633400727
1.348,-30.1863742425545
1.354,-30.2063250025146
1.36,-30.2265165748995
1.366,-30.2469499227007
1.372,-30.2676260154954
1.378,-30.2885458279268
1.384,-30.3097103381189
1.39,-30.3311205260244
1.396,-30.3527773716991
1.402,-30.3746818535011
1.408,-30.3968349462084
1.414,-30.4192376190524
1.42,-30.4418908336611
1.426,-30.4647955419075
1.432,-30.4879526836591
1.438,-30.5113631844219
1.444,-30.5350279528744
1.45,-30.5589478782849
1.456,-30.5831238278078
1.462,-30.6075566436506
1.468,-30.6322471401065
1.474,-30.657196100446
1.48,-30.6824042736599
1.486,-30.707872371046
1.492,-30.7336010626333
1.498,-30.7595909734351
1.504,-30.7858426795221
1.51,-30.8123567039086
1.516,-30.8391335122416
1.522,-30.8661735082847
1.528,-30.8934770291865
1.534,-30.9210443405238
1.54,-30.9488756311109
1.546,-30.9769710075622
1.552,-31.0053304885988
1.558,-31.0339539990876
1.564,-31.0628413638018
1.57,-31.0919923008893
1.576,-31.1214064150392
1.582,-31.1510831903317
1.588,-31.1810219827597
1.594,-31.2112220124093
1.6,-31.2416823552839
1.606,-31.2724019347604
1.612,-31.303379512662
1.618,-31.3346136799342
1.624,-31.3661028469094
1.63,-31.3978452331449
1.636,-31.4298388568212
1.642,-31.4620815236851
1.648,-31.4945708155222
1.654,-31.5273040781464
1.66,-31.5602784088899
1.666,-31.5934906435814
1.672,-31.6269373429975
1.678,-31.6606147787755
1.684,-31.6945189187738
1.69,-31.7286454118696
1.696,-31.762989572181
1.702,-31.7975463627071
1.708,-31.832310378374
1.714,-31.8672758284829
1.72,-31.9024365185536
1.726,-31.9377858315612
1.732,-31.9733167085648
1.738,-32.0090216287305
1.744,-32.0448925887533
1.75,-32.0809210816872
1.756,-32.1170980751931
1.762,-32.1534139892233
1.768,-32.1898586731621
1.774,-32.2264213824477
1.78,-32.2630907547075
1.786,-32.2998547854448
1.792,-32.3367008033201
1.798,-32.3736154450788
1.804,-32.4105846301852
1.81,-32.4475935352309
1.816,-32.4846265681938
1.822,-32.5216673426374
1.828,-32.5586986519452
