"Freq [GHz]","dB(St(1,1)) []"
1,-3.62180211021485
1.006,-6.58585239510127
1.012,-6.84044351150191
1.018,-6.0866296540054
1.024,-5.37540604930908
1.03,-5.16561129462272
1.036,-5.10923986706572
1.042,-5.10718680564229
1.048,-5.12622231422231
1.054,-5.15358506974211
1.06,-5.18392977056026
1.066,-5.21490936839098
1.072,-5.24548531520048
1.078,-5.27521985349931
1.084,-5.30395884948818
1.09,-5.33168239049708
1.096,-5.35843193279344
1.102,-5.38427407062039
1.108,-5.40928247647689
1.114,-5.43352910633458
1.12,-5.45708021773818
1.126,-5.47999491518865
1.132,-5.50232502833702
1.138,-5.52411569481354
1.144,-5.5454063215125
1.15,-5.56623176373326
1.156,-5.58662365563376
1.162,-5.60661188198772
1.168,-5.62622621873222
1.174,-5.64549819881365
1.18,-5.66446328695312
1.186,-5.68316347683735
1.192,-5.70165046093236
1.198,-5.7199895708375
1.204,-5.73826474994209
1.21,-5.75658490679504
1.216,-5.77509211616219
1.222,-5.79397229789824
1.228,-5.81346922926148
1.234,-5.83390305908426
1.24,-5.85569492718683
1.246,-5.87939989803703
1.252,-5.90575126009107
1.258,-5.935720409316
1.264,-5.97059813764143
1.27,-6.01210530981925
1.276,-6.06254374408998
1.282,-3.77590083449675
1.288,-3.78646107205144
1.294,-3.79725731302714
1.3,-3.80738368939991
1.306,-3.81649187435658
1.312,-3.82427060773502
1.318,-3.83043811134982
1.324,-3.8347422369719
1.33,-3.83695960631128
1.336,-3.83688885609531
1.342,-3.83431407970696
1.348,-3.82859479311296
1.354,-3.82430601859504
1.36,-3.81280993542578
1.366,-3.79977410891373
1.372,-3.78421380184345
1.378,-3.76606872422251
1.384,-3.74536761552567
1.39,-3.72217190659195
1.396,-3.69656101842239
1.402,-3.6686214051254
1.408,-3.63842361032066
1.414,-3.60591191537659
1.42,-3.56872936685897
1.426,-3.54391164749821
1.432,-3.4978965346578
1.438,-3.45761413412026
1.444,-3.41686182242786
1.45,-3.37519891276056
1.456,-3.33252710293638
1.462,-3.29060800524296
1.468,-3.24828244963961
1.474,-3.20666280471795
1.48,-3.16615421913635
1.486,-3.12720944324176
1.492,-3.09914372051255
1.498,-3.05417259812768
1.504,-3.02151383894656
1.51,-2.9912753611205
1.516,-2.96364865676428
1.522,-2.93869357192678
1.528,-2.91635707717936
1.534,-2.89662638278415
1.54,-2.87918789503338
1.546,-2.86605800564838
1.552,-2.85178065524972
1.558,-2.84049316092913
1.564,-2.83096802865665
1.57,-2.82339265472187
1.576,-2.81717721257
1.582,-2.81221189350726
1.588,-2.80839514634588
1.594,-2.80563361681212
1.6,-2.8038423228314
1.606,-2.80294549051891
1.612,-2.80287942992821
1.618,-2.80360326813007
1.624,-2.80515500172085
1.63,-2.80842962703173
1.636,-2.80716594870169
1.642,-2.81132981124075
1.648,-2.81507082675123
1.654,-2.81912323567369
1.66,-2.82354517447883
1.666,-2.82833417278652
1.672,-2.83347808083688
1.678,-2.83896777402242
1.684,-2.84480793447098
1.69,-2.85104786311103
1.696,-2.85796281374439
1.702,-2.87204204216685
1.708,-2.86778140474869
1.714,-2.87592507725962
1.72,-2.88348725048903
1.726,-2.89109863085912
1.732,-2.89886241063656
1.738,-2.90680944392238
1.744,-2.91495271236013
1.75,-2.92330046623237
1.756,-2.93186207770122
1.762,-2.94065744563218
1.768,-2.94977793066981
1.774,-2.95559635163713
1.78,-2.96776523142051
1.786,-2.97750890614557
1.792,-2.98740557491369
1.798,-2.99752160578614
1.804,-3.00787775205641
1.81,-3.0184871689396
1.816,-3.02936126310332
1.822,-3.0405111845037
1.828,-3.051948276503
1.834,-3.06368399506394
1.84,-3.07572695355584
1.846,-3.08812875940468
1.852,-3.10083003633247
1.858,-3.11389552622479
1.864,-3.12733126692062
1.87,-3.14115253034842
1.876,-3.15537594741141
1.882,-3.17001906831535
1.888,-3.18510030328146
1.894,-3.20063892806697
1.9,-3.21665510816988
1.906,-3.23316993125343
1.912,-3.25020544474113
1.918,-3.26778469751481
1.924,-3.28593178523916
1.93,-3.30467189893636
1.936,-3.32403137622451
1.942,-3.34403775395687
1.948,-3.36471981920758
1.954,-3.38610765050017
1.96,-3.40823262486819
1.966,-3.4311273020301
1.972,-3.45482475190716
1.978,-3.47935362347168
1.984,-3.50425110297036
1.99,-3.53119344005544
1.996,-3.5584807863494
2.002,-3.58678714762529
2.008,-3.61614876519151
2.014,-3.6466123296548
2.02,-3.67822832658738
2.026,-3.71105032425329
2.032,-3.7451350721607
2.038,-3.7805431313352
2.044,-3.81734139057552
2.05,-3.85562385003662
2.056,-3.89496664232596
2.062,-3.93656720331824
2.068,-3.97959889412686
2.074,-4.02436154395192
2.08,-4.07095143393787
2.086,-4.11946072561712
2.092,-4.16998473322607
2.098,-4.22262339168124
2.104,-4.2774818784962
2.11,-4.33467104596649
2.116,-4.39430780699726
2.122,-4.45651551659023
2.128,-4.52144125821172
2.134,-4.5892025803426
2.14,-4.65992327741605
2.146,-4.73375821816955
2.152,-4.81086960315288
2.158,-4.89142740126882
2.164,-4.97560996766057
2.17,-5.06360512241795
2.176,-5.15561266099243
2.182,-5.25185276410453
2.188,-5.35261409721342
2.194,-5.45960926064377
2.2,-5.56691807175081
2.206,-5.6824446762837
2.212,-5.80307832883739
2.218,-5.92926710267562
2.224,-6.06126610771503
2.23,-6.19654206255493
2.236,-6.3448612688807
2.242,-6.49632309309142
