"Freq [GHz]","dB(St(1,4)) []"
1,-3.89753208331613
1.006,-2.7634933685684
1.012,-1.49831838674789
1.018,-0.349702770188906
1.024,0.254537610264634
1.03,-0.00209648606028496
1.036,-0.939268978643138
1.042,-2.12591210072517
1.048,-3.2727008404065
1.054,-4.26693660393543
1.06,-5.08546442288493
1.066,-5.73821190299573
1.072,-6.24430230175441
1.078,-6.62336629596339
1.084,-6.89278216767731
1.09,-7.06709557159298
1.096,-7.15819700777625
1.102,-7.17572447270366
1.108,-7.1274950503371
1.114,-7.01989791123713
1.12,-6.85823089505931
1.126,-6.6469818309806
1.132,-6.39006261677681
1.138,-6.09100621127107
1.144,-5.7531370576572
1.15,-5.37972518643484
1.156,-4.97413368303826
1.162,-4.53996827378847
1.168,-4.08123612763439
1.174,-3.60251795408242
1.18,-3.10915215867744
1.186,-2.60742100788987
1.192,-2.10471535212037
1.198,-1.60963633776337
1.204,-1.13197229300338
1.21,-0.682474234424449
1.216,-0.272358309642785
1.222,0.0874945816998383
1.228,0.387583550925824
1.234,0.620901226387218
1.24,0.78384758542046
1.246,0.876675707714745
1.252,0.903324327349576
1.258,0.870690511265351
1.264,0.787566072477574
1.27,0.663521288078709
1.276,0.50796371778925
1.282,0.329485855928247
1.288,0.135508688463105
1.294,-0.0678361463777282
1.3,-0.275663748471821
1.306,-0.48420391580656
1.312,-0.690632133326469
1.318,-0.892896812673678
1.324,-1.08956080948889
1.33,-1.27966499383715
1.336,-1.46261553812694
1.342,-1.63809338466354
1.348,-1.80598297273107
1.354,-1.96631695434086
1.36,-2.1192338004187
1.366,-2.26494559501675
1.372,-2.40371377055589
1.378,-2.53583097135887
1.384,-2.66160761196332
1.39,-2.7813620118434
1.396,-2.89541324212664
1.402,-3.00407602049531
1.408,-3.10765714681898
1.414,-3.20645309284331
1.42,-3.30074845199225
1.426,-3.39081502625468
1.432,-3.47691138121395
1.438,-3.55928274146639
1.444,-3.63816113000891
1.45,-3.71376567900052
1.456,-3.78630305741224
1.462,-3.85596797484072
1.468,-3.92294373121416
1.474,-3.98740279005531
1.48,-4.04950735898551
1.486,-4.10940996571254
1.492,-4.16725402119185
1.498,-4.22317436424716
1.504,-4.27729778388669
1.51,-4.32974351700707
1.516,-4.38062372025601
1.522,-4.43004391561721
1.528,-4.47810340985494
1.534,-4.52489568836379
1.54,-4.5705087842517
1.546,-4.61502562367253
1.552,-4.65852434854108
1.558,-4.70107861782798
1.564,-4.74275788865667
1.57,-4.7836276784215
1.576,-4.82374980912262
1.582,-4.86318263507516
