"Freq [GHz]","dB(St(1,2)) []"
1,-16.1996593999816
1.006,-16.8923689892532
1.012,-17.5067214233207
1.018,-17.9343441930823
1.024,-18.2162925332524
1.03,-18.3815971701627
1.036,-18.4665271956077
1.042,-18.497439088827
1.048,-18.4933650974156
1.054,-18.468282939309
1.06,-18.4316908890579
1.066,-18.3900223499374
1.072,-18.3521739862723
1.078,-18.3125898932393
1.084,-18.279830852922
1.09,-18.2534663438487
1.096,-18.2337181088289
1.102,-18.2203893478313
1.108,-18.2129715378354
1.114,-18.2107612783947
1.12,-18.2129530345783
1.126,-18.2187060898004
1.132,-18.2271774039182
1.138,-18.2372942653726
1.144,-18.2486318034398
1.15,-18.2599573791233
1.156,-18.2707012629554
1.162,-18.2801809687658
1.168,-18.2878189962653
1.174,-18.2931106887739
1.18,-18.2956247417393
1.186,-18.2950037296327
1.192,-18.2909631214541
1.198,-18.283289327074
1.204,-18.2718404415787
1.21,-18.2567249872082
1.216,-18.2371747654219
1.222,-18.2140677301977
1.228,-18.1871154677047
1.234,-18.1564317021376
1.24,-18.1221507088898
1.246,-18.0844319513967
1.252,-18.0434564355372
1.258,-17.9994230392893
1.264,-17.9525468680591
1.27,-17.9030664376497
1.276,-17.8513270754763
1.282,-17.791905070593
1.288,-17.7414400152698
1.294,-17.6841289358113
1.3,-17.6253713498609
1.306,-17.5655405382743
1.312,-17.5048936684481
1.318,-17.4436688525915
1.324,-17.3820978375677
1.33,-17.3204071806706
1.336,-17.258816933549
1.342,-17.1975387565897
1.348,-17.1367740229819
1.354,-17.0767121140139
1.36,-17.0175289894266
1.366,-16.9593860703377
1.372,-16.9024294528192
1.378,-16.8467894666958
1.384,-16.7925806109703
1.39,-16.7399019617521
1.396,-16.6888383636546
1.402,-16.6394635300049
1.408,-16.5918501798002
1.414,-16.5461238899585
1.42,-16.5035498868315
1.426,-16.4582011964792
1.432,-16.4181798262103
1.438,-16.3795383489808
1.444,-16.3425863138821
1.45,-16.3073451029206
1.456,-16.2737950755876
1.462,-16.2419020122233
1.468,-16.2116236556348
1.474,-16.1829123303223
1.48,-16.1557164248626
1.486,-16.1299814368556
1.492,-16.1056508008542
1.498,-16.0826665813577
1.504,-16.060970066275
1.51,-16.0405022786842
1.516,-16.0212044175619
1.522,-16.003018235056
1.528,-15.9858863564635
1.534,-15.9697525483596
1.54,-15.9545619399187
1.546,-15.9402612021683
1.552,-15.9267986896574
1.558,-15.9141245487631
1.564,-15.9021936554334
1.57,-15.8909561853468
1.576,-15.8803558347539
1.582,-15.8703528681172
1.588,-15.8609090069154
1.594,-15.8519873115877
1.6,-15.8435519914616
1.606,-15.8355680286012
1.612,-15.8280002338642
1.618,-15.8208100902858
1.624,-15.8139394723101
1.63,-15.8070643760318
