"Freq [GHz]","dB(St(3,3)) []"
1,-10.7507046505864
1.006,-11.5933673460736
1.012,-11.2402078503722
1.018,-10.7466279976701
1.024,-10.3495334469198
1.03,-10.0520624168143
1.036,-9.83182764486864
1.042,-9.67164871358132
1.048,-9.55476750115322
1.054,-9.47195734238114
1.06,-9.41632332124651
1.066,-9.38294042362969
1.072,-9.36785299611696
1.078,-9.36898688050992
1.084,-9.38371640541522
1.09,-9.41048057385929
1.096,-9.44794395811491
1.102,-9.49501231342993
1.108,-9.55077875491944
1.114,-9.61448249834667
1.12,-9.68547819467468
1.126,-9.76321321812599
1.132,-9.84721246129257
1.138,-9.93710141566909
1.144,-10.0324722812197
1.15,-10.133122322778
1.156,-10.2387586466104
1.162,-10.3491951861379
1.168,-10.4642539667607
1.174,-10.5837930980996
1.18,-10.7077022239982
1.186,-10.8358967834126
1.192,-10.9683127372737
1.198,-11.10490142658
1.204,-11.2456211746571
1.21,-11.3902549440558
1.216,-11.5395005744467
1.222,-11.6925030966384
1.228,-11.8495876118452
1.234,-12.0107218759337
1.24,-12.1758798954168
1.246,-12.3450292602462
1.252,-12.5181267888318
1.258,-12.6951143962168
1.264,-12.875912943319
1.27,-13.0604060845882
1.276,-13.2483346953928
1.282,-13.4434307802044
1.288,-13.6344681575805
1.294,-13.831892258211
1.3,-14.0320022574304
1.306,-14.2343621759554
1.312,-14.4385642266694
1.318,-14.6441617233938
1.324,-14.8506588187922
1.33,-15.0575094577113
1.336,-15.2641199003544
1.342,-15.4698537990868
1.348,-15.674039640795
1.354,-15.8759805019559
1.36,-16.0749660079361
1.366,-16.270286253178
1.372,-16.4612472556963
1.378,-16.647187291033
1.384,-16.8274931447535
1.39,-17.001614794623
1.396,-17.1690757152913
1.402,-17.3294713597646
1.408,-17.4824257668298
1.414,-17.627298299461
1.42,-17.7571453353465
1.426,-17.9054952813473
1.432,-18.0266832897238
1.438,-18.1434518115758
1.444,-18.2542905586715
1.45,-18.3593947496732
1.456,-18.4592167392843
1.462,-18.5543029596811
1.468,-18.6452459117959
1.474,-18.7326593290637
1.48,-18.8171608988929
1.486,-18.8993588243568
1.492,-18.9798411267328
1.498,-19.0591672604223
1.504,-19.1378617791598
1.51,-19.2164098193716
1.516,-19.2952541598472
1.522,-19.3747936099315
1.528,-19.4553824805983
1.534,-19.5373309048087
1.54,-19.6209057933918
1.546,-19.7063322374565
1.552,-19.7937951954384
1.558,-19.88344133019
1.564,-19.9754552333512
1.57,-20.0704192074408
1.576,-20.1683514689464
1.582,-20.2692598636688
1.588,-20.3731435500449
1.594,-20.4799935325451
1.6,-20.5897941192477
1.606,-20.7025266624934
1.612,-20.8181800533844
1.618,-20.9367867060729
1.624,-21.0586019190309
1.63,-21.1863743495781
1.636,-21.2997033860292
1.642,-21.4327100092295
1.648,-21.5645484859047
1.654,-21.6981118614656
1.66,-21.8335964884389
1.666,-21.9709446651853
1.672,-22.1100300775224
1.678,-22.2506936113515
1.684,-22.3927510564269
1.69,-22.5359859369251
1.696,-22.6800846606391
1.702,-22.8223532684716
1.708,-22.9721295279475
1.714,-23.1177032462685
1.72,-23.2635989553703
1.726,-23.4093121872791
1.732,-23.5545105384221
1.738,-23.6988739398299
1.744,-23.8420758483761
1.75,-23.9837794267496
1.756,-24.1236370202893
1.762,-24.2612907891189
1.768,-24.3963739582017
1.774,-24.5285125265649
1.78,-24.6573273844662
1.786,-24.782436818546
1.792,-24.9034593905823
1.798,-25.0200171716568
1.804,-25.1317393082856
1.81,-25.238265899746
1.816,-25.3392522011039
1.822,-25.434373328608
1.828,-25.5233304169054
1.834,-25.6058643083492
1.84,-25.6818619063392
1.846,-25.7498163490157
1.852,-25.8120265291439
1.858,-25.8666619786792
1.864,-25.9139430280156
1.87,-25.9538450136611
1.876,-25.9863662913611
1.882,-26.0115435705178
1.888,-26.0294537227929
1.894,-26.0402127824885
1.9,-26.0439737691354
1.906,-26.0409237774038
1.912,-26.0312805440014
1.918,-26.0152886432222
1.924,-25.9932154451898
1.93,-25.9653469619676
1.936,-25.9319836987086
1.942,-25.8934366193809
1.948,-25.8500233336872
1.954,-25.8020646281018
1.96,-25.7498815514401
1.966,-25.6937936593937
1.972,-25.6341212089065
1.978,-25.5712149425233
1.984,-25.5085924006128
1.99,-25.4360034636547
1.996,-25.364916880296
2.002,-25.2915368886767
2.008,-25.2161655040305
2.014,-25.139038429719
2.02,-25.0603683087471
2.026,-24.9803506389459
2.032,-24.8991654095296
2.038,-24.8169779040976
2.044,-24.7339393220192
2.05,-24.6501873773721
2.056,-24.565846915343
2.062,-24.4810305514898
2.068,-24.3958393286113
2.074,-24.3103633830731
2.08,-24.224682612288
2.086,-24.1388673359039
2.092,-24.0529789444187
2.098,-23.9670705301498
2.104,-23.8811874966141
2.11,-23.7953681433829
2.116,-23.7096442243473
2.122,-23.6240414780654
2.128,-23.5385227774128
2.134,-23.453060347595
2.14,-23.3677113989707
2.146,-23.282486693463
2.152,-23.1973932299914
2.158,-23.1124345925718
2.164,-23.0276112862236
2.17,-22.9429210610439
2.176,-22.8583592248755
2.182,-22.7739189450375
2.188,-22.6895915396106
2.194,-22.6053667587739
2.2,-22.5212330566871
2.206,-22.437177854402
2.212,-22.3531877942758
2.218,-22.2692489863454
2.224,-22.185347247126
2.23,-22.1014683313017
2.236,-22.0175981568109
2.242,-21.9337230238852
2.248,-21.8498298286953
2.254,-21.7659062724066
2.26,-21.6819410666593
2.266,-21.5979241367991
2.272,-21.5138468246212
2.278,-21.4297020930064
2.284,-21.3454847356936
2.29,-21.2611915966609
2.296,-21.1768218053281
2.302,-21.0923770363065
2.308,-21.0078618060776
2.314,-20.9232838243895
2.32,-20.8386544262801
2.326,-20.7539891230526
2.332,-20.6693083298678
2.338,-20.5846383583295
2.344,-20.5000128122083
2.35,-20.4154746066166
2.356,-20.3310789687596
2.362,-20.2468980108786
2.368,-20.1630278504091
2.374,-20.0795998253023
2.38,-19.9967978296799
2.386,-19.9148816847349
2.392,-19.8341945576448
2.398,-19.7549591769203
2.404,-19.6749844177941
2.41,-19.5542768498814
2.416,-18.5128111303304
2.422,-19.1105188998963
2.428,-19.1778866299249
2.434,-19.1386663019282
2.44,-19.0755453824772
2.446,-19.0040022433853
2.452,-18.9288089522505
2.458,-18.8519077369558
2.464,-18.7742470750838
2.47,-18.6963570266373
2.476,-18.6185677955518
2.482,-18.5411048706702
2.488,-18.4641348730808
2.494,-18.3877894605203
2.5,-18.3121785968492
2.506,-18.2373983007163
2.512,-18.16353536061
2.518,-18.0906703007012
2.524,-18.0188792948507
2.53,-17.9482354236831
2.536,-17.8788095062775
2.542,-17.8106706460501
2.548,-17.7438865766077
2.554,-17.6785238607093
2.56,-17.6146479749119
2.566,-17.5523232989771
2.572,-17.4916130198009
2.578,-17.4325789528024
2.584,-17.3752812783262
2.59,-17.3197781860002
2.596,-17.2661254157154
2.602,-17.2143756796131
2.608,-17.164577944946
2.614,-17.1167765527113
2.62,-17.0710101413521
2.626,-17.0273103384254
2.632,-16.9857001757729
2.638,-16.9461921752757
2.644,-16.908786042592
2.65,-16.8734658953182
2.656,-16.8401969397714
2.662,-16.8089214972454
2.668,-16.7795542664846
2.674,-16.7519766949981
2.68,-16.7260303188856
2.686,-16.7015089210472
2.692,-16.6781493539836
2.698,-16.6556208803041
2.704,-16.6335129078888
2.71,-16.6113210461941
2.716,-16.5884314971588
2.722,-16.5641039335212
2.728,-16.537453227005
2.734,-16.5074306883911
2.74,-16.472805889144
2.746,-16.4321506608212
2.752,-16.3838275076348
2.758,-16.3259853815852
2.764,-16.2565664717628
2.77,-16.1733281963495
2.776,-16.0738847286111
2.782,-15.9557718450917
2.788,-15.8165373499851
2.794,-15.6538565744248
2.8,-15.4656684075204
2.806,-15.250321971458
2.812,-15.0067160021019
2.818,-14.7343863459194
2.824,-14.4331628745403
2.83,-14.1113125443595
2.836,-13.7566350777704
2.842,-13.3825161973108
2.848,-12.9904007025341
2.854,-12.5843014476274
2.86,-12.1687370928691
2.866,-11.7484642994254
2.872,-11.3282888531222
2.878,-10.9128991887412
2.884,-10.5067186516402
2.89,-10.1137780371387
2.896,-9.73761052672885
2.902,-9.38117131280788
2.908,-9.0467842026656
2.914,-8.73611698758156
2.92,-8.45018613520489
2.926,-8.189389488796
2.932,-7.95356349065169
2.938,-7.74205949309789
2.944,-7.55383247290417
2.95,-7.38753537209627
2.956,-7.24161448706513
2.962,-7.11441767924383
2.968,-7.00542103853789
2.974,-6.90852454413755
2.98,-6.82699503395356
2.986,-6.75729629493058
2.992,-6.69800524284855
2.998,-6.6477699561639
3.004,-6.60535920325035
3.01,-6.56966768766243
3.016,-6.53971291433397
3.022,-6.51462842673158
3.028,-6.49365514934813
3.034,-6.47613183663982
3.04,-6.46148528876571
3.046,-6.4492207742224
3.052,-6.43891294128752
3.058,-6.43019738483725
3.064,-6.42276295229655
3.07,-6.4163448147335
3.076,-6.41071829039487
3.082,-6.40569338340924
3.088,-6.40110998606437
3.094,-6.3968336859711
3.1,-6.39275211726675
3.106,-6.38877179608827
3.112,-6.38481538363136
3.118,-6.38081932433764
3.124,-6.37673181151923
3.13,-6.37251103763902
3.136,-6.36812369125823
3.142,-6.3635436671861
3.148,-6.35875096053365
3.154,-6.35373071914741
3.16,-6.34847243227261
3.166,-6.34296923628187
3.172,-6.33721732092902
3.178,-6.33121542187883
3.184,-6.32496438725478
3.19,-6.31846680767187
3.196,-6.31172670071042
3.202,-6.30474924206981
3.208,-6.29754053674474
3.214,-6.2901074245141
3.22,-6.28245731484579
3.226,-6.27459804701824
3.232,-6.26653777185672
3.238,-6.25828485199483
3.244,-6.24984777800994
3.25,-6.24123509815744
3.256,-6.23243999283788
3.262,-6.22347603786814
3.268,-6.21435271511764
3.274,-6.20507911902611
3.28,-6.19566396854155
3.286,-6.18611561930603
3.292,-6.17644207595276
3.298,-6.16665100440375
3.304,-6.15674974407982
3.31,-6.14674531995264
3.316,-6.13664445438367
3.322,-6.12645357870738
3.328,-6.11617884452671
3.334,-6.10582613469692
3.34,-6.09540107398144
3.346,-6.08490903936876
3.352,-6.07435517004441
3.358,-6.06374437701588
3.364,-6.05308135239126
3.37,-6.04237057831512
3.376,-6.03161633556708
3.382,-6.02082271182994
3.388,-6.00999360963572
3.394,-5.99913275399858
3.4,-5.98824369974449
3.406,-5.97732983854783
3.412,-5.96639440568557
3.418,-5.95544048651968
3.424,-5.94447102271854
3.43,-5.93348881822823
3.436,-5.92249654500413
3.442,-5.91149674851353
3.448,-5.9004918530194
3.454,-5.88948416665544
3.46,-5.8784758863021
3.466,-5.86746910227316
3.472,-5.85646580282201
3.478,-5.84546787847642
3.484,-5.8344771262107
3.49,-5.82349525346305
3.496,-5.81252388200647
3.502,-5.80156455168058
3.508,-5.79061872399197
3.514,-5.77968778558975
3.52,-5.76877305162354
3.526,-5.75787576898991
3.532,-5.74699711947377
3.538,-5.73613822279055
3.544,-5.72530013953482
3.55,-5.71448387404085
3.556,-5.70369037716024
3.562,-5.69292054896161
3.568,-5.68217524135702
3.574,-5.67145526065976
3.58,-5.6607613700777
