"Freq [GHz]","dB(St(1,8)) []"
1,-16.9479148852519
1.006,-17.0719152254883
1.012,-17.1546884734137
1.018,-17.2094986140996
1.024,-17.245458566134
1.03,-17.2686277133617
1.036,-17.2830223786042
1.042,-17.2913267933796
1.048,-17.2953473590372
1.054,-17.2962875311334
1.06,-17.2948766552565
1.066,-17.2910049254642
1.072,-17.2934900838417
1.078,-17.2845520911832
1.084,-17.2777380867914
1.09,-17.2700843174016
1.096,-17.2613135153502
1.102,-17.2512571252938
1.108,-17.2397539482242
1.114,-17.2266426556815
1.12,-17.2117672172396
1.126,-17.194985543568
1.132,-17.1761873143172
1.138,-17.1554785679873
1.144,-17.1314416580729
1.15,-17.1060890146239
1.156,-17.0782199606934
1.162,-17.0479675071756
1.168,-17.0153644967442
1.174,-16.9804547466629
1.18,-16.9433002676224
1.186,-16.9039796125078
1.192,-16.862581862385
1.198,-16.8191885366373
1.204,-16.7737737167078
1.21,-16.7223486620716
1.216,-16.6804799823481
1.222,-16.6302972366699
1.228,-16.5792743804511
1.234,-16.5272695165943
1.24,-16.4743842903514
1.246,-16.4207532629414
1.252,-16.3665169608208
1.258,-16.3118151745161
1.264,-16.2567855912301
1.27,-16.2015685962658
1.276,-16.1463557539002
1.282,-16.0890660931253
1.288,-16.0354145060687
1.294,-15.9805488628649
1.3,-15.925945407959
1.306,-15.8717281398782
1.312,-15.817980551291
1.318,-15.7647725623429
1.324,-15.71216499111
1.33,-15.6602109465597
1.336,-15.6089565250772
1.342,-15.5584413037672
1.348,-15.5086987641804
1.354,-15.4597566882696
1.36,-15.411637540179
1.366,-15.3643588377662
1.372,-15.3179335142541
1.378,-15.2723702691959
1.384,-15.2276739076283
1.39,-15.183845666342
1.396,-15.1408835263857
1.402,-15.0987825111488
1.408,-15.0575349695981
1.414,-15.0171308444419
1.42,-14.9775579251797
1.426,-14.9388020861412
1.432,-14.9008475097427
1.438,-14.8636768952866
1.444,-14.8272716537107
1.45,-14.7916120887481
1.456,-14.7566775650084
1.462,-14.7224466635181
1.468,-14.6888973252789
1.474,-14.6560069834171
1.48,-14.6237526844959
1.486,-14.5921111995669
1.492,-14.5610591255255
1.498,-14.530572977328
1.504,-14.5006292716122
1.51,-14.471204602251
1.516,-14.4422757083488
1.522,-14.4138195351729
1.528,-14.3858132884929
1.534,-14.3582344827814
1.54,-14.331060983709
1.546,-14.3042710453463
1.552,-14.2778433424646
1.558,-14.2517569983102
1.564,-14.226029841406
1.57,-14.2007413864
1.576,-14.1757715320546
1.582,-14.1511017419488
1.588,-14.1267140621202
1.594,-14.102591121402
1.6,-14.0787161278008
1.606,-14.0550728616935
1.612,-14.0316456664942
1.618,-14.0084194373389
1.624,-13.9853796082458
1.63,-13.9625121381348
1.636,-13.9398034960241
1.642,-13.9172406456704
1.648,-13.8948110298725
1.654,-13.8725025546201
1.66,-13.850303573239
1.666,-13.8282028706541
1.672,-13.8061896478738
1.678,-13.7842535067769
1.684,-13.7623844352717
1.69,-13.740572792883
1.696,-13.7188092968174
1.702,-13.6970850085471
1.708,-13.6753913209566
1.714,-13.6537199460913
1.72,-13.6320629035598
1.726,-13.6104125096493
1.732,-13.5887613672374
1.738,-13.5671023566195
1.744,-13.5454286274242
1.75,-13.5237335918837
1.756,-13.5020109198696
1.762,-13.4802545363539
1.768,-13.4584586223749
1.774,-13.436617621339
1.78,-13.4147262538701
1.786,-13.3927795470935
1.792,-13.370772889694
1.798,-13.3487021359617
1.804,-13.326563809966
1.81,-13.304355533411
1.816,-13.2820770131709
1.822,-13.2597326601645
1.828,-13.237340139401
1.834,-13.2149698829963
1.84,-13.1931388559264
1.846,-13.1664142948896
1.852,-13.145390620705
1.858,-13.1226885466404
1.864,-13.0997039618041
1.87,-13.0765518806836
1.876,-13.0532593110704
1.882,-13.0298345225552
1.888,-13.0062798623533
1.894,-12.9825953720073
1.9,-12.9587800844939
1.906,-12.9348325693138
1.912,-12.9107511891644
1.918,-12.8865342316978
1.924,-12.8621799819427
1.93,-12.8376867644289
1.936,-12.8130529689249
1.942,-12.7882770668931
1.948,-12.7633576224957
1.954,-12.7382933003091
1.96,-12.7130828710184
1.966,-12.6877252158575
1.972,-12.6622193302801
1.978,-12.636564327169
1.984,-12.6107594397896
1.99,-12.584804024623
1.996,-12.5586975641763
2.002,-12.532439669835
