"Freq [GHz]","dB(St(1,7)) []"
1,-16.5899340967614
1.006,-16.8046738439887
1.012,-17.0106940810767
1.018,-17.2066515739159
1.024,-17.3914492368927
1.03,-17.5642479558136
1.036,-17.7244673919248
1.042,-17.8717769969286
1.048,-18.0060789306222
1.054,-18.127484831279
1.06,-18.236288455147
1.066,-18.3329361047646
1.072,-18.4179965467809
1.078,-18.4921318232932
1.084,-18.5560700289343
1.09,-18.6105807949965
1.096,-18.6564539186091
1.102,-18.6944813165194
1.108,-18.7254422776146
1.114,-18.7500918370127
1.12,-18.7691519933127
1.126,-18.7833054322899
1.132,-18.7931913964314
1.138,-18.7994033416186
1.144,-18.8024880420922
1.15,-18.8029458358957
1.156,-18.8012317399807
1.162,-18.797757203076
1.168,-18.7928923024902
1.174,-18.7869682264082
1.18,-18.7802799149059
1.186,-18.7730887603294
1.192,-18.7656252907196
1.198,-18.7580917786492
1.204,-18.7506647322365
1.21,-18.7434972350724
1.216,-18.7367211066591
1.222,-18.7304488527618
1.228,-18.7247753608604
1.234,-18.7197792572007
1.24,-18.7155237457357
1.246,-18.7120565000204
1.252,-18.7094074652872
1.258,-18.7075810529464
1.264,-18.7065294001974
1.27,-18.7060364984702
1.276,-18.7048019447966
1.282,-18.7439351424406
1.288,-18.7182602601417
1.294,-18.7206809385951
1.3,-18.7251371920182
1.306,-18.7308371909441
1.312,-18.7375974683254
1.318,-18.7453442644554
1.324,-18.7540351531512
1.33,-18.7636387776859
1.336,-18.7741280872579
1.342,-18.7854777183005
1.348,-18.7976628956113
1.354,-18.8106589622877
1.36,-18.8244411921294
1.366,-18.8389847355952
1.372,-18.8542646302066
1.378,-18.8702558414332
1.384,-18.8869333166705
1.39,-18.9042720431867
1.396,-18.9222471052201
1.402,-18.9408337377366
1.408,-18.9600073756412
1.414,-18.9797436979628
1.42,-19.0000186669396
1.426,-19.0208085621601
1.432,-19.0420900100377
1.438,-19.0638400089557
1.444,-19.0860359504449
1.45,-19.1086556367546
1.456,-19.1316772951679
1.462,-19.1550795893929
1.468,-19.1788416283396
1.474,-19.2029429725685
1.48,-19.2273636386732
