"Freq [GHz]","dB(St(1,9)) []"
1,-20.8418927787779
1.006,-20.1953652397904
1.012,-19.6022913297594
1.018,-19.3247907504956
1.024,-19.5577494756635
1.03,-20.1463187160227
1.036,-20.7739587806409
1.042,-21.2671878391367
1.048,-21.6010053006685
1.054,-21.8066560372552
1.06,-21.9214383976298
1.066,-21.974488803844
1.072,-21.9859307131314
1.078,-21.9690799775497
1.084,-21.9326318765084
1.09,-21.8822472637361
1.096,-21.8216014978585
1.102,-21.7530581300039
1.108,-21.6781001371639
1.114,-21.5976086755629
1.12,-21.5120467205925
1.126,-21.4215836089478
1.132,-21.3261832614329
1.138,-21.2256708272101
1.144,-21.119787633718
1.15,-21.0082413602479
1.156,-20.8907564546029
1.162,-20.7671284288138
1.168,-20.6372843921838
1.174,-20.5013506722504
1.18,-20.3597263553595
1.186,-20.2131588544507
1.192,-20.0628141663894
1.198,-19.9103306212424
1.204,-19.7578414426066
1.21,-19.6079496942271
1.216,-19.463640969275
1.222,-19.3281261354879
1.228,-19.2046190937247
1.234,-19.0960710772422
1.24,-19.004898978188
1.246,-18.9327542519863
1.252,-18.8803758376335
1.258,-18.847554218496
1.264,-18.8332089635303
1.27,-18.8355574980399
1.276,-18.852336750909
1.282,-18.8810356799031
1.288,-18.9191040157234
1.294,-18.9641158800999
1.3,-19.0138807533744
1.306,-19.0665048980477
1.312,-19.1204124764366
1.318,-19.174337710948
1.324,-19.2272988167347
1.33,-19.2785624269222
1.336,-19.3276048312537
1.342,-19.3740741471013
1.348,-19.4177557915184
1.354,-19.4585423678155
1.36,-19.496408257331
1.366,-19.5313887171576
1.372,-19.5635630290321
1.378,-19.593041141937
1.384,-19.6199532405621
1.39,-19.6444417118054
1.396,-19.6666550448777
1.402,-19.6867432709046
1.408,-19.7048546159804
1.414,-19.7211331028258
1.42,-19.7357168887787
1.426,-19.748737171617
1.432,-19.7603175303644
1.438,-19.7705735967875
1.444,-19.7796129759071
1.45,-19.7875353515995
1.456,-19.7944327272362
1.462,-19.8003897621216
1.468,-19.8054841729291
1.474,-19.8097871759471
1.48,-19.8133639511598
1.486,-19.8162741133397
1.492,-19.8185721786632
1.498,-19.8203080180682
1.504,-19.8215272907961
1.51,-19.8222718533906
1.516,-19.8225801409465
1.522,-19.8224875186557
1.528,-19.822026602736
1.534,-19.8212275506674
1.54,-19.8201183213429
1.546,-19.8187249062646
1.552,-19.8170715333216
1.558,-19.815180844972
1.564,-19.813074052845
1.57,-19.8107710708864
1.576,-19.8082906292128
1.582,-19.8056503708222
1.588,-19.8028669332474
1.594,-19.7999560171429
1.6,-19.7969324436742
