"Freq [GHz]","dB(St(7,7)) []"
1,-8.20838515867795
1.006,-8.104627968404
1.012,-8.01329630811518
1.018,-7.92999415258052
1.024,-7.85279657485936
1.03,-7.78327372876609
1.036,-7.72579579174423
1.042,-7.68481423985557
1.048,-7.66215598042786
1.054,-7.65647800430806
1.06,-7.66458679014181
1.066,-7.68298368715823
1.072,-7.70872473504992
1.078,-7.73963898370734
1.084,-7.77423436040807
1.09,-7.8115239657441
1.096,-7.85087114284179
1.102,-7.8918768098766
1.108,-7.9343046278183
1.114,-7.9780333828554
1.12,-8.02302705672539
1.126,-8.06931559489593
1.132,-8.11698156959403
1.138,-8.16614947354877
1.144,-8.21697540866371
1.15,-8.26963566214791
1.156,-8.32431327017906
1.162,-8.38118227876387
1.168,-8.4403900799337
1.174,-8.50203891106336
1.18,-8.56616826136261
1.186,-8.63274037747944
1.192,-8.70163112891803
1.198,-8.77262806605327
1.204,-8.84543658472604
1.21,-8.91969386614068
1.216,-8.99498898299554
1.222,-9.07088658283283
1.228,-9.1469511250457
1.234,-9.22276883529295
1.24,-9.29796524042279
1.246,-9.37221712183301
1.252,-9.44525870998286
1.258,-9.5168827305142
1.264,-9.58693739926761
1.27,-9.65532064614142
1.276,-9.72197279066811
1.282,-9.78686868680536
1.288,-9.85001008710521
1.294,-9.91141871114356
1.3,-9.97113027745372
1.306,-10.0291895874315
1.312,-10.0856466337813
1.318,-10.1405536368381
1.324,-10.1939628783073
1.33,-10.2459251926148
1.336,-10.2964889819425
1.342,-10.3456996352266
1.348,-10.393599249119
1.354,-10.4402265671458
1.36,-10.4856170702913
1.366,-10.5298031671474
1.372,-10.5728144443211
1.378,-10.6146779480243
1.384,-10.6554184759112
1.39,-10.6950588645708
1.396,-10.7336202629269
1.402,-10.7711223854408
1.408,-10.8075837416921
1.414,-10.8430218408514
1.42,-10.8774533709234
1.426,-10.9108943535706
1.432,-10.943360275932
1.438,-10.9748662012193
1.444,-11.0054268600651
1.45,-11.0350567246632
1.456,-11.0637700677241
1.462,-11.091581008188
1.468,-11.1185035455253
1.474,-11.1445515843108
1.48,-11.1697389506142
1.486,-11.1940794015919
1.492,-11.2175866295153
1.498,-11.2402742613293
1.504,-11.2621558546923
1.51,-11.2832448913275
1.516,-11.3035547683976
1.522,-11.323098788508
1.528,-11.3418901488512
1.534,-11.3599419299196
1.54,-11.3772670841386
1.546,-11.3938784247072
1.552,-11.4097886148736
1.558,-11.4250101578261
1.564,-11.4395553873335
1.57,-11.4534364592352
1.576,-11.4666653438461
1.582,-11.479253819318
1.588,-11.4912134659762
1.594,-11.5025556616294
1.6,-11.5132915778393
1.606,-11.5234321771211
1.612,-11.5329882110391
1.618,-11.5419702191515
1.624,-11.5503885287548
1.63,-11.5582532553748
1.636,-11.5655743039456
1.642,-11.5723613706201
1.648,-11.5786239451527
1.654,-11.5843713137965
1.66,-11.5896125626583
1.666,-11.5943565814543
1.672,-11.5986120676157
1.678,-11.6023875306903
1.684,-11.6056912969948
1.69,-11.6085315144696
1.696,-11.6109161576965
1.702,-11.6128530330382
1.708,-11.6143497838657
1.714,-11.6154138958411
1.72,-11.6160527022271
1.726,-11.6162733892003
1.732,-11.6160830011466
1.738,-11.6154884459241
1.744,-11.6144965000815
1.75,-11.6131138140275
1.756,-11.6113469171509
1.762,-11.6092022228985
1.768,-11.6066860338271
1.774,-11.6038045466532
1.78,-11.6005638573394
1.786,-11.5969699662659
1.792,-11.5930287835566
1.798,-11.5887461346485
1.804,-11.584127766218
1.81,-11.5791793526093
1.816,-11.5739065029438
1.822,-11.5683147691309
1.828,-11.5624096550405
1.834,-11.5561966271419
1.84,-11.54968112694
1.846,-11.5428685855465
1.852,-11.5357644406772
1.858,-11.5283741562268
1.864,-11.5207032442861
1.87,-11.5127572889432
1.876,-11.5045419703533
1.882,-11.4960630862691
1.888,-11.4873265664247
1.894,-11.4783384729428
1.9,-11.4691049776431
1.906,-11.4596323055732
1.912,-11.4499266347108
1.918,-11.4399939464648
1.924,-11.4298398320506
1.93,-11.4194692760595
1.936,-11.4088864571988
1.942,-11.398094619534
1.948,-11.3870960657147
1.954,-11.3758923002818
1.96,-11.3644843101578
1.966,-11.3528729264719
1.972,-11.3410591869126
1.978,-11.3290446225074
1.984,-11.3168314229629
1.99,-11.3044224742535
1.996,-11.2918212938569
2.002,-11.2790319039953
2.008,-11.2660586823421
2.014,-11.2529062194063
2.02,-11.2395791991365
2.026,-11.2260823086424
2.032,-11.2124201759739
2.038,-11.1985973313802
2.044,-11.1846181864036
2.05,-11.1704870254962
2.056,-11.1562080058001
2.062,-11.1417851618098
2.068,-11.1272224126133
2.074,-11.1125235701879
2.08,-11.0976923477991
2.086,-11.0827323679575
2.092,-11.067647169654
2.098,-11.0524402147612
2.104,-11.0371148935957
2.11,-11.0216745296868
2.116,-11.0061223838314
2.122,-10.9904616575196
2.128,-10.9746954958193
2.134,-10.9588269898016
2.14,-10.9428591785801
2.146,-10.9267950510272
2.152,-10.9106375472252
2.158,-10.894389559696
2.164,-10.8780539344521
2.17,-10.8616334718988
2.176,-10.8451309276172
2.182,-10.8285490130498
2.188,-10.8118903961074
2.194,-10.7951577017132
2.2,-10.7783535122961
2.206,-10.7614803682442
2.212,-10.7445407683267
2.218,-10.7275371700914
2.224,-10.7104719902434
2.23,-10.6933476050091
2.236,-10.6761663504908
2.242,-10.6589305230128
2.248,-10.6416423794637
2.254,-10.6243041376343
2.26,-10.606917976556
2.266,-10.5894860368373
2.272,-10.572010421002
2.278,-10.5544931938285
2.284,-10.5369363826919
2.29,-10.5193419779071
2.296,-10.501711933076
2.302,-10.4840481654365
2.308,-10.466352556215
2.314,-10.4486269509809
2.32,-10.430873160005
2.326,-10.4130929586193
2.332,-10.3952880875801
2.338,-10.3774602534329
2.344,-10.3596111288797
2.35,-10.3417423531474
2.356,-10.323855532359
2.362,-10.3059522399045
2.368,-10.288034016814
2.374,-10.2701023721312
2.38,-10.252158783287
2.386,-10.2342046964738
2.392,-10.2162415270192
2.398,-10.19827065976
2.404,-10.1802934494147
2.41,-10.1623112209557
2.416,-10.1443252699805
2.422,-10.1263368630804
2.428,-10.1083472382092
2.434,-10.0903576050481
2.44,-10.0723691453702
2.446,-10.0543830134015
2.452,-10.0364003361798
2.458,-10.0184222139103
2.464,-10.0004497203192
2.47,-9.98248390300294
2.476,-9.96452578377468
2.482,-9.94657635900731
2.488,-9.92863659997236
2.494,-9.91070745317519
2.5,-9.89278984068613
2.506,-9.87488466046738
2.512,-9.85699278669549
2.518,-9.83911507007947
2.524,-9.82125233817422
2.53,-9.80340539568922
2.536,-9.78557502479232
2.542,-9.76776198540866
2.548,-9.74996701551446
2.554,-9.73219083142565
2.56,-9.71443412808131
2.566,-9.69669757932168
2.572,-9.67898183816085
2.578,-9.66128753705396
2.584,-9.6436152881588
2.59,-9.62596568359192
2.596,-9.608339295679
2.602,-9.59073667719962
2.608,-9.57315836162624
2.614,-9.55560486335748
2.62,-9.53807667794564
