"Freq [GHz]","dB(St(3,3)) []"
1,-8.69539091322552
1.006,-8.43005891465804
1.012,-8.195001353012
1.018,-7.98745904532179
1.024,-7.80111558132446
1.03,-7.63525288592133
1.036,-7.48636623235227
1.042,-7.35167079344414
1.048,-7.22942981871262
1.054,-7.11752463288918
1.06,-7.01464283161075
1.066,-6.91941389660977
1.072,-6.83069183124622
1.078,-6.7475044503776
1.084,-6.66921877674774
1.09,-6.59513527036945
1.096,-6.52471738237897
1.102,-6.45749441216947
1.108,-6.39332854018655
1.114,-6.33148407950105
1.12,-6.27196178541095
1.126,-6.21451403917661
1.132,-6.15889812986781
1.138,-6.10495664045248
1.144,-6.1850479418598
1.15,-6.01756916004463
1.156,-5.95279589469062
1.162,-5.90329092411927
1.168,-5.85577582574475
1.174,-5.80483137223401
1.18,-5.76556338951725
1.186,-5.71932703927257
1.192,-5.67868038916635
1.198,-5.62917454516207
1.204,-5.58703136059739
1.21,-5.53696512571222
1.216,-5.508225520502
1.222,-5.46676806145338
1.228,-5.42646455960946
1.234,-5.38668942079101
1.24,-5.34730808099923
1.246,-5.30826184541889
1.252,-5.26951522284671
1.258,-5.23104168137448
1.264,-5.19281554205585
1.27,-5.15479587331225
1.276,-5.11681620331332
1.282,-5.07932189347376
1.288,-5.04164218623034
1.294,-5.00416712740602
1.3,-4.96677207323966
1.306,-4.92944288968082
1.312,-4.8921759664612
1.318,-4.85483004081561
1.324,-4.81767219674566
1.33,-4.780476993245
1.336,-4.74327953517249
1.342,-4.70606385359796
1.348,-4.66874930057251
1.354,-4.63196816922355
1.36,-4.59453283254863
1.366,-4.55721765990017
1.372,-4.51987983569765
1.378,-4.48249961900675
1.384,-4.44506486229403
1.39,-4.40756098515964
1.396,-4.36996284417936
1.402,-4.33221495970489
1.408,-4.29415945543874
1.414,-4.25511147020704
1.42,-4.203869173034
1.426,-4.18781564677015
1.432,-4.14808008261019
1.438,-4.10978397922774
1.444,-4.07187451629144
1.45,-4.03412589487198
1.456,-3.99646961839296
1.462,-3.95888143069553
1.468,-3.92135335284714
1.474,-3.8838844708723
1.48,-3.84647726244715
1.486,-3.80913591421998
1.492,-3.77186546398129
1.498,-3.73467132469696
1.504,-3.69755900228983
1.51,-3.6605339198476
1.516,-3.62360130457603
1.522,-3.58676611415907
1.528,-3.5500329892746
1.534,-3.51340622429217
1.54,-3.47688975107651
1.546,-3.44048713248689
1.552,-3.40420156316531
1.558,-3.36803587583872
1.564,-3.33246383744849
1.57,-3.2984318364174
1.576,-3.26452359690978
1.582,-3.23073371389176
1.588,-3.19705656141495
1.594,-3.16348628535504
1.6,-3.13001679601647
1.606,-3.09664176061529
1.612,-3.0633545956563
1.618,-3.03014845922496
1.624,-2.9970162432204
1.63,-2.96395056556346
1.636,-2.93094376242262
1.642,-2.89798788051251
1.648,-2.86507466953506
1.654,-2.83219557485241
1.66,-2.7993417305066
1.666,-2.76650395273393
1.672,-2.73367273416661
1.678,-2.70083823897301
1.684,-2.66799029926811
1.69,-2.63511841323441
1.696,-2.60221174554381
1.702,-2.56925913088081
1.708,-2.53624908166231
1.714,-2.50316980147224
1.72,-2.47000920634141
1.726,-2.43675495690305
1.732,-2.40339450580129
1.738,-2.36991516677897
1.744,-2.33630421505224
1.75,-2.30254903362762
1.756,-2.26863732842529
1.762,-2.23455744879122
1.768,-2.20029887363489
1.774,-2.16585296568242
1.78,-2.1312141749572
1.786,-2.09638202598318
1.792,-2.06136453958182
1.798,-2.02618443756455
1.804,-1.99089114561893
1.81,-1.95558601710226
1.816,-1.92048147187167
1.822,-1.88606238598589
1.828,-1.85363893706997
1.834,-1.82814843854802
1.84,-1.85633136026255
1.846,-1.62841492611036
1.852,-1.64717071269325
1.858,-1.61877704716652
1.864,-1.58279981312778
1.87,-1.54378959742805
1.876,-1.50296765716937
1.882,-1.46077427826937
1.888,-1.41738481157607
1.894,-1.37286215417964
1.9,-1.32721282812015
1.906,-1.28041074656631
1.912,-1.23240827375869
1.918,-1.18314166892942
1.924,-1.13253382043996
1.93,-1.08049558883816
1.936,-1.02692641477301
1.942,-0.971714550819002
1.948,-0.914737137044025
1.954,-0.855860273773527
1.96,-0.794939213957914
1.966,-0.731818783720417
1.972,-0.666334133167548
1.978,-0.598311913981872
1.984,-0.52757197064916
1.99,-0.453929613844991
1.996,-0.37719851328767
2.002,-0.297194199721171
2.008,-0.213738099647707
2.014,-0.126661942809223
2.02,-0.0358122862717816
2.026,0.0589451992471752
2.032,0.157722119282874
2.038,0.260604909641041
2.044,0.367654035478966
2.05,0.478905235940162
2.056,0.594373054673428
2.062,0.714056667177855
2.068,0.837947746541136
2.074,0.966039844382452
2.08,1.09833855433779
2.086,1.23487161494325
2.092,1.37569812151466
2.098,1.52091614997472
2.104,1.67066832076361
2.11,1.82514510155077
2.116,1.98458591237695
2.122,2.14927831316568
2.128,2.31938940671832
2.134,2.49448343453663
2.14,2.6745063021893
2.146,2.85942849349284
2.152,3.04920715031843
2.158,3.24378583342517
2.164,3.44309425075832
2.17,3.64704792329663
2.176,3.85554775416596
2.182,4.06847946235216
2.188,4.28571283796933
2.194,4.50710077171099
2.2,4.73247800689311
2.206,4.9616595585055
2.212,5.19443874011128
2.218,5.43058473660142
2.224,5.66983965927482
2.23,5.91191502048758
2.236,6.15648757032671
2.242,6.40319445319694
2.248,6.65162768946187
2.254,6.90132818199368
2.26,7.15178065805618
2.266,7.4008595064337
2.272,7.65244173837098
2.278,7.90131440786011
2.284,8.14809198019621
2.29,8.39184029889473
2.296,8.63150828472601
2.302,8.86592657810498
2.308,9.09380421118792
2.314,9.31372860660433
2.32,9.5241712714454
2.326,9.72350446116087
2.332,9.91007895563074
2.338,10.0812034598905
2.344,10.23688105495
2.35,10.3740025244659
2.356,10.4911088936567
2.362,10.5866269650568
2.368,10.6591616857088
2.374,10.7075673124556
2.38,10.7310015787104
2.386,10.7289661813888
2.392,10.7013308232979
2.398,10.6483395094567
2.404,10.5706204263979
2.41,10.468944394561
2.416,10.3447406600202
2.422,10.199317624217
2.428,10.0342742100006
2.434,9.85129773895652
2.44,9.65211510318472
2.446,9.43844107874503
2.452,9.21193008028081
2.458,8.97411845357537
2.464,8.72626155617025
2.47,8.4674438131163
2.476,8.20724216909308
2.482,7.94094194152076
2.488,7.66723236313107
2.494,7.38943144003824
2.5,7.10834023417518
2.506,6.82461649416735
2.512,6.53882660721281
2.518,6.25145570164236
2.524,5.96291588572356
2.53,5.67355432692212
2.536,5.38366096061282
2.542,5.09347563420183
2.548,4.80319459443046
2.554,4.51297629260665
2.56,4.22294652173222
2.566,3.93320292171044
2.572,3.64381890066731
2.578,3.35484702581383
2.584,3.06632193860548
2.59,2.77826284774399
2.596,2.49067565081474
2.602,2.20355473172017
2.608,1.91688447699911
2.614,1.63064054989843
2.62,1.34479095687969
2.626,1.05929693721307
2.632,0.774113702510931
2.638,0.489191049521829
2.644,0.204473866267009
2.65,-0.0800974513387594
2.656,-0.36458665788184
2.662,-0.649061379709453
2.668,-0.933592888975275
2.674,-1.21825592219633
2.68,-1.50312853660418
2.686,-1.78829199890027
2.692,-2.0738307021429
2.698,-2.35983210741981
2.704,-2.64638670771843
2.71,-2.93358801201169
2.716,-3.22153254805407
2.722,-3.51031988274195
2.728,-3.80005265915486
2.734,-4.09083664957045
2.74,-4.38278082384665
2.746,-4.67599743259915
2.752,-4.97060210457682
2.758,-5.26671395755199
2.764,-5.56445572190041
2.77,-5.86395387583855
2.776,-6.16533879100975
2.782,-6.46874488675231
2.788,-6.77431079092353
2.794,-7.08217950457529
2.8,-7.39249856704576
2.806,-7.70542021711356
2.812,-8.02110154470535
2.818,-8.33970462619592
2.824,-8.66139663451462
2.83,-8.98634991297642
2.836,-9.31474199886652
2.842,-9.64675557917401
2.848,-9.98257835629461
2.854,-10.3224027957597
2.86,-10.666425720795
2.866,-11.0148477093732
2.872,-11.3678722379177
2.878,-11.725704501334
2.884,-12.0885498208294
2.89,-12.4566115281215
2.896,-12.830088185982
2.902,-13.2091699692973
2.908,-13.5940339863745
2.914,-13.9848382653498
2.92,-14.3817140634534
2.926,-14.7847560759185
2.932,-15.1940100254527
2.938,-15.609457002833
2.944,-16.03099380753
2.95,-16.4584084125502
2.956,-16.891349566705
2.962,-17.3292894809336
2.968,-17.7714785751876
2.974,-18.2168914720988
2.98,-18.664163939111
2.986,-19.1115214796717
2.992,-19.5567019847775
2.998,-19.9968775299987
3.004,-20.4285842335633
3.01,-20.8476740453932
3.016,-21.2493078754097
3.022,-21.6280141831222
3.028,-21.9778384828077
3.034,-22.2926036408643
3.04,-22.5662850004987
3.046,-22.7934774725361
3.052,-22.9698984564866
3.058,-23.0928421454061
3.064,-23.1614921593573
3.07,-23.1770205893961
3.076,-23.1424494413997
3.082,-23.062307902612
3.088,-22.9421631023874
3.094,-22.7881179091484
3.1,-22.6063563952616
3.106,-22.4027874227952
3.112,-22.1828039838193
3.118,-21.9511507610818
3.124,-21.711878438715
3.13,-21.4683591518713
3.136,-21.2233395998612
3.142,-20.979013348024
3.148,-20.7370993535845
3.154,-20.4989185341195
3.16,-20.2654638246483
3.166,-20.0374616629757
3.172,-19.8154244151087
3.178,-19.5996941545792
3.184,-19.3904786620405
3.19,-19.1878806831143
3.196,-18.9919214910726
3.202,-18.8025597238266
3.208,-18.6197063496516
3.214,-18.4432364909574
3.22,-18.2729987152305
3.226,-18.1088222942236
3.232,-17.9505228391181
3.238,-17.7979066408387
3.244,-17.6507739797728
3.25,-17.5089216161532
3.256,-17.3679163105478
3.262,-17.2308376779835
3.268,-17.0972932820398
3.274,-16.9669035604759
3.28,-16.8393021378002
3.286,-16.7141359798352
3.292,-16.5910654424653
3.298,-16.4697642521351
3.304,-16.3499194444907
3.31,-16.2312312790305
3.316,-16.1134131411792
3.322,-15.9961914384107
3.328,-15.8793054936226
3.334,-15.7625074367463
3.34,-15.6455620944446
3.346,-15.5282468777021
3.352,-15.4103516681904
3.358,-15.2916787066194
3.364,-15.172042490063
3.37,-15.0512696907311
3.376,-14.9291991162156
3.382,-14.8056817412559
3.388,-14.6805808540226
3.394,-14.5537723762184
3.4,-14.4251454362129
3.406,-14.2946032978387
3.412,-14.1620647734418
3.418,-14.0274662759339
3.424,-13.8907646861632
3.43,-13.7519412204492
3.436,-13.6110064649139
3.442,-13.4680066779662
3.448,-13.3230313227045
3.454,-13.1762215454718
3.46,-13.0277789376509
3.466,-12.87797339852
3.472,-12.7271483005059
3.478,-12.5757205719535
3.484,-12.4241729949051
3.49,-12.2730363007716
3.496,-12.1228598689777
3.502,-11.9741721286051
3.508,-11.8274348253707
3.514,-11.6829982684564
3.52,-11.5410662493984
3.526,-11.4016784462677
3.532,-11.2647145969513
3.538,-11.1299195823552
3.544,-10.9969436813687
3.55,-10.8653894031603
3.556,-10.734856221639
3.562,-10.6049767493073
3.568,-10.4754411519611
3.574,-10.346009660865
3.58,-10.2165151180702
3.586,-10.086858422535
3.592,-9.9569997661262
3.598,-9.82694804179284
3.604,-9.69675011215372
3.61,-9.56648096746236
3.616,-9.43623528198
3.622,-9.30612051989957
3.628,-9.17625152545405
3.634,-9.04674642072604
3.64,-8.91772359343491
3.646,-8.78929955718667
3.652,-8.66158748829513
3.658,-8.53469627352824
3.664,-8.40872993458324
3.67,-8.28378732393606
3.676,-8.15996201135579
3.682,-8.03734230049608
3.688,-7.91601133088753
3.694,-7.79604723294531
3.7,-7.67752331292444
3.706,-7.56050825171646
3.712,-7.4450663065127
3.718,-7.33125750809937
3.724,-7.21913784924257
3.73,-7.10875946153773
3.736,-7.00017077944199
3.742,-6.89341669113504
3.748,-6.78853867647878
3.754,-6.68557493275377
3.76,-6.58456048910332
3.766,-6.48552731075936
3.772,-6.38850439419081
3.778,-6.2935178543289
3.784,-6.20059100500106
3.79,-6.10974443365794
3.796,-6.02099607141558
3.802,-5.93436125936204
3.808,-5.84985281199952
3.814,-5.76748107861179
3.82,-5.68725400326522
3.826,-5.60917718407006
3.832,-5.53325393224913
3.838,-5.45948533148374
3.844,-5.38787029793204
3.85,-5.31840564124365
3.856,-5.25108612682649
3.862,-5.18590453955774
3.868,-5.12285174907061
3.874,-5.06191677669263
3.88,-5.00308686405945
3.886,-4.94634754338088
3.892,-4.89168270929296
3.898,-4.83907469219191
3.904,-4.78850433291196
3.91,-4.73995105857988
3.916,-4.6933929594552
3.922,-4.64880686654406
3.928,-4.60616842975987
3.934,-4.5654521963918
3.94,-4.52663168963476
3.946,-4.48967948693074
3.952,-4.45456729787093
3.958,-4.42126604141105
3.964,-4.38974592215803
3.97,-4.35997650549467
3.976,-4.33192679131957
3.982,-4.30556528619252
3.988,-4.28086007368951
3.994,-4.2577788827877
4,-4.23628915411712
4.006,-4.21635810393351
4.012,-4.19795278568451
4.018,-4.18104014906001
4.024,-4.1655870964352
4.03,-4.15156053663301
4.036,-4.1389274359503
4.042,-4.12765486640891
4.048,-4.117710051209
4.054,-4.10906040737756
4.06,-4.10167358561941
4.066,-4.09551750739125
4.072,-4.09056039923224
4.078,-4.08677082439514
4.084,-4.08411771183291
4.09,-4.08257038260433
4.096,-4.08209857377018
4.102,-4.08267245985857
4.108,-4.08426267198366
4.114,-4.08684031470694
4.12,-4.09037698073401
4.126,-4.09484476354283
4.132,-4.10021626804157
4.138,-4.10646461935542
4.144,-4.11356346984237
4.15,-4.12148700443811
4.156,-4.13020994442943
4.162,-4.13970754975425
4.168,-4.1499556199252
4.174,-4.16093049367125
4.18,-4.17260904738979
4.186,-4.18496869249884
4.192,-4.19798737177606
4.198,-4.21164355476843
4.204,-4.22591623235279
4.21,-4.24078491052451
4.216,-4.25622960348775
4.222,-4.27223082611742
4.228,-4.28876958585948
4.234,-4.3058273741326
4.24,-4.32338615729067
4.246,-4.34142836720245
4.252,-4.3599368915009
4.258,-4.37889506355186
4.264,-4.39828665218814
4.27,-4.41809585125229
4.276,-4.43830726898816
4.282,-4.45890591731851
4.288,-4.47987720104325
4.294,-4.50120690699018
4.3,-4.52288119314761
4.306,-4.5448865778059
4.312,-4.5672099287327
4.318,-4.58983845240455
4.324,-4.61275968331539
4.33,-4.63596147338093
4.336,-4.65943198145574
4.342,-4.6831596629785
4.348,-4.70713325975917
4.354,-4.73134178992072
4.36,-4.75577453800616
4.366,-4.78042104526109
4.372,-4.80527110010017
4.378,-4.83031472876557
4.384,-4.85554218618381
4.39,-4.88094394702707
4.396,-4.90651069698396
4.402,-4.93223332424409
4.408,-4.95810291120011
4.414,-4.98411072637032
4.42,-5.01024821654442
4.426,-5.03650699915431
4.432,-5.0628788548717
4.438,-5.08935572043373
4.444,-5.11592968169731
4.45,-5.14259296692299
4.456,-5.16933794028842
4.462,-5.19615709563161
4.468,-5.22304305042369
4.474,-5.24998853997095
4.48,-5.27698641184551
4.486,-5.30402962054409
4.492,-5.331111222374
4.498,-5.35822437056554
4.504,-5.38536231060978
4.51,-5.41251837582074
4.516,-5.43968598312069
4.522,-5.46685862904758
4.528,-5.49402988598318
4.534,-5.52119339860067
4.54,-5.54834288053045
4.546,-5.57547211124249
4.552,-5.60257493314405
4.558,-5.6296452488911
4.564,-5.65667701891187
4.57,-5.68366425914092
4.576,-5.71060103896215
4.582,-5.73748147935873
4.588,-5.76429975126836
4.594,-5.79105007414179
4.6,-5.81772671470258
4.606,-5.84432398590598
4.612,-5.87083624609474
