"Freq [GHz]","dB(St(4,4)) []"
1,-11.3702385548186
1.006,-22.6757557728048
1.012,-18.4529766036366
1.018,-13.2439678112948
1.024,-10.6790615330461
1.03,-9.00153564742906
1.036,-7.91519628750175
1.042,-7.14648133848415
1.048,-6.62848031684158
1.054,-6.25627473957802
1.06,-5.98439486124069
1.066,-5.78569277256395
1.072,-5.64004463968267
1.078,-5.53054964450762
1.084,-5.45184792188103
1.09,-5.39655226416343
1.096,-5.36074735590824
1.102,-5.34139786631847
1.108,-5.33611453735756
1.114,-5.34383227837156
1.12,-5.36317545576037
1.126,-5.39343257445722
1.132,-5.4337902969592
1.138,-5.47912734136578
1.144,-12.5372082579065
1.15,-12.4215681847303
1.156,-12.3811949092317
1.162,-12.3562811810321
1.168,-12.3400636546005
1.174,-12.331157192308
1.18,-12.3294488150693
1.186,-12.3352284965812
1.192,-12.3489082704594
1.198,-12.3708985079447
1.204,-12.4015389738938
1.21,-12.4410557650956
1.216,-12.4895366435944
1.222,-12.5469251311783
1.228,-12.6130379400789
1.234,-12.6876150419674
1.24,-12.7704215579572
1.246,-12.8614465394109
1.252,-12.9613196044496
1.258,-13.0723220682525
1.264,-13.2014327595473
1.27,-13.3730658500494
1.276,-13.7305934210785
1.282,-10.9260373555248
1.288,-11.4570491981436
1.294,-12.0244010087936
1.3,-12.6326315302443
1.306,-13.2821624944527
1.312,-13.9753137762129
1.318,-14.7120629694143
1.324,-15.4912105727395
1.33,-16.3080034329385
1.336,-17.153099421051
1.342,-18.0081838185618
1.348,-18.8432677835254
1.354,-19.6086517202472
1.36,-20.4236721953629
1.366,-20.6867489899999
1.372,-20.8584170896659
1.378,-21.144830201732
1.384,-20.4433416514334
1.39,-19.9469931882517
1.396,-19.3259631429513
1.402,-18.6654108274887
1.408,-18.0098078731798
1.414,-17.3594939168396
1.42,-16.7311376390827
1.426,-14.9301113825905
1.432,-14.6402112067188
1.438,-14.3125821715787
1.444,-13.974763079888
1.45,-13.6342307595004
1.456,-13.2955122900629
1.462,-12.9619393327968
1.468,-12.6360661996863
1.474,-12.319841431984
1.48,-12.0147145195851
1.486,-11.7217190477822
1.492,-11.4415431830034
1.498,-11.1745907304867
1.504,-10.9210340040806
1.51,-10.6808592913525
1.516,-10.4539056316867
1.522,-10.2398976270548
1.528,-10.0384729930619
1.534,-9.8492055214247
1.54,-9.67162407176689
1.546,-9.50522814965553
1.552,-9.34950056579006
1.558,-9.20391761209025
1.564,-8.97224635604837
1.57,-8.61323543324574
1.576,-8.39546771871343
1.582,-8.25009612166444
1.588,-8.14669037366262
1.594,-8.06974552414132
1.6,-8.01053621436438
1.606,-7.96377751802657
1.612,-7.92608138970493
1.618,-7.89517533027629
1.624,-7.86947768400684
1.63,-7.84785313009704
1.636,-7.82946507865468
1.642,-7.81368294304264
1.648,-7.80002187142968
1.654,-7.78810240548862
1.66,-7.77762277196806
1.666,-7.76833940994527
1.672,-7.76005299990145
1.678,-7.75259824746278
1.684,-7.74583627700727
1.69,-7.73964886739978
1.696,-7.73393400326083
1.702,-7.72860237204401
1.708,-7.72357454032794
1.714,-7.71877861045838
1.72,-7.71414820201582
1.726,-7.7096206278991
1.732,-7.70513514521563
1.738,-7.70063115705253
1.744,-7.6960462200644
1.75,-7.69131366816035
1.756,-7.68635958139089
1.762,-7.68109868657699
1.768,-7.67542852449402
1.774,-7.66922076280597
1.78,-7.66230767863654
1.786,-7.65446015332864
1.792,-7.64535002713734
1.798,-7.63448189133505
1.804,-7.62106063861889
1.81,-7.60371092477558
1.816,-7.57981156179143
1.822,-7.54364946259228
1.828,-7.47996806371622
1.834,-7.33089254992543
1.84,-6.75706653716652
1.846,-8.26315243613011
1.852,-7.92991652195023
1.858,-7.82677028985624
1.864,-7.77517949169997
1.87,-7.74259353831481
1.876,-7.71891592667622
1.882,-7.70000695338243
1.888,-7.6838524720125
1.894,-7.66935007875602
1.9,-7.65584107368918
1.906,-7.64290352253402
1.912,-7.63025099096664
1.918,-7.61767893807684
1.924,-7.60503449538961
1.93,-7.59219852419314
1.936,-7.57907448792947
1.942,-7.56558128730823
1.948,-7.55164849233403
1.954,-7.5372130740822
1.96,-7.52221710280017
1.966,-7.5066060847778
1.972,-7.49032773105873
1.978,-7.47333102395705
1.984,-7.45556549262186
1.99,-7.43698063773222
1.996,-7.41752546420568
2.002,-7.39714809333385
2.008,-7.37579543429444
2.014,-7.35341290093815
2.02,-7.32994416400169
2.026,-7.30533093203033
2.032,-7.27951275668669
2.038,-7.25242686003551
2.044,-7.22400798300847
2.05,-7.19418825570091
2.056,-7.16289709153398
2.062,-7.13006110871337
2.068,-7.09560408389864
2.074,-7.0594469446318
2.08,-7.02150780892126
2.086,-6.98170208250506
2.092,-6.93994262679196
2.098,-6.89614001337582
2.104,-6.85020288441675
2.11,-6.80203844216797
2.116,-6.75155309558989
2.122,-6.69865329742378
2.128,-6.66155105668465
2.134,-6.63840450524055
2.14,-6.61055537136277
2.146,-6.5783074717919
2.152,-6.54196385159919
2.158,-6.50181669427535
2.164,-6.45814038366395
2.17,-6.41118713991319
2.176,-6.36118466669537
2.182,-6.30833530540995
2.188,-6.25281627017944
2.194,-6.19478061947506
2.2,-6.13435869692495
2.206,-6.0716598406553
2.212,-6.00677421582823
2.218,-5.93977466911483
2.224,-5.87071853786657
2.23,-5.79964937229394
2.236,-5.72659854764608
2.242,-5.65158675669672
2.248,-5.57462538205685
2.254,-5.49571775400288
2.26,-5.41486030346221
2.266,-5.33204362218172
2.272,-5.24725344340421
2.278,-5.16047155695701
2.284,-5.07167667277803
2.29,-4.98084524675691
2.296,-4.88795228248381
2.302,-4.79297212216593
2.308,-4.69587923964874
2.314,-4.59664904820085
2.32,-4.49525873550426
2.326,-4.39168813813795
2.332,-4.28592066774401
2.338,-4.17794430100117
2.344,-4.06775264547226
2.35,-3.95534609329694
2.356,-3.84073307451824
2.362,-3.72393142149019
2.368,-3.60496985523224
2.374,-3.48388960366741
2.38,-3.36074616027741
2.386,-3.23561118967642
2.392,-3.1085745837597
2.398,-2.97974666821277
2.404,-2.84926055402541
