"Freq [GHz]","dB(St(1,9)) []"
1,-14.4285621364135
1.006,-15.0135827671751
1.012,-15.5504762930941
1.018,-16.0516856202211
1.024,-16.5251673769845
1.03,-16.973946399745
1.036,-17.3962316286451
1.042,-17.7865244025681
1.048,-18.137725452458
1.054,-18.4436382146941
1.06,-18.7009298342565
1.066,-18.9098725604133
1.072,-19.0738511436097
1.078,-19.1981612966869
1.084,-19.2887275785475
1.09,-19.3511400415946
1.096,-19.3901200883588
1.102,-19.4093453476438
1.108,-19.411506853477
1.114,-19.3984864133054
1.12,-19.3715777225178
1.126,-19.3317060812743
1.132,-19.2796219607685
1.138,-19.2160552176426
1.144,-19.1418234849303
1.15,-19.0578932549772
1.156,-18.9653968188492
1.162,-18.8656125345093
1.168,-18.7599191283571
1.174,-18.6497361492693
1.18,-18.5364620359272
1.186,-18.4214188873585
1.192,-18.3058097253198
1.198,-18.1906906719628
1.204,-18.0769577007947
1.21,-17.9653457819998
1.216,-17.856437350848
1.222,-17.7506768935478
1.228,-17.6483888036131
1.234,-17.5497962629897
1.24,-17.4550395571493
1.246,-17.3641928259078
1.252,-17.2772787271822
1.258,-17.1942808372157
1.264,-17.1151538403479
1.27,-17.0398316972019
1.276,-16.9682340471215
1.282,-16.9002711209846
1.288,-16.8358474318004
1.294,-16.7748644856733
1.3,-16.7172227236264
1.306,-16.6628228710412
1.312,-16.6115668393853
1.318,-16.5633582961624
1.324,-16.5181029943108
1.33,-16.4757089316484
1.336,-16.4360863941275
1.342,-16.3991479231804
1.348,-16.3648082368003
1.354,-16.3329841257332
1.36,-16.3035943398038
1.366,-16.2765594745904
1.372,-16.2518018650644
1.378,-16.2292454901616
1.384,-16.2088158903373
1.39,-16.1904400988029
1.396,-16.1740465862102
1.402,-16.1595652179382
1.408,-16.1469272227636
1.414,-16.1360651714894
1.42,-16.1269129640274
1.426,-16.1194058234358
1.432,-16.1134802954775
1.438,-16.1090742523667
1.444,-16.1061268994956
1.45,-16.1045787840675
1.456,-16.1043718047024
1.462,-16.105449221216
1.468,-16.1077556639006
1.474,-16.1112371417613
1.48,-16.1158410492658
1.486,-16.1215161712702
1.492,-16.128212685868
1.498,-16.1358821649895
1.504,-16.1444775726435
1.51,-16.1539532607545
1.516,-16.1642649625911
1.522,-16.1753697838279
1.528,-16.1872261913117
1.534,-16.1997939996311
1.54,-16.2130343556075
1.546,-16.2269097208434
1.552,-16.2413838524723
1.558,-16.2564217822627
1.564,-16.2719897942327
1.57,-16.288055400933
1.576,-16.3045873185547
1.582,-16.321555441015
1.588,-16.3389308131702
1.594,-16.3566856033001
1.6,-16.3747930750003
1.606,-16.3932275586117
1.612,-16.411964422312
1.618,-16.4309800429798
1.624,-16.4502517769425
1.63,-16.4697579307024
1.636,-16.4894777317349
1.642,-16.5093912994399
1.648,-16.5294796163243
1.654,-16.5497244994823
1.66,-16.5701085724386
1.666,-16.590615237409
1.672,-16.6112286480308
1.678,-16.6319336826099
1.684,-16.6527159179269
1.69,-16.6735616036424
1.696,-16.6944576373412
1.702,-16.7153915402529
1.708,-16.7363514336913
1.714,-16.7573260162584
1.72,-16.7783045418713
1.726,-16.7992767986809
1.732,-16.8202330889858
1.738,-16.8411642102759
1.744,-16.8620614376113
1.75,-16.8829165076427
1.756,-16.9037216047467
1.762,-16.9244693500294
1.768,-16.9451527944361
1.774,-16.9657654180546
1.78,-16.9863011392883
1.786,-17.0067543406343
1.792,-17.027119924071
1.798,-17.0473934227363
1.804,-17.0675712278603
1.81,-17.0876510739645
1.816,-17.1076331733147
1.822,-17.127523256141
1.828,-17.1473426185887
1.834,-17.1671755682899
1.84,-17.1876805878994
1.846,-17.2026548471242
1.852,-17.2237879773007
1.858,-17.243167095072
1.864,-17.2622238814683
1.87,-17.2810819534621
1.876,-17.2997713453373
1.882,-17.3183019017785
1.888,-17.3366770434411
1.894,-17.3548976781042
1.9,-17.3729636070252
1.906,-17.3908741149041
1.912,-17.4086282455514
1.918,-17.4262249410449
1.924,-17.4436631159032
1.93,-17.4609416980205
1.936,-17.4780596515983
1.942,-17.4950159898623
1.948,-17.5118097817703
1.954,-17.5284401550771
1.96,-17.5449062971467
1.966,-17.5612074543506
1.972,-17.5773429305761
1.978,-17.5933120851759
1.984,-17.6091143305782
1.99,-17.624749129697
1.996,-17.6402159932423
2.002,-17.6555144769916
2.008,-17.6706441790692
2.014,-17.6856047372614
2.02,-17.7003958263892
2.026,-17.7150171557508
2.032,-17.7294684666432
2.038,-17.7437495299679
2.044,-17.7578601439237
2.05,-17.7718001317869
2.056,-17.7855693397803
2.062,-17.7991676350284
2.068,-17.8125949035979
2.074,-17.8258510486209
2.08,-17.8389359884995
2.086,-17.8518496551869
2.092,-17.8645919925445
2.098,-17.8771629547708
2.104,-17.8895625048995
2.11,-17.901790613364
2.116,-17.9138472566251
2.122,-17.9257324158589
2.128,-17.9374460757032
2.134,-17.948988223058
2.14,-17.9603588459383
2.146,-17.9715579323768
2.152,-17.9825854693733
2.158,-17.9934414418886
2.164,-18.0041258318803
2.17,-18.0146386173789
2.176,-18.0249797716006
2.182,-18.0351492620957
2.188,-18.0451470499303
2.194,-18.0549730888984
2.2,-18.0646273247636
2.206,-18.0741096945274
2.212,-18.0834201257231
2.218,-18.0925585357328
2.224,-18.1015248311255
2.23,-18.110318907016
2.236,-18.1189406464413
2.242,-18.1273899197535
2.248,-18.1356665840276
2.254,-18.1437704824835
2.26,-18.1517014439185
2.266,-18.1594592821515
2.272,-18.1670437954754
2.278,-18.1744547661175
2.284,-18.1816919597058
2.29,-18.1887551247408
2.296,-18.1956439920699
2.302,-18.2023582743654
2.308,-18.2088976656023
2.314,-18.2152618405367
2.32,-18.2214504541828
2.326,-18.2274631412868
2.332,-18.2332995157975
2.338,-18.2389591703317
2.344,-18.2444416756339
2.35,-18.2497465800282
2.356,-18.2548734088625
2.362,-18.2598216639426
2.368,-18.2645908229561
2.374,-18.269180338885
