"Freq [GHz]","dB(St(1,2)) []"
1,-9.28748860177706
1.006,-8.89075521113524
1.012,-8.57916919109476
1.018,-8.34938535414217
1.024,-8.1863480250275
1.03,-8.07418479369947
1.036,-8.00174166290851
1.042,-7.95320246479204
1.048,-7.9255730626223
1.054,-7.91191692684785
1.06,-7.9081381789317
1.066,-7.91135643877443
1.072,-7.91932797525108
1.078,-7.93103465892848
1.084,-7.94514338033961
1.09,-7.96101064030549
1.096,-7.97815843333311
1.102,-7.99650432413827
1.108,-8.01325046164873
1.114,-8.03273986681907
1.12,-8.05183703380221
1.126,-8.07093235817334
1.132,-8.0900867508276
1.138,-8.11062344393653
1.144,-10.1961443738622
1.15,-10.279141693859
1.156,-10.3628299941785
1.162,-10.4460341898404
1.168,-10.527171103736
1.174,-10.6379108609082
1.18,-10.5860218897304
1.186,-10.592075191422
1.192,-4.83815631210381
1.198,-10.1346542860482
1.204,-9.79925970736955
1.21,-5.44927424084769
1.216,-3.92815122151479
1.222,-7.84085366947818
1.228,-8.43101310847362
1.234,-8.54356027947766
1.24,-8.54664938915901
1.246,-8.53725644560316
1.252,-8.547025587536
1.258,-8.58214614242264
1.264,-8.63454201764809
1.27,-8.67988220329427
1.276,-8.60853923818224
1.282,-10.9007452837857
1.288,-10.8695379849302
1.294,-10.8367973435372
1.3,-10.8026316096776
1.306,-10.7674490807716
1.312,-10.7315437807897
1.318,-10.6952144283802
1.324,-10.6586976568572
1.33,-10.6222104762563
1.336,-10.5859282652042
1.342,-10.5500016036767
1.348,-10.5145882037019
1.354,-10.4794417526479
1.36,-10.4452682849495
1.366,-10.4117072641629
1.372,-10.3788730353462
1.378,-10.3467973561444
1.384,-10.3154518617016
1.39,-10.2851592130084
1.396,-10.2554272001732
1.402,-10.2265317369783
1.408,-10.1984173415389
1.414,-10.171014428505
1.42,-10.1435332423376
1.426,-10.1183874926675
1.432,-10.0930726771099
1.438,-10.0683835862511
1.444,-10.0442865090674
1.45,-10.0207408270564
1.456,-9.99764662722261
1.462,-9.97520215828646
1.468,-9.95308925489232
1.474,-9.93138675531938
1.48,-9.91005100366391
1.486,-9.8890338347797
1.492,-9.8667748249478
1.498,-9.84801414782489
1.504,-9.82779120847854
1.51,-9.80778500775072
1.516,-9.7879495892426
1.522,-9.76825047258102
1.528,-9.74865547347452
1.534,-9.72913340524516
1.54,-9.70965373847124
1.546,-9.69018647113044
1.552,-9.67070206173861
1.558,-9.65117138569089
1.564,-9.63468480755545
1.57,-9.62686236550747
1.576,-9.61800194006196
1.582,-9.60812470503823
1.588,-9.59725139056872
1.594,-9.58540224846581
1.6,-9.57259702391636
1.606,-9.55885493290849
1.612,-9.54419464484068
1.618,-9.52863426980617
1.624,-9.51219135008596
1.63,-9.49488285542231
1.636,-9.47672518167998
1.642,-9.4577341525364
1.648,-9.43792502387307
1.654,-9.41731249057008
1.66,-9.39591069543256
1.666,-9.37373324000369
1.672,-9.35079319704191
1.678,-9.32710312446231
1.684,-9.30267508056171
1.69,-9.27752064036576
1.696,-9.251650912953
1.702,-9.22507655962588
1.708,-9.19780781281253
1.714,-9.16985449559429
1.72,-9.14122604176368
1.726,-9.11193151632456
1.732,-9.08197963634945
1.738,-9.05137879210816
1.744,-9.02013706837366
1.75,-8.98826226579216
1.756,-8.95576192216802
1.762,-8.92264333344716
1.768,-8.88891357406262
1.774,-8.85457951608696
1.78,-8.81964784622562
1.786,-8.78412507888542
1.792,-8.74801756191121
1.798,-8.71133146799954
1.804,-8.67407275633905
1.81,-8.63624706702802
1.816,-8.59785944601109
1.822,-8.55891357259508
1.828,-8.51940916240252
1.834,-8.47932968837003
1.84,-8.43851212919932
1.846,-8.39860610818105
1.852,-8.35647869346679
1.858,-8.31428702654928
1.864,-8.2716394232978
1.87,-8.22850917764991
1.876,-8.18489524867648
1.882,-8.14080237640011
1.888,-8.09623740437497
1.894,-8.05120826250786
1.9,-8.00572362443129
1.906,-7.95979278504319
1.912,-7.91342562345549
1.918,-7.86663260374619
1.924,-7.81942479441174
1.93,-7.77181389806998
1.936,-7.72381228737821
1.942,-7.67543304511506
1.948,-7.6266900073282
1.954,-7.57759780893129
1.96,-7.52817193138718
1.966,-7.47842875225051
1.972,-7.42838559641606
1.978,-7.37806078895663
1.984,-7.32747370945068
1.99,-7.27664484770218
1.996,-7.22559586074973
2.002,-7.17434963104854
2.008,-7.1229303256912
2.014,-7.07136345651116
2.02,-7.01967594088645
2.026,-6.96789616303187
2.032,-6.91605403553466
2.038,-6.8641810608523
2.044,-6.81231039245157
2.05,-6.76047689522481
2.056,-6.70871720477365
2.062,-6.65706978510127
2.068,-6.6055749842026
2.074,-6.55427508698759
2.08,-6.50321436491638
2.086,-6.45243912166714
2.092,-6.40199773409868
2.098,-6.35194068771019
2.104,-6.30232060574257
2.11,-6.25319227100856
2.116,-6.20461263948537
2.122,-6.15664084465398
2.128,-6.10952303956326
2.134,-6.06330013362543
2.14,-6.01783682935082
2.146,-5.97319041555117
2.152,-5.92942006013193
2.158,-5.88658677981355
2.164,-5.84475339894992
2.17,-5.80398449663082
2.176,-5.76434634127621
2.182,-5.72590681196433
2.188,-5.68873530578571
2.194,-5.65290263058158
2.2,-5.61848088251001
2.206,-5.58554330798778
2.212,-5.55416414968108
2.218,-5.52441847636492
2.224,-5.4963819966409
2.23,-5.47013085669474
2.236,-5.445741422491
2.242,-5.42329004704151
2.248,-5.40285282364718
2.254,-5.38450532630155
2.26,-5.3683223387591
2.266,-5.35437757411816
2.272,-5.34274338715249
2.278,-5.33349048206165
2.284,-5.32668761882097
2.29,-5.32240132193589
2.296,-5.32069559620946
2.302,-5.32163165522864
2.308,-5.32526766985944
2.314,-5.33165854645276
2.32,-5.34085574831313
2.326,-5.35290718039486
2.332,-5.36785716831402
2.338,-5.38574658287003
2.344,-5.40661319925847
2.35,-5.43049245562912
2.356,-5.45741893464804
2.362,-5.48742925112562
2.368,-5.52056791435761
2.374,-5.55690016672173
2.38,-5.59654350506126
2.386,-5.63975927655543
2.392,-5.68729928475463
2.398,-5.74254551822624
2.404,-5.84360493684677
2.41,-5.80952906387158
2.416,-5.87777261198592
2.422,-5.94078609830027
2.428,-6.00482893392111
2.434,-6.07097032899118
2.44,-6.1395132654426
2.446,-6.21055023436364
2.452,-6.28409486410708
2.458,-6.36012456282643
2.464,-6.43859737017924
2.47,-6.51945964932944
2.476,-6.60265002758462
2.482,-6.68810162728932
2.488,-6.77574344874637
2.494,-6.86550130199731
2.5,-6.95729848339393
2.506,-7.05105629939009
2.512,-7.14669449372445
2.518,-7.24413161008781
2.524,-7.34328530929484
2.53,-7.44407265262164
2.536,-7.54641035870496
2.542,-7.65021503886022
2.548,-7.75540341413216
2.554,-7.86189251643179
2.56,-7.9695998755045
2.566,-8.07844369307652
2.572,-8.1883430052589
2.578,-8.29921783409934
2.584,-8.41098932903214
2.59,-8.52357989886555
2.596,-8.63691333485367
2.602,-8.75091492531947
2.608,-8.86551156222273
2.614,-8.98063184000076
2.62,-9.09620614694847
2.626,-9.21216674935014
2.632,-9.32844786852583
2.638,-9.4449857509134
2.644,-9.56171873127243
2.65,-9.67858728906894
2.656,-9.79553409808064
2.662,-9.91250406925164
2.668,-10.0294443868222
2.674,-10.1463045377635
2.68,-10.2630363345603
2.686,-10.3795939313994
2.692,-10.4959338338499
2.698,-10.6120149021448
2.704,-10.7277983482085
2.71,-10.8432477266073
2.716,-10.9583289196357
2.722,-11.073010116788
2.728,-11.1872617888982
2.734,-11.3010566572663
2.74,-11.4143696581194
2.746,-11.5271779027838
2.752,-11.6394606339693
2.758,-11.7511991785849
2.764,-11.8623768975249
2.77,-11.9729791328696
2.776,-12.0829931529568
2.782,-12.1924080957781
2.788,-12.3012149111535
2.794,-12.4094063021288
2.8,-12.5169766660336
2.806,-12.6239220356188
2.812,-12.7302400206781
2.818,-12.8359297505396
2.824,-12.9409918177884
2.83,-13.0454282235623
2.836,-13.1492423247334
2.842,-13.2524387832699
2.848,-13.3550235180405
2.854,-13.457003659305
2.86,-13.5583875061061
2.866,-13.6591844867574
2.872,-13.7594051225971
2.878,-13.8590609951595
2.884,-13.9581647168947
2.89,-14.05672990555
2.896,-14.1547711623135
2.902,-14.2523040538014
2.908,-14.3493450979657
2.914,-14.4459117539833
2.92,-14.5420224161848
2.926,-14.6376964120733
2.932,-14.7329540044796
2.938,-14.8278163979024
2.944,-14.922305749078
2.95,-15.0164451818293
2.956,-15.1102588062483
2.962,-15.2037717422687
2.968,-15.2970101476985
2.974,-15.3900012507859
2.98,-15.4827733874065
2.986,-15.5753560429707
2.992,-15.6677798991641
2.998,-15.7600768856488
3.004,-15.8522802368707
3.01,-15.9444245541359
3.016,-16.0365458731388
3.022,-16.1286817371451
3.028,-16.2208712760571
3.034,-16.3131552916104
3.04,-16.4055763489784
3.046,-16.4981788750892
3.052,-16.5910092639845
3.058,-16.6841159895863
3.064,-16.7775497262667
3.07,-16.8713634776506
3.076,-16.9656127141216
3.082,-17.0603555195371
3.088,-17.1556527477034
3.094,-17.2515681892065
3.1,-17.348168749242
3.106,-17.4455246371391
3.112,-17.5437095683321
3.118,-17.64280097959
3.124,-17.7428802583818
3.13,-17.8440329873265
3.136,-17.9463492047522
3.142,-18.0499236824754
3.148,-18.1548562220037
3.154,-18.2612519704667
3.16,-18.3692217576956
3.166,-18.4788824559979
3.172,-18.5903573643162
3.178,-18.7037766186198
3.184,-18.8192776305612
3.19,-18.9370055566339
3.196,-19.0571138003088
3.202,-19.1797645498944
3.208,-19.3051293551864
3.214,-19.4333897463361
3.22,-19.5647378987952
3.226,-19.699377348699
3.232,-19.8375237636345
3.238,-19.9794057744418
3.244,-20.1252658745154
3.25,-20.2753613940498
3.256,-20.4270404577797
3.262,-20.5836904980661
3.268,-20.7455540262329
3.274,-20.9128822039019
3.28,-21.0859338909071
3.286,-21.2649742495412
3.292,-21.4502727761636
3.298,-21.6421005962434
3.304,-21.8407268148114
3.31,-22.0464136589141
3.316,-22.2594100795735
3.322,-22.4799433953602
3.328,-22.7082084555636
3.334,-22.9443536764278
3.34,-23.1884631593256
3.346,-23.4405339393497
3.352,-23.7004472483478
3.358,-23.967932532606
3.364,-24.2425228884314
3.37,-24.5235006490063
3.376,-24.8098322039601
3.382,-25.1000919600615
3.388,-25.3923769440911
3.394,-25.6842162771072
3.4,-25.9724840129661
3.406,-26.2533299093186
3.412,-26.5221504174605
3.418,-26.7736303907664
3.424,-27.0018919104421
3.43,-27.2007851898891
3.436,-27.3643405675394
3.442,-27.4873615729284
3.448,-27.5660668703526
3.454,-27.5985671505768
3.46,-27.5847650987866
3.466,-27.5250247886836
3.472,-27.4171561452746
3.478,-27.2534936595128
3.484,-27.0242499233893
3.49,-26.7296976524923
3.496,-26.3866512865536
3.502,-26.0183854514934
3.508,-25.6426535737086
3.514,-25.2693529357944
3.52,-24.9033867909669
3.526,-24.547344083016
3.532,-24.2028642362784
3.538,-23.8711694801093
3.544,-23.5532415570424
3.55,-23.2498768812428
3.556,-22.9617088876761
3.562,-22.6892251602963
3.568,-22.4327854655047
3.574,-22.1926405881852
3.58,-21.9689507290752
3.586,-21.7618024895491
3.592,-21.5712239495053
3.598,-21.3971977180014
3.604,-21.2396720648183
3.61,-21.0985703566072
3.616,-20.973799063541
3.622,-20.8652546023567
3.628,-20.7728292598649
