"Freq [GHz]","dB(St(8,8)) []"
1,-7.5338231659579
1.006,-13.4376372125556
1.012,-11.8053128558024
1.018,-10.8377220775552
1.024,-10.1678872083362
1.03,-9.74226275948349
1.036,-9.47678176056966
1.042,-9.30827427179117
1.048,-9.19850115413295
1.054,-9.12539872732359
1.06,-9.07612043910256
1.066,-9.04289436062413
1.072,-9.02231681175702
1.078,-9.00852153714285
1.084,-9.00164577267723
1.09,-8.99985825438619
1.096,-9.00217246392637
1.102,-9.00789244372116
1.108,-9.01650767329468
1.114,-9.027635033739
1.12,-9.04098249212877
1.126,-9.05632487618119
1.132,-9.07348351600382
1.138,-9.09224228095647
1.144,-9.11305294383556
1.15,-9.13500535633912
1.156,-9.15854082407509
1.162,-9.18358903901122
1.168,-9.21015182010177
1.174,-9.23825454061647
1.18,-9.26793990046564
1.186,-9.29926485771754
1.192,-9.33229809662817
1.198,-9.3671175725813
1.204,-9.40380799499851
1.21,-9.44245816728978
1.216,-9.48315808713242
1.222,-9.52599563910908
1.228,-9.57105255028373
1.234,-9.61839892415136
1.24,-9.66808484365182
1.246,-9.72012544453508
1.252,-9.77446991723617
1.258,-9.83092516641124
1.264,-9.88892346031783
1.27,-9.94655213963363
1.276,-9.99296708530162
1.282,-8.24460450839177
1.288,-8.29710567890388
1.294,-8.3488861894708
1.3,-8.40064232558585
1.306,-8.45345571699525
1.312,-8.50818488251579
1.318,-8.56423742566624
1.324,-8.62608215157177
1.33,-8.69216952530269
1.336,-8.7642645004149
1.342,-8.84368170718474
1.348,-8.93175939545293
1.354,-9.03133235704534
1.36,-9.14263811438426
1.366,-9.27395013291626
1.372,-9.39031328306177
1.378,-9.55410406668055
1.384,-9.70633495911754
1.39,-10.0222269106119
1.396,-10.2383247128841
1.402,-10.5192076267517
1.408,-10.8511934686212
1.414,-11.2405676881817
1.42,-11.6849864106113
1.426,-14.6276189808831
1.432,-14.5465902601744
1.438,-13.9548783004932
1.444,-13.574459856956
1.45,-16.5988141287576
1.456,-11.509027719618
1.462,-10.3296920536527
1.468,-10.0920444083596
1.474,-10.0847412912839
1.48,-10.1614376154703
1.486,-10.1708168409702
1.492,-8.26556529606802
1.498,-11.8347772200724
1.504,-11.8723899102497
1.51,-12.0243091007513
1.516,-12.1108887143606
1.522,-12.1118288233129
1.528,-12.0537871197741
1.534,-11.9703739713902
1.54,-11.8850269686377
1.546,-11.8095971890221
1.552,-11.7482677799427
1.558,-11.7012729714495
1.564,-11.6621090502751
1.57,-11.6156851650008
1.576,-11.5744779963316
1.582,-11.5378373096139
1.588,-11.5051477374951
1.594,-11.4758614625073
1.6,-11.4495033809433
1.606,-11.4256626646485
1.612,-11.4039735981174
1.618,-11.3840703238939
1.624,-11.3653962997605
1.63,-11.3446873807357
