"Freq [GHz]","dB(St(2,2)) []"
1,-4.40763327590523
1.006,-4.01163465172813
1.012,-3.46352671714348
1.018,-2.93142413828914
1.024,-2.46474556243641
1.03,-2.06676299721721
1.036,-1.72900293045799
1.042,-1.44247205160395
1.048,-1.1999451223501
1.054,-0.995241896114023
1.06,-0.820732607834375
1.066,-0.651284572303334
1.072,-0.755906630756593
1.078,-0.552603516747671
1.084,-0.471918625278004
1.09,-0.416005298870359
1.096,-0.376014612318007
1.102,-0.348435981585834
1.108,-0.331247755082682
1.114,-0.323146571440909
1.12,-0.323242154970129
1.126,-0.330851391377802
1.132,-0.345196483884546
1.138,-0.362565994404178
1.144,-0.402960049461908
1.15,-0.43427087518905
1.156,-0.473936965410179
1.162,-0.519391696166439
1.168,-0.569976156582649
1.174,-0.625220517929401
1.18,-0.684699390892702
1.186,-0.748003159207939
1.192,-0.814729722735166
1.198,-0.884481439546621
1.204,-0.956863907809682
1.21,-1.03148574673248
1.216,-1.10795914600632
1.222,-1.18590108500388
1.228,-1.26493513428137
1.234,-1.3446937498725
1.24,-1.42482099927569
1.246,-1.50497576539836
1.252,-1.58483579761069
1.258,-1.66410404314433
1.264,-1.74252304866371
1.27,-1.81992844603401
1.276,-1.89665837939398
1.282,-1.98194033851212
1.288,-2.04260144959311
1.294,-2.11291934454544
1.3,-2.18137790720916
1.306,-2.24755434782562
1.312,-2.31131304444565
1.318,-2.37258374225553
1.324,-2.43132577169049
1.33,-2.48751943940538
1.336,-2.54116945130734
1.342,-2.59234396524443
1.348,-2.64165066819373
1.354,-2.68363923432976
1.36,-2.72832204668045
1.366,-2.76904310149662
1.372,-2.80693599959609
1.378,-2.84211537034872
1.384,-2.87476525519359
1.39,-2.90565476225842
1.396,-2.93766232132132
1.402,-2.97190427723451
1.408,-3.32998474546028
1.414,-3.20192744536612
1.42,-3.20357495115986
1.426,-3.20411361023082
1.432,-3.20387072355045
1.438,-3.20290092194369
1.444,-3.20124867864982
1.45,-3.1989579153915
1.456,-3.19607095687257
1.462,-3.19263260018207
1.468,-3.18867852778519
1.474,-3.1842481499017
1.48,-3.17937903519512
1.486,-3.17410459991028
1.492,-3.16845851761673
1.498,-3.16247228871349
1.504,-3.15617592704742
1.51,-3.1495978511131
1.516,-3.14276494893027
1.522,-3.13570232441628
1.528,-3.12844805050994
1.534,-3.12098858933401
1.54,-3.11337776412873
1.546,-3.10562647802778
1.552,-3.09775339898855
1.558,-3.08977621782234
1.564,-3.08171172720823
1.57,-3.07357746362912
1.576,-3.06538854840886
1.582,-3.05715893187128
1.588,-3.04890180144087
1.594,-3.04062963737781
1.6,-3.03235426335388
1.606,-3.0240868924352
1.612,-3.015838168971
1.618,-3.00761820682665
1.624,-2.99943662434186
1.63,-2.99130257633626
1.636,-2.98322478341635
1.642,-2.97521155874593
1.648,-2.96727083229257
1.654,-2.95941017228274
1.66,-2.95163680299832
1.666,-2.94395761661039
1.672,-2.93637917285467
1.678,-2.92890766815587
1.684,-2.92154880928322
1.69,-2.91430728908154
1.696,-2.90718352836689
1.702,-2.90006701502977
1.708,-2.893419863121
1.714,-2.8866944379282
1.72,-2.88012976085552
1.726,-2.87371890227805
1.732,-2.86746441207275
1.738,-2.86136985775118
1.744,-2.85543856357654
1.75,-2.8496726635966
1.756,-2.84407078473228
1.762,-2.83861870718722
1.768,-2.83321971652809
1.774,-2.83333659700714
1.78,-2.82409206507419
1.786,-2.81931896488959
1.792,-2.81485030839925
1.798,-2.81060208259111
1.804,-2.80646865957361
1.81,-2.80412489161385
1.816,-2.79977141444578
1.822,-2.79646721094664
1.828,-2.79348434606972
1.834,-2.79079258135249
1.84,-2.78836199803981
1.846,-2.78621952982183
1.852,-2.78435024173551
1.858,-2.78277647809721
1.864,-2.78150383615666
1.87,-2.78054243581393
1.876,-2.77990322156456
1.882,-2.77959788078175
1.888,-2.77963911331798
1.894,-2.78004146044188
1.9,-2.78082425584917
1.906,-2.7820276968887
1.912,-2.78400660889881
1.918,-2.78502462527091
1.924,-2.78758112431041
1.93,-2.7904291077498
1.936,-2.79370351136688
1.942,-2.79743666526611
1.948,-2.80164945202768
1.954,-2.80636046376627
1.96,-2.81158852175327
1.966,-2.81735484632268
1.972,-2.82368831553329
1.978,-2.83065330219071
1.984,-2.84082068666737
1.99,-2.84594740241731
1.996,-2.85494530485241
2.002,-2.86479048115961
2.008,-2.87610725897267
2.014,-2.89390652351748
2.02,-2.89382407337887
2.026,-2.90694256796076
2.032,-2.92090917050979
2.038,-2.93559716398879
2.044,-2.95116616432013
2.05,-2.96770359329354
2.056,-2.98527275298369
2.062,-3.00392976204207
