"Freq [GHz]","dB(St(1,2)) []"
1,-16.0898295625476
1.006,-12.1235028986589
1.012,-14.8611746737196
1.018,-8.24239685236478
1.024,-19.7642926335659
1.03,-18.6268665201581
1.036,-20.3707433342805
1.042,-20.63340944669
1.048,-20.8386083241236
1.054,-21.014291346457
1.06,-21.1656843776491
1.066,-21.2873539245486
1.072,-21.3961223390532
1.078,-21.4735491123135
1.084,-21.5400302088137
1.09,-21.5881223917796
1.096,-21.6232932223602
1.102,-21.6444008500975
1.108,-21.6550009607756
1.114,-21.653600723936
1.12,-21.6431297226357
1.126,-21.6242214604519
1.132,-21.5976859352034
1.138,-21.5646140296027
1.144,-21.3971137354233
1.15,-21.4845389446528
1.156,-21.4614062061324
1.162,-21.3770963640312
1.168,-21.320095636418
1.174,-21.2451672332174
1.18,-21.2007271658723
1.186,-21.1302359050556
1.192,-21.0665634419204
1.198,-20.9880313480086
1.204,-20.9175994938261
1.21,-20.8109146551838
1.216,-20.7619171126374
1.222,-20.682776943051
1.228,-20.5998507765508
1.234,-20.5144176316921
1.24,-20.4264763937531
1.246,-20.3473498937228
1.252,-20.2415441524244
1.258,-20.143873136223
1.264,-20.0418490621304
1.27,-19.9384678904729
1.276,-19.8299292721951
1.282,-10.3940723470218
1.288,-10.3708771049029
1.294,-10.3285953783152
1.3,-10.2644335412038
1.306,-10.1782740397611
1.312,-10.0706616281248
1.318,-9.94294164541764
1.324,-9.79745768058896
1.33,-9.63775973082465
1.336,-9.46878822506709
1.342,-9.29698408368261
1.348,-9.13025665246337
1.354,-8.97773086833829
1.36,-8.84920749914561
1.366,-8.75432186310486
1.372,-8.70148142392892
1.378,-8.69677664249837
1.384,-8.74313514451948
1.39,-8.83996458018576
1.396,-8.98338974939367
1.402,-9.16699524355284
1.408,-9.38283373652224
1.414,-9.62239064622423
1.42,-9.87621136802775
1.426,-10.1437448849769
1.432,-10.4098652477825
1.438,-10.6742110032632
1.444,-10.9327508801418
1.45,-11.1827775281328
1.456,-11.4224528632769
1.462,-11.6506099657844
1.468,-11.8665956400278
1.474,-12.0701411160991
1.48,-12.2612581639308
1.486,-12.4401576038318
1.492,-12.6071866884873
1.498,-12.762781830441
1.504,-12.9074334840707
1.51,-13.0416604672259
1.516,-13.1659915034227
1.522,-13.2809522193735
1.528,-13.3870562204053
1.534,-13.4847991839513
1.54,-13.574655164387
1.546,-13.6570745003539
1.552,-13.732482868345
1.558,-13.8012811429084
1.564,-13.8636314265682
1.57,-13.9197598549943
1.576,-13.9707599923872
1.582,-14.0168712170541
1.588,-14.058326292569
1.594,-14.0953512626096
1.6,-14.1281653726024
1.606,-14.1569810172744
1.612,-14.1820037130052
1.618,-14.2034320937017
1.624,-14.2214579287912
1.63,-14.2362661618325
1.636,-14.2480349681886
1.642,-14.2569358301692
1.648,-14.2631336280552
1.654,-14.2667867454295
1.66,-14.2680471872875
1.666,-14.2670607094544
1.672,-14.2639669579154
1.678,-14.2588996167572
1.684,-14.2519865635227
1.69,-14.2433500309089
1.696,-14.2331067738731
1.702,-14.2213682413828
1.708,-14.2082407522384
1.714,-14.1938256746397
1.72,-14.1782196094751
1.726,-14.1615145777211
1.732,-14.1437982129008
1.738,-14.1251539603583
1.744,-14.1056612863031
1.75,-14.0853959014257
1.756,-14.064430006814
1.762,-14.0428325747317
1.768,-14.0206696850312
1.774,-13.9980049525029
1.78,-13.9749001072385
1.786,-13.9514158418276
1.792,-13.9276131448281
1.798,-13.9035555700398
1.804,-13.8793134332402
1.81,-13.8549723360077
1.816,-13.830652558072
1.822,-13.8065602561747
1.828,-13.7831549751449
1.834,-13.76193143415
1.84,-13.7535844361799
1.846,-13.6519939025739
1.852,-13.6620384973522
1.858,-13.6421771162618
1.864,-13.6191251386558
1.87,-13.5951410835258
1.876,-13.5708151622005
1.882,-13.5463786496063
1.888,-13.5219466781566
1.894,-13.4975869400086
1.9,-13.4733444180617
1.906,-13.4492518390874
1.912,-13.425334641429
1.918,-13.4016135613324
1.924,-13.3781060840349
1.93,-13.3548273117948
1.936,-13.3317905135045
1.942,-13.3090074910434
1.948,-13.2864888350141
1.954,-13.2642441104316
1.96,-13.242281995468
1.966,-13.2206103861645
1.972,-13.1992364734736
1.978,-13.1781667941368
1.984,-13.1574072525948
1.99,-13.1369631065951
1.996,-13.1168389039358
2.002,-13.0970383517024
2.008,-13.0775640929859
2.014,-13.0584173614905
2.02,-13.0395974866411
2.026,-13.0211012407112
2.032,-13.0029220714096
2.038,-12.9850493683121
2.044,-12.9674680786035
2.05,-12.9501591789118
2.056,-12.9331015897359
2.062,-12.9162758465747
2.068,-12.8996690306319
2.074,-12.8832793363812
2.08,-12.8671180532064
2.086,-12.851207555589
2.092,-12.8355759322176
2.098,-12.8202506315818
2.104,-12.8052536132816
2.11,-12.7905991751359
2.116,-12.7762941479897
2.122,-12.7623394293884
2.128,-12.7490467939639
2.134,-12.7362263485726
2.14,-12.7234968701789
2.146,-12.7108537452608
2.152,-12.6982923336629
2.158,-12.6858079686372
2.164,-12.6733959568523
2.17,-12.6610515783723
2.176,-12.6487700866048
2.182,-12.6365467082173
2.188,-12.624376643023
2.194,-12.612255063833
2.2,-12.6001771162782
2.206,-12.5881379185976
2.212,-12.5761325613944
2.218,-12.5641561073592
2.224,-12.55220359096
2.23,-12.540270018099
2.236,-12.5283503657356
2.242,-12.5164395814756
2.248,-12.5045325831271
2.254,-12.4926242582209
2.26,-12.4807094634978
2.266,-12.4687830243608
2.272,-12.4568397342923
2.278,-12.4448743542364
2.284,-12.4328816119469
2.29,-12.4208562012988
2.296,-12.408792781565
2.302,-12.3966859766574
2.308,-12.3845303743321
2.314,-12.3723205253583
2.32,-12.3600509426518
2.326,-12.3477161003718
2.332,-12.3353104329816
2.338,-12.3228283342721
2.344,-12.3102641563501
2.35,-12.2976122085883
2.356,-12.28486675654
2.362,-12.2720220208155
2.368,-12.2590721759227
2.374,-12.2460113490704
2.38,-12.2328336189341
2.386,-12.2195330143855
2.392,-12.2061035131848
2.398,-12.192539040636
2.404,-12.1788334682054
2.41,-12.1649806121038
2.416,-12.1509742318318
2.422,-12.1368080286887
2.428,-12.1224756442464
2.434,-12.1079706587864
2.44,-12.0932865897026
2.446,-12.0784168898687
2.452,-12.0633549459721
2.458,-12.0480940768139
2.464,-12.0326275315763
2.47,-12.0169484880581
2.476,-12.00105005088
2.482,-11.9849252496597
2.488,-11.9685670371586
2.494,-11.9519682874027
2.5,-11.9351217937774
2.506,-11.9180202670997
2.512,-11.9006563336689
2.518,-11.8830225332996
2.524,-11.8651113173376
2.53,-11.8469150466635
2.536,-11.8284259896869
2.542,-11.8096363203341
2.548,-11.7905381160345
2.554,-11.7711233557096
2.56,-11.7513839177701
2.566,-11.7313115781266
2.572,-11.7108980082198
2.578,-11.6901347730776
2.584,-11.6690133294068
2.59,-11.6475250237274
2.596,-11.6256610905587
2.602,-11.6034126506682
2.608,-11.5807707093944
2.614,-11.5577261550548
2.62,-11.534269757455
2.626,-11.5103921665122
2.632,-11.4860839110105
2.638,-11.4613353975064
2.644,-11.4361369094044
2.65,-11.4104786062252
2.656,-11.3843505230904
2.662,-11.357742570451
2.668,-11.3306445340891
2.674,-11.3030460754242
2.68,-11.274936732162
2.686,-11.2463059193212
2.692,-11.217142930685
2.698,-11.1874369407217
2.704,-11.1571770070269
2.71,-11.1263520733448
2.716,-11.0949509732299
2.722,-11.0629624344182
2.728,-11.0303750839832
2.734,-10.9971774543579
2.74,-10.9633579903155
2.746,-10.9289050570062
2.752,-10.8938069491603
2.758,-10.8580519015766
2.764,-10.8216281010284
2.77,-10.7845236997301
2.776,-10.746726830523
2.782,-10.708225623955
2.788,-10.6690082274415
2.794,-10.6290628267197
2.8,-10.5883776698227
2.806,-10.5469410938252
2.812,-10.504741554636
2.818,-10.4617676601377
2.824,-10.4180082070054
2.83,-10.3734522215633
2.836,-10.3280890050773
2.842,-10.281908183915
2.848,-10.2348997650458
2.854,-10.1870541973999
2.86,-10.1383624396477
2.866,-10.0888160350187
2.872,-10.0384071938274
2.878,-9.98712888443939
2.884,-9.93497493346909
2.89,-9.8819401360732
2.896,-9.82802037727212
2.902,-9.77321276531053
2.908,-9.7175157781473
2.914,-9.66092942424824
2.92,-9.60345541894206
2.926,-9.54509737768701
2.932,-9.48586102768496
2.938,-9.42575443936601
2.944,-9.36478827935162
2.95,-9.30297608658101
2.956,-9.24033457335419
2.962,-9.17688395309831
2.968,-9.11264829669867
2.974,-9.04765591924295
2.98,-8.98193979900112
2.986,-8.91553803039208
2.992,-8.84849431256161
2.998,-8.78085847499925
3.004,-8.71268704133973
3.01,-8.64404383210745
3.016,-8.57500060665034
3.022,-8.5056377438474
3.028,-8.43604496033612
3.034,-8.36632206396367
3.04,-8.29657973888789
3.046,-8.22694035721114
3.052,-8.15753881019084
3.058,-8.08852334990912
3.064,-8.02005642977829
3.07,-7.95231552939892
3.076,-7.88549394607441
3.082,-7.81980153174497
3.088,-7.75546535028351
3.094,-7.69273022608245
3.1,-7.63185915077963
3.106,-7.57313351100323
3.112,-7.51685309639468
3.118,-7.46333584419299
3.124,-7.41291727469519
3.13,-7.36594957136202
3.136,-7.32280026067664
3.142,-7.28385045056605
3.148,-7.24949259272066
