"Freq [GHz]","dB(St(1,1)) []"
1,-2.99281018948547
1.006,-1.96540305159779
1.012,-1.23907023044403
1.018,-0.636716662126983
1.024,-0.116536576859179
1.03,0.326291773694252
1.036,0.699378784524598
1.042,1.01168332044408
1.048,1.27165171055218
1.054,1.48651021950158
1.06,1.66167512004324
1.066,1.79605260064092
1.072,1.97890622224466
1.078,2.03454963271892
1.084,2.10098666035142
1.09,2.15140789639016
1.096,2.18606795242645
1.102,2.20635386654784
1.108,2.21367248324873
1.114,2.20929285637156
1.12,2.19432656440905
1.126,2.16972613776473
1.132,2.13622230379132
1.138,2.09312254050119
1.144,2.0501304199294
1.15,1.99384722740956
1.156,1.9327376929932
1.162,1.86638567343835
1.168,1.79519127012532
1.174,1.71961568544676
1.18,1.64012100944185
1.186,1.55716045162762
1.192,1.47117682647936
1.198,1.38260252667254
1.204,1.2918594510017
1.21,1.19935850566952
1.216,1.1054986131711
1.222,1.01066525033129
1.228,0.915228535282802
1.234,0.819540811382593
1.24,0.723933485369322
1.246,0.628712390514164
1.252,0.534149569656952
1.258,0.440464812892581
1.264,0.34777139895658
1.27,0.255850089850761
1.276,0.162344385664192
1.282,0.0503479732384887
1.288,-0.00774527379015578
1.294,-0.09149907746346
1.3,-0.17379134664292
1.306,-0.253872022581652
1.312,-0.331637577628002
1.318,-0.40709491933431
1.324,-0.480276013186737
1.33,-0.551215633813111
1.336,-0.619947125955178
1.342,-0.686523817434616
1.348,-0.751320636409778
1.354,-0.810795227655528
1.36,-0.871331447263915
1.366,-0.928559787352544
1.372,-0.983170460707729
1.378,-1.03537486551178
1.384,-1.08607279350124
1.39,-1.13850380299981
1.396,-1.20149946542301
1.402,-1.2717792908264
1.408,-1.7990961574006
1.414,-1.67685997332183
1.42,-1.69307519589602
1.426,-1.70795139274446
1.432,-1.7217931158445
1.438,-1.73472925572554
1.444,-1.74675870924328
1.45,-1.75789458872869
1.456,-1.7681389462363
1.462,-1.77764920936908
1.468,-1.7863029689411
1.474,-1.79416918161176
1.48,-1.80135561529164
1.486,-1.80780132406415
1.492,-1.81357367569014
1.498,-1.81868902882388
1.504,-1.82318998069834
1.51,-1.8271029748508
1.516,-1.83046152987552
1.522,-1.83331480984953
1.528,-1.83502148671339
1.534,-1.8373636030326
1.54,-1.83880192937283
1.546,-1.83981731845547
1.552,-1.84045263683676
1.558,-1.8407412826407
1.564,-1.84070454013455
1.57,-1.84033704756482
1.576,-1.83968822158267
1.582,-1.83878458554308
1.588,-1.83765157443469
1.594,-1.83631360356302
1.6,-1.83479413254452
1.606,-1.83311572495703
1.612,-1.83130010397663
1.618,-1.82936820432025
1.624,-1.82734022080996
1.63,-1.8252356538851
1.636,-1.82307335242237
1.642,-1.82087155430445
1.648,-1.81864792535338
1.654,-1.81641959762901
1.66,-1.81420320897372
1.666,-1.81201494785819
1.672,-1.8098706135357
1.678,-1.80778572024867
1.684,-1.80577574582113
1.69,-1.8038569908648
1.696,-1.80205165157244
1.702,-1.8005538065842
1.708,-1.79866871052303
1.714,-1.79726492719961
1.72,-1.79599392684238
1.726,-1.79488632760455
1.732,-1.79395780264396
1.738,-1.79322199498986
1.744,-1.79269234818585
1.75,-1.79238321959663
1.756,-1.79231228715369
1.762,-1.79251002395879
1.768,-1.79309096898332
1.774,-1.78943340422184
1.78,-1.79395851994353
1.786,-1.79530674150674
1.792,-1.79685360244652
1.798,-1.798693432545
1.804,-1.80092912253557
1.81,-1.80230375320462
1.816,-1.80569221861878
1.822,-1.80883374167608
1.828,-1.81228014128124
1.834,-1.8160732268517
1.84,-1.82025098278898
1.846,-1.82481363697325
1.852,-1.82978826494332
1.858,-1.83517893592047
1.864,-1.84100083793181
1.87,-1.84726691490786
1.876,-1.85399033673767
1.882,-1.86118461784842
1.888,-1.86886355973512
1.894,-1.87704099528837
1.9,-1.8857298144331
1.906,-1.8949365488021
1.912,-1.90456047068243
1.918,-1.91521194830761
1.924,-1.92607060165723
1.93,-1.93757710089607
1.936,-1.94971061722687
1.942,-1.96248477952951
1.948,-1.97591775569418
1.954,-1.99002926737744
1.96,-2.0048398725934
1.966,-2.02037054729486
1.972,-2.03664182138324
1.978,-2.05366897247522
1.984,-2.07102207833872
1.99,-2.0901979074912
1.996,-2.10963990112274
2.002,-2.12991559776372
2.008,-2.15094808490095
2.014,-2.1721715977013
2.02,-2.20279323254077
2.026,-2.22280257407988
2.032,-2.24766472940464
2.038,-2.27400528100733
2.044,-2.30169179669806
2.05,-2.33079294568268
2.056,-2.36139722127809
2.062,-2.39331250705392
2.068,-2.42541771970922
2.074,-2.45662054744716
2.08,-2.48843107375599
2.086,-2.52233510771572
2.092,-2.55832712961688
2.098,-2.59610948404475
2.104,-2.63550903727658
2.11,-2.67645630123371
2.116,-2.71893485623046
2.122,-2.76295353676891
2.128,-2.80874993053914
2.134,-2.85631630107232
2.14,-2.90545520022243
2.146,-2.95619716321565
2.152,-3.00857173141095
2.158,-3.06260720826093
2.164,-3.11833038450108
2.17,-3.17576622920986
2.176,-3.2349375431509
2.182,-3.29586457062732
2.188,-3.35856456597822
2.194,-3.42305131087472
2.2,-3.48933457878387
2.206,-3.5574195434373
2.212,-3.62730612895653
2.218,-3.69898830055421
2.224,-3.77245329656955
2.23,-3.84768080513294
2.236,-3.92464209210838
2.242,-4.00329909122886
2.248,-4.08360347255552
2.254,-4.16549571150046
2.26,-4.24890418745041
2.266,-4.3337443481044
2.272,-4.41991798232749
2.278,-4.50731264965047
2.284,-4.59580131724043
2.29,-4.68524225369407
2.296,-4.77547922171638
2.302,-4.86634199709752
2.308,-4.95764721826212
2.314,-5.04919953865676
2.32,-5.140793013972
2.326,-5.23221260927016
2.332,-5.32323565966326
2.338,-5.41363306392899
2.344,-5.50316993294211
2.35,-5.59160535000085
2.356,-5.67869082189798
2.362,-5.76416691595514
2.368,-5.84775759051253
2.374,-5.92916237772574
2.38,-6.0080504176542
2.386,-6.08407936666543
2.392,-6.15705524370076
2.398,-6.22779943881327
2.404,-6.30182103379721
2.41,-6.39203154842318
2.416,-6.48271790051658
2.422,-6.54924592865311
2.428,-6.60363991708027
2.434,-6.65343369801151
2.44,-6.69990416075864
2.446,-6.74290567923406
2.452,-6.78210233548829
2.458,-6.81719072107037
2.464,-6.84792745131813
2.47,-6.87412393357786
2.476,-6.89563861022584
2.482,-6.91237127136112
2.488,-6.92425929768388
2.494,-6.93127509044618
2.5,-6.93342408849687
2.506,-6.9307429821901
2.512,-6.92329789468448
2.518,-6.91118241036492
2.524,-6.89451540190497
2.53,-6.87343865401311
2.536,-6.848114311364
2.542,-6.81872219583488
2.548,-6.78545704733263
2.554,-6.74852574551097
2.56,-6.70814456821679
2.566,-6.66453653786723
2.572,-6.61792890020075
2.578,-6.56855077183295
2.584,-6.51663098449642
2.59,-6.46239614532246
2.596,-6.40606892446623
2.602,-6.34786657409805
2.608,-6.28799967647898
2.614,-6.22667111361159
2.62,-6.16407524682799
2.626,-6.1003972916085
2.632,-6.03581287083072
2.638,-5.97048772841891
2.644,-5.90457758486923
2.65,-5.83822811623533
2.656,-5.77157503874237
2.662,-5.70474428213748
2.668,-5.63785223607343
2.674,-5.5710060551705
2.68,-5.50430400983189
2.686,-5.43783587134052
2.692,-5.37168332119223
2.698,-5.30592037598801
2.704,-5.24061382049007
2.71,-5.17582364262958
2.716,-5.11160346532716
2.722,-5.0480009709498
2.728,-4.98505831507814
2.734,-4.92281252700326
2.74,-4.86129589501563
2.746,-4.80053633510091
2.752,-4.74055774212321
2.758,-4.68138032296812
2.764,-4.62302091144086
2.77,-4.56549326497904
2.776,-4.50880834345262
2.782,-4.45297457049124
2.788,-4.39799807790966
2.794,-4.3438829339002
2.8,-4.29063135573167
2.806,-4.23824390774353
2.812,-4.18671968545389
2.818,-4.13605648661557
2.824,-4.08625097005751
2.83,-4.03729880314319
2.836,-3.98919479866407
2.842,-3.9419330419677
2.848,-3.89550700909717
2.854,-3.84990967669392
2.86,-3.80513362438889
2.866,-3.7611711303797
2.872,-3.71801426086421
2.878,-3.67565495397449
2.884,-3.63408509882916
2.89,-3.59329661029851
2.896,-3.55328150005427
2.902,-3.51403194445585
2.908,-3.47554034980698
2.914,-3.43779941550083
2.92,-3.40080219555905
2.926,-3.36454215905929
2.932,-3.3290132499384
2.938,-3.29420994665306
2.944,-3.26012732217761
2.95,-3.22676110481945
2.956,-3.19410774033549
2.962,-3.16216445583959
2.968,-3.1309293260003
2.974,-3.10040134203956
2.98,-3.0705804840585
2.986,-3.04146779723367
2.992,-3.01306547244715
2.998,-2.98537693193729
3.004,-2.95840692058126
3.01,-2.93216160344831
3.016,-2.90664867029125
3.022,-2.88187744767388
3.028,-2.85785901946277
3.034,-2.83460635644242
3.04,-2.81213445584173
3.046,-2.79046049158667
3.052,-2.76960397611605
3.058,-2.74958693461317
3.064,-2.73043409251281
3.07,-2.71217307713731
3.076,-2.69483463429341
3.082,-2.67845286061781
3.088,-2.66306545238835
3.094,-2.64871397141183
3.1,-2.63544412844981
3.106,-2.62330608443963
3.112,-2.61235476949686
3.118,-2.60265021933219
3.124,-2.59425792826268
3.13,-2.5872492174239
3.136,-2.58170161607136
3.142,-2.57769925297014
3.148,-2.5753332537789
3.154,-2.57470213900439
3.16,-2.57591221549756
3.166,-2.57907795254062
3.172,-2.58432233129562
3.178,-2.59177715370523
3.184,-2.60158329381832
3.19,-2.61389087092225
3.196,-2.62885931978175
3.202,-2.64665732870662
3.208,-2.66746261112502
3.214,-2.691461470888
3.22,-2.71884811579243
3.226,-2.74982366796764
3.232,-2.78459481409882
3.238,-2.82337203333594
3.244,-2.86636733666632
3.25,-2.91379144916396
3.256,-2.96842374832389
3.262,-3.02869987179551
3.268,-3.09487886529176
3.274,-3.16720487933108
3.28,-3.24589999988977
3.286,-3.33115596793135
3.292,-3.42312479140833
3.298,-3.52190830756978
3.304,-3.62754682245057
3.31,-3.74000703863476
3.316,-3.85916958099397
3.322,-3.98481654075096
3.328,-4.11661957655217
3.334,-4.254129230443
3.34,-4.39676622707468
3.346,-4.54381561337929
3.352,-4.69442464748588
3.358,-4.84760534139156
3.364,-5.00224248211888
3.37,-5.15710778213592
3.376,-5.31088052781782
3.382,-5.46217470057059
3.388,-5.60957205023225
3.394,-5.75166003631789
3.4,-5.88707297435908
3.406,-6.01453420729969
3.412,-6.13289675240676
3.418,-6.24117973488701
3.424,-6.33859806868107
3.43,-6.42458329815749
3.436,-6.49879423303953
3.442,-6.56111690198537
3.448,-6.611654290764
3.454,-6.65070718256782
3.46,-6.6787480646819
3.466,-6.69639043539607
3.472,-6.70435592027254
3.478,-6.7034414211891
3.484,-6.69448814435411
3.49,-6.67835386976366
3.496,-6.65588931596024
3.502,-6.62791898524911
3.508,-6.59522648748625
3.514,-6.5585440540304
3.52,-6.51854576778448
3.526,-6.47584393836095
3.532,-6.43098802484365
3.538,-6.38446553234837
3.544,-6.33670436417571
3.55,-6.28807618366218
3.556,-6.23890041754974
3.562,-6.1894486081182
3.568,-6.13994888979629
3.574,-6.09059042514461
3.58,-6.04152768427003
3.586,-5.99288449121655
3.592,-5.94475779161262
3.598,-5.89722111904555
3.604,-5.8503277545555
3.61,-5.80411358551014
3.616,-5.75859967801783
3.622,-5.71379458189429
3.628,-5.66969638977554
3.634,-5.62629457289069
3.64,-5.58357161575349
3.646,-5.54150447097923
3.652,-5.50006585386642
3.658,-5.45922539451617
3.664,-5.41895066325132
3.67,-5.37920808305835
3.676,-5.33996374078967
3.682,-5.30118410699054
3.688,-5.26283667249384
3.694,-5.22489050838656
3.7,-5.18731675460971
3.706,-5.15008904132101
3.712,-5.11318384623051
3.718,-5.07658079041227
3.724,-5.04026287459535
3.73,-5.00421665763476
3.736,-4.96843237874258
3.742,-4.93290402510435
3.748,-4.89762934669286
3.754,-4.86260982039621
3.76,-4.82785056597172
3.766,-4.79336021679162
3.772,-4.7591507488315
3.778,-4.72523727183678
3.784,-4.69163778705882
3.79,-4.6583729163538
3.796,-4.62546560776241
3.802,-4.59294082291885
3.808,-4.56082521176035
3.814,-4.52914678001671
3.82,-4.49793455485113
3.826,-4.46721825380185
3.832,-4.43702796184785
3.838,-4.40739382100318
3.844,-4.37834573634847
3.85,-4.34991310185359
3.856,-4.32212454875089
3.862,-4.29500771860311
3.868,-4.26858906259379
3.874,-4.24289366796652
3.88,-4.21794511196978
3.886,-4.19376534313783
3.892,-4.17037458926588
3.898,-4.14779129102707
3.904,-4.12603205983292
3.91,-4.10511165826115
3.916,-4.08504300116279
3.922,-4.06583717541341
3.928,-4.04750347618535
3.934,-4.03004945758402
3.94,-4.01348099550593
3.946,-3.99780236063087
3.952,-3.98301629954982
3.958,-3.96912412214587
3.964,-3.95612579348164
3.97,-3.94402002859685
3.976,-3.93280438877838
3.982,-3.92247537802765
3.988,-3.91302853861224
3.994,-3.90445854474653
4,-3.89675929359779
4.006,-3.88992399295694
4.012,-3.88394524504543
4.018,-3.87881512605128
4.024,-3.87452526109653
4.03,-3.87106689443604
4.036,-3.86843095477313
4.042,-3.86660811565214
4.048,-3.86558885095103
4.054,-3.86536348555068
4.06,-3.86592224130138
4.066,-3.86725527844241
4.072,-3.86935273265828
4.078,-3.87220474797618
4.084,-3.8758015057241
4.09,-3.88013324977898
4.096,-3.88519030833943
4.102,-3.89096311245923
4.108,-3.8974422115764
4.114,-3.90461828626848
4.12,-3.91248215845849
4.126,-3.92102479928845
4.132,-3.93023733486836
4.138,-3.94011105009867
4.144,-3.95063739075409
4.15,-3.96180796400539
4.156,-3.97361453754558
4.162,-3.98604903747535
4.168,-3.9991035450924
4.174,-4.01277029271857
4.18,-4.02704165868868
4.186,-4.04191016161519
4.192,-4.05736845403368
4.198,-4.07340931552515
4.204,-4.09002564540313
4.21,-4.10721045504564
4.216,-4.12495685994478
4.222,-4.1432580715401
4.228,-4.16210738889544
4.234,-4.18149819027336
4.24,-4.20142392465567
4.246,-4.22187810325369
4.252,-4.24285429104768
4.258,-4.26434609839013
4.264,-4.2863471727044
4.27,-4.30885119030634
4.276,-4.33185184837363
4.282,-4.35534285708451
4.288,-4.37931793194523
4.294,-4.40377078632291
4.3,-4.42869512419855
4.306,-4.45408463315304
4.312,-4.47993297759715
4.318,-4.50623379225492
4.324,-4.53298067590861
4.33,-4.56016718541192
4.336,-4.5877868299771
4.342,-4.61583306574065
4.348,-4.64429929061108
4.354,-4.6731788394018
4.36,-4.70246497925097
4.366,-4.73215090532992
4.372,-4.76222973684074
4.378,-4.79269451330338
4.384,-4.82353819113205
4.39,-4.85475364049991
4.396,-4.88633364249137
4.402,-4.91827088654012
4.408,-4.95055796815127
4.414,-4.98318738690549
4.42,-5.01615154474255
4.426,-5.04944274452191
4.432,-5.08305318885721
4.438,-5.11697497922179
4.444,-5.15120011532169
4.45,-5.18572049473304
4.456,-5.22052791279983
4.462,-5.25561406278861
4.468,-5.29097053629592
