"Freq [GHz]","dB(St(1,1)) []"
1,-5.88447098345502
1.006,-5.95590446759557
1.012,-6.05369401008629
1.018,-6.13961275249521
1.024,-6.21221175002103
1.03,-6.27447430453536
1.036,-6.32917595120507
1.042,-6.37821100634263
1.048,-6.42289033658772
1.054,-6.46413982456951
1.06,-6.50262408511737
1.066,-6.53885994998119
1.072,-6.55554171723615
1.078,-6.60680854498499
1.084,-6.62928356380769
1.09,-6.68649630164976
1.096,-6.69798092523456
1.102,-6.71932352121377
1.108,-6.75926602208328
1.114,-6.78066672824081
1.12,-6.80688115077227
1.126,-6.83345773404012
1.132,-6.85863802983467
1.138,-6.86863024090463
1.144,-6.90801225162343
1.15,-6.93286366443465
1.156,-6.95397591602138
1.162,-6.98208260282861
1.168,-7.00435573302106
1.174,-7.02866840100805
1.18,-7.04982668907836
1.186,-7.07417109582307
1.192,-7.10374510086949
1.198,-7.11769487057269
1.204,-7.14192675377866
1.21,-7.15419750708278
1.216,-7.18644476278942
1.222,-7.20876443583633
1.228,-7.23108196237445
1.234,-7.25343007957958
1.24,-7.27582956816303
1.246,-7.28191352430802
1.252,-7.32193640680414
1.258,-7.33936082032062
1.264,-7.78910749846371
1.27,-7.13350322426683
1.276,-8.57685321053267
1.282,-8.73265976759405
1.288,-8.84410196994979
1.294,-8.92553656641649
1.3,-9.01016456139861
1.306,-9.0999308387175
1.312,-9.19602193887662
1.318,-9.29934546514106
1.324,-9.41047166705875
1.33,-9.52943497392072
1.336,-9.65543542766163
1.342,-9.78646234079353
1.348,-9.91890298549117
1.354,-10.0472742332246
1.36,-10.1642991052436
1.366,-10.2615749002206
1.372,-10.3309418309947
1.378,-10.3663136500504
1.384,-10.3653260832278
1.39,-10.3300419022778
1.396,-10.2663493150117
1.402,-10.1823688675611
1.408,-10.0866163814278
1.414,-9.98658552295017
1.42,-9.88795251032058
1.426,-9.79503700410346
1.432,-9.70957618451187
1.438,-9.63292783375689
1.444,-9.56531330953412
1.45,-9.50644981080363
1.456,-9.45576256645733
1.462,-9.41253858881108
1.468,-9.37602476159667
1.474,-9.34548588851801
1.48,-9.32023601547323
1.486,-9.29965282285298
1.492,-9.28318180914252
1.498,-9.27033466645119
1.504,-9.26068462351424
1.51,-9.25386044591959
1.516,-9.24954008191293
1.522,-9.24744450136149
1.528,-9.24733200558693
1.534,-9.24899312523873
1.54,-9.2522461313643
1.546,-9.25693313493733
1.552,-9.26291672555751
1.558,-9.27007709033617
1.564,-9.27834574995053
1.57,-9.28764098661501
1.576,-9.29775129666978
1.582,-9.30862136041326
1.588,-9.32019942144673
1.594,-9.3324369835723
1.6,-9.34528853222693
1.606,-9.35871127862052
1.612,-9.37266492477509
1.618,-9.38711144773371
1.624,-9.40201490130635
1.63,-9.41734123383264
1.636,-9.43305812056132
1.642,-9.44913480936739
1.648,-9.46554197864685
1.654,-9.48225160634394
1.66,-9.49923684917454
1.666,-9.51647193121187
1.672,-9.53393204109646
1.678,-9.55159323722049
1.684,-9.5694323603183
1.69,-9.58742695296896
1.696,-9.60555518558406
1.702,-9.62379578851365
1.708,-9.64212798995598
1.714,-9.66053145940089
1.72,-9.67898625637246
1.726,-9.69747278426205
1.732,-9.7159717490555
1.738,-9.73446412275531
1.744,-9.7529311112729
1.75,-9.77135412650743
1.756,-9.78971476221858
1.762,-9.80799477310731
