"Freq [GHz]","dB(St(1,1)) []"
1,-4.80336074122628
1.006,-4.802030691955
1.012,-4.80047526729403
1.018,-4.7992597797
1.024,-4.79881080463951
1.03,-4.79943846948641
1.036,-4.80135706800682
1.042,-4.80470333615424
1.048,-4.80955217612669
1.054,-4.81592989095417
1.06,-4.82382514235745
1.066,-4.83319791207253
1.072,-4.84398676259315
1.078,-4.85611467932468
1.084,-4.86949374707211
1.09,-4.88402887881092
1.096,-4.89962077928115
1.102,-4.91616829309226
1.108,-4.9335702581446
1.114,-4.95172696072066
1.12,-4.9705412684809
1.126,-4.98991950142927
1.132,-5.00977208817327
1.138,-5.03001404493955
1.144,-5.05056530728129
1.15,-5.07135093874378
1.156,-5.09230123651257
1.162,-5.11335175089994
1.168,-5.13444323313615
1.174,-5.15552152409372
1.18,-5.17653739510778
1.186,-5.1974463508352
1.192,-5.21820840302886
1.198,-5.23878782313091
1.204,-5.2591528806755
1.21,-5.27927557361886
1.216,-5.29913135587647
1.222,-5.31869886654511
1.228,-5.33795966452838
1.234,-5.35689797157327
1.24,-5.37550042607177
1.246,-5.39375584938895
1.252,-5.41165502595246
1.258,-5.42919049787871
1.264,-5.44635637451826
1.27,-5.46314815697371
1.276,-5.47956257737525
1.282,-5.49559745248576
1.288,-5.51125155104417
1.294,-5.5265244741366
1.3,-5.54141654780346
1.306,-5.55592872704131
1.312,-5.57006251033564
1.318,-5.58381986385963
1.324,-5.59720315448942
1.33,-5.61021509081553
1.336,-5.6228586713678
1.342,-5.6351371393164
1.348,-5.64705394296032
1.354,-5.65861270136569
1.36,-5.66981717456834
1.366,-5.68067123780603
1.372,-5.69117885929542
1.378,-5.70134408111625
1.384,-5.71117100281023
1.39,-5.72066376734362
1.396,-5.72982654912162
1.402,-5.73866354377787
1.408,-5.74717895949526
1.414,-5.7553770096434
1.42,-5.76326190654468
1.426,-5.77083785620499
1.432,-5.77810905386589
1.438,-5.78507968025468
1.444,-5.79175389842488
1.45,-5.79813585109497
1.456,-5.80422965840599
1.462,-5.81003941603015
1.468,-5.81556919357248
1.474,-5.82082303321636
1.48,-5.8258049485712
1.486,-5.83051892368721
1.492,-5.83496891220768
1.498,-5.83915883663425
1.504,-5.84309258768458
1.51,-5.84677402372561
1.516,-5.85020697026848
1.522,-5.8533952195138
1.528,-5.85634252993814
1.534,-5.85905262591449
1.54,-5.86152919736077
1.546,-5.86377589941211
1.552,-5.8657963521132
1.558,-5.86759414012839
1.564,-5.86917281246745
1.57,-5.8705358822258
1.576,-5.87168682633845
1.582,-5.87262908534694
1.588,-5.87336606317932
1.594,-5.87390112694299
1.6,-5.87423760673068
1.606,-5.87437879543979
1.612,-5.87432794860536
1.618,-5.87408828424719
1.624,-5.8736629827313
1.63,-5.87305518664632
1.636,-5.87226800069493
1.642,-5.87130449160089
1.648,-5.87016768803175
1.654,-5.8688605805376
1.66,-5.86738612150597
1.666,-5.86574722513299
1.672,-5.86394676741094
1.678,-5.86198758613206
1.684,-5.8598724809088
1.69,-5.85760421321015
1.696,-5.85518550641411
1.702,-5.852619045876
1.708,-5.84990747901239
1.714,-5.84705341540041
1.72,-5.84405942689202
1.726,-5.84092804774311
1.732,-5.83766177475673
1.738,-5.83426306744035
1.744,-5.83073434817655
1.75,-5.82707800240674
1.756,-5.82329637882742
1.762,-5.81939178959857
1.768,-5.81536651056355
1.774,-5.81122278148018
1.78,-5.80696280626231
1.786,-5.80258875323153
1.792,-5.79810275537841
1.798,-5.79350691063274
1.804,-5.78880328214239
1.81,-5.78399389856011
1.816,-5.77908075433785
1.822,-5.77406581002816
1.828,-5.76895099259206
1.834,-5.76373819571291
1.84,-5.75842928011596
1.846,-5.75302607389285
1.852,-5.74753037283088
1.858,-5.74194394074636
1.864,-5.73626850982181
1.87,-5.73050578094646
1.876,-5.72465742405965
1.882,-5.71872507849685
1.888,-5.71271035333766
1.894,-5.70661482775581
1.9,-5.70044005137036
1.906,-5.69418754459812
1.912,-5.6878587990067
1.918,-5.68145527766804
1.924,-5.67497841551206
1.93,-5.66842961967999
1.936,-5.66181026987745
1.942,-5.65512171872656
1.948,-5.64836529211721
1.954,-5.64154228955701
1.96,-5.63465398451974
1.966,-5.6277016247922
1.972,-5.620686432819
1.978,-5.61360960604533
1.984,-5.60647231725741
1.99,-5.59927571492037
1.996,-5.5920209235136
2.002,-5.58470904386314
2.008,-5.57734115347121
2.014,-5.56991830684252
2.02,-5.56244153580742
2.026,-5.55491184984162
2.032,-5.5473302363824
2.038,-5.5396976611413
2.044,-5.53201506841296
2.05,-5.52428338138033
2.056,-5.51650350241584
2.062,-5.50867631337868
2.068,-5.50080267590802
2.074,-5.49288343171212
2.08,-5.48491940285322
2.086,-5.47691139202823
2.092,-5.46886018284517
2.098,-5.46076654009517
2.104,-5.45263121002021
2.11,-5.44445492057636
2.116,-5.43623838169259
2.122,-5.42798228552516
2.128,-5.41968730670742
2.134,-5.41135410259517
2.14,-5.40298331350737
2.146,-5.39457556296243
2.152,-5.38613145790985
2.158,-5.37765158895727
2.164,-5.36913653059298
2.17,-5.36058684140386
2.176,-5.35200306428866
2.182,-5.34338572666679
2.188,-5.33473534068248
2.194,-5.32605240340437
2.2,-5.31733739702055
2.206,-5.30859078902905
2.212,-5.2998130324238
2.218,-5.29100456587603
2.224,-5.28216581391119
2.23,-5.27329718708137
2.236,-5.26439908213324
2.242,-5.25547188217157
2.248,-5.24651595681826
2.254,-5.23753166236698
2.26,-5.2285193419335
2.266,-5.21947932560151
2.272,-5.21041193056424
2.278,-5.20131746126174
2.284,-5.1921962095138
2.29,-5.18304845464876
2.296,-5.17387446362798
2.302,-5.16467449116619
2.308,-5.15544877984767
2.314,-5.14619756023834
2.32,-5.13692105099368
2.326,-5.12761945896276
2.332,-5.11829297928808
2.338,-5.10894179550161
2.344,-5.09956607961681
2.35,-5.09016599221678
2.356,-5.08074168253862
2.362,-5.07129328855395
2.368,-5.06182093704573
2.374,-5.05232474368139
2.38,-5.0428048130823
2.386,-5.03326123888971
2.392,-5.02369410382716
2.398,-5.01410347975936
2.404,-5.00448942774788
2.41,-4.99485199810333
2.416,-4.98519123043439
2.422,-4.97550715369369
2.428,-4.96579978622059
2.434,-4.95606913578099
2.44,-4.94631519960422
2.446,-4.93653796441723
2.452,-4.92673740647595
2.458,-4.91691349159426
2.464,-4.90706617517037
2.47,-4.89719540221099
2.476,-4.8873011073533
2.482,-4.87738321488491
2.488,-4.86744163876192
2.494,-4.85747628262544
2.5,-4.84748703981644
2.506,-4.83747379338948
2.512,-4.82743641612525
2.518,-4.81737477054235
2.524,-4.80728870890846
2.53,-4.79717807325119
2.536,-4.78704269536893
2.542,-4.77688239684197
2.548,-4.76669698904427
2.554,-4.75648627315622
2.56,-4.74625004017882
2.566,-4.73598807094959
2.572,-4.72570013616089
2.578,-4.71538599638087
2.584,-4.70504540207781
2.59,-4.69467809364831
2.596,-4.68428380144995
2.602,-4.67386224583919
2.608,-4.66341313721506
2.614,-4.65293617606962
2.62,-4.64243105304583
2.626,-4.63189744900401
2.632,-4.62133503509748
2.638,-4.61074347285889
2.644,-4.60012241429804
2.65,-4.58947150201261
2.656,-4.57879036931304
2.662,-4.56807864036317
2.668,-4.5573359303379
2.674,-4.54656184559998
2.68,-4.53575598389732
2.686,-4.52491793458312
2.692,-4.51404727886084
2.698,-4.50314359005621
2.704,-4.49220643391901
2.71,-4.48123536895708
2.716,-4.47022994680567
2.722,-4.45918971263513
2.728,-4.44811420560044
2.734,-4.43700295933633
2.74,-4.42585550250181
2.746,-4.41467135937861
2.752,-4.4034500505281
2.758,-4.39219109351187
2.764,-4.38089400368124
2.77,-4.36955829504198
2.776,-4.35818348120029
2.782,-4.3467690763973
2.788,-4.33531459663946
2.794,-4.3238195609331
2.8,-4.31228349263195
2.806,-4.30070592090719
2.812,-4.28908638235056
2.818,-4.27742442272164
2.824,-4.26571959885161
2.83,-4.25397148071673
2.836,-4.24217965369588
2.842,-4.23034372102776
2.848,-4.21846330648462
2.854,-4.20653805728084
2.86,-4.19456764723632
2.866,-4.18255178021614
2.872,-4.17049019386989
2.878,-4.15838266369627
2.884,-4.14622900746016
2.89,-4.1340290899924
2.896,-4.12178282840458
2.902,-4.10949019775396
2.908,-4.09715123719703
2.914,-4.08476605667294
2.92,-4.07233484416187
2.926,-4.05985787356734
2.932,-4.04733551327525
2.938,-4.03476823544738
2.944,-4.02215662611153
2.95,-4.00950139611614
2.956,-3.9968033930226
2.962,-3.9840636140149
2.968,-3.97128321991267
2.974,-3.95846355038105
2.98,-3.94560614043831
2.986,-3.93271273837075
2.992,-3.91978532517296
2.998,-3.90682613564128
3.004,-3.89383768125852
3.01,-3.88082277501879
3.016,-3.86778455835271
3.022,-3.85472653032603
3.028,-3.84165257929695
3.034,-3.82856701723172
3.04,-3.81547461689177
3.046,-3.80238065212082
3.052,-3.78929094147557
3.058,-3.77621189545892
3.064,-3.76315056763091
3.07,-3.75011470988799
3.076,-3.73711283221642
3.082,-3.7241542672408
3.088,-3.7112492399016
3.094,-3.6984089426077
3.1,-3.68564561621882
3.106,-3.67297263721902
3.112,-3.66040461144367
3.118,-3.64795747471807
3.124,-3.63564860075492
3.13,-3.6234969166369
3.136,-3.61152302617956
3.142,-3.59974934142387
3.148,-3.58820022244605
3.154,-3.57690212558968
3.16,-3.56588376011851
3.166,-3.55517625315285
3.172,-3.54481332258249
3.178,-3.53483145743929
3.184,-3.5252701049559
3.19,-3.51617186322616
3.196,-3.50758267801037
3.202,-3.4995520417855
3.208,-3.49213319261888
3.214,-3.48538330983458
3.22,-3.47936370273712
3.226,-3.47413998784975
3.232,-3.4697822492092
3.238,-3.46636517523347
3.244,-3.46396816454502
3.25,-3.46267539189687
3.256,-3.46257582402739
3.262,-3.46376317388785
3.268,-3.46633578027942
3.274,-3.47039639855783
3.28,-3.4760518867823
3.286,-3.4834127705906
3.292,-3.49259266928666
3.298,-3.50370756526548
3.304,-3.51687489913091
3.31,-3.53221247386317
3.316,-3.54983715335922
3.322,-3.56986334379966
3.328,-3.59240125078349
3.334,-3.61755491118538
3.34,-3.6454200063479
3.346,-3.67608147256901
3.352,-3.70961093582203
3.358,-3.74606401005517
3.364,-3.78547751189928
3.37,-3.82786665862082
3.376,-3.87322232995311
3.382,-3.92150848709959
3.388,-3.97265985265554
3.394,-4.02657996227209
3.4,-4.0831397014144
3.406,-4.14217643747476
3.412,-4.20349384794435
3.418,-4.26686252884094
3.424,-4.33202144412177
3.43,-4.3986802469404
