"Freq [GHz]","dB(St(1,1)) []"
1,-12.8496188404188
1.006,-16.2364337855988
1.012,-13.6269135477784
1.018,-10.4637763716027
1.024,-10.022645575604
1.03,-9.98804201192036
1.036,-10.0177014443607
1.042,-10.0505546038745
1.048,-10.07408476221
1.054,-10.0867869287116
1.06,-10.090025633586
1.066,-10.085852644905
1.072,-10.0763357753177
1.078,-10.0633400832579
1.084,-10.0484629194891
1.09,-10.0330264113411
1.096,-10.0180923761582
1.102,-10.0044855104346
1.108,-9.99281855103415
1.114,-9.98351634399802
1.12,-9.97683707290088
1.126,-9.97288863187452
1.132,-9.97163083205881
1.138,-9.97268717380896
1.144,-9.97729857598661
1.15,-9.98281165076101
1.156,-9.99008927144035
1.162,-9.99845022556143
1.168,-10.0072712010543
1.174,-10.0158688630261
1.18,-10.023500103747
1.186,-10.029376415093
1.192,-10.032688226455
1.198,-10.0326425527108
1.204,-10.0285302259823
1.21,-10.020541113052
1.216,-10.0052570066052
1.222,-9.98609492790385
1.228,-9.96194044689348
1.234,-9.93370870051197
1.24,-9.90292473583144
1.246,-9.87186290673005
1.252,-9.84361224014559
1.258,-9.82207851759313
1.264,-9.81189565333945
1.27,-9.81814249242459
1.276,-9.84482496749766
1.282,2.48657297042993
1.288,1.80650154255269
1.294,1.04543528235566
1.3,0.275424104836213
1.306,-0.465068771924652
1.312,-1.15860518056952
1.318,-1.79928125608179
1.324,-2.38708592553268
1.33,-2.9247451585397
1.336,-3.41613218119282
1.342,-3.86542818099182
1.348,-4.27672157952319
1.354,-4.65371388955133
1.36,-5.00018780278415
1.366,-5.31890864974229
1.372,-5.61274901503832
1.378,-5.88410869978146
1.384,-6.13510283605046
1.39,-6.36772187347298
1.396,-6.58345279942877
1.402,-6.78384450901812
1.408,-6.97015845725806
1.414,-7.14351538825703
1.42,-7.30496661218982
1.426,-7.4552721451492
1.432,-7.59535044937286
1.438,-7.72586943018041
1.444,-7.84746824105774
1.45,-7.96072104436276
1.456,-8.06614646009763
1.462,-8.16421570443696
1.468,-8.2553588145438
1.474,-8.33996781764906
1.48,-8.41839074896423
1.486,-8.49086190569318
1.492,-8.54324937332736
1.498,-8.62108599957097
1.504,-8.67800013464996
1.51,-8.73046958548032
1.516,-8.77862451865491
1.522,-8.82268402470148
1.528,-8.86287116048578
1.534,-8.89940171403845
1.54,-8.93248185059854
1.546,-8.96230765996544
1.552,-8.98906524230917
1.558,-9.01293097328882
1.564,-9.021821513117
1.57,-8.99399454159104
1.576,-8.96767665970289
1.582,-8.94271905912803
1.588,-8.91898969244203
1.594,-8.89637109573539
1.6,-8.87475852306465
1.606,-8.85405834455046
1.612,-8.83418666778952
1.618,-8.81506814879141
1.624,-8.796634964099
1.63,-8.7788259202866
1.636,-8.76158568080807
1.642,-8.74486409331744
1.648,-8.72861560321379
1.654,-8.71279874136114
1.66,-8.69737567577406
1.666,-8.68231181860365
1.672,-8.66757548105368
1.678,-8.65313756994595
1.684,-8.63897132056842
1.69,-8.62505206120628
1.696,-8.61135700539524
1.702,-8.5978650684618
1.708,-8.58455670533551
1.714,-8.57141376693524
1.72,-8.5584193726363
1.726,-8.54555779639868
1.732,-8.53281436403666
1.738,-8.52017535876525
1.744,-8.50762793144139
1.75,-8.49516001060674
1.756,-8.48276020513973
1.762,-8.47041768832375
1.768,-8.45812204509422
1.774,-8.44586305153592
1.78,-8.43363033206965
1.786,-8.42141279388976
1.792,-8.40919764447007
1.798,-8.39696859405865
1.804,-8.38470236629119
1.81,-8.37236140296277
1.816,-8.35987703561686
1.822,-8.3471049612853
1.828,-8.33368076803263
1.834,-8.3183606065067
1.84,-8.29260828064713
1.846,-8.35646001495415
1.852,-8.30589755235921
1.858,-8.28924361870134
1.864,-8.27599799998343
1.87,-8.26394499379153
