"Freq [GHz]","dB(St(1,1)) []"
1,-13.0314410235087
1.006,-12.4023620466972
1.012,-11.5611353521411
1.018,-10.6308435947229
1.024,-9.69650208052921
1.03,-8.8084915552804
1.036,-7.95872675959827
1.042,-7.24263661612398
1.048,-6.59147381807897
1.054,-6.02527967566909
1.06,-5.54245926187571
1.066,-5.13883487091889
1.072,-4.81439569073122
1.078,-4.55253017280689
1.084,-4.3558649912168
1.09,-4.21730973936563
1.096,-4.13173537203676
1.102,-4.09433465207726
1.108,-4.10054421134713
1.114,-4.14604558764442
1.12,-4.22677578681215
1.126,-4.33893026622082
1.132,-4.47893950918235
1.138,-4.64310502703626
1.144,-4.83106149711868
1.15,-5.03591118013826
1.156,-5.25742794271578
1.162,-5.49300333031958
1.168,-5.74048106184154
1.174,-5.99792023372885
1.18,-6.2635634592894
1.186,-6.53582065774154
1.192,-6.8132561011024
1.198,-7.09457672756041
1.204,-7.37862132713083
1.21,-7.6643544923543
1.216,-7.95083112256489
1.222,-8.23724553154174
1.228,-8.5228583425839
1.234,-8.80702476118659
1.24,-9.08917852762367
1.246,-9.36882529126233
1.252,-9.64553633116405
1.258,-9.91894285829384
1.264,-10.1887311900625
1.27,-10.4546403538903
1.276,-10.7164781344185
1.282,-17.1518456666743
1.288,-17.2799838983796
1.294,-17.394391614401
1.3,-17.4971410814921
1.306,-17.5884295331613
1.312,-17.6690270102928
1.318,-17.7395715058763
1.324,-17.8006569072314
1.33,-17.8531227615779
1.336,-17.8977862339695
1.342,-17.9353207227287
1.348,-17.9665576746317
1.354,-17.992175822084
1.36,-18.0131137105528
1.366,-18.0298509319867
1.372,-18.0430709166137
1.378,-18.0534914476356
1.384,-18.0615791975235
1.39,-18.0679519609094
1.396,-18.0729606554848
1.402,-18.0771229826946
1.408,-18.0808268126279
1.414,-18.0844235030324
1.42,-18.0882038541057
1.426,-18.092429711743
1.432,-18.0974991587211
1.438,-18.1034430105085
1.444,-18.1105180418573
1.45,-18.1188942746725
1.456,-18.1287392210715
1.462,-18.1400645461083
1.468,-18.1530968379234
1.474,-18.1678670301362
1.48,-18.1844447250712
1.486,-18.202873139322
1.492,-18.2212759129491
1.498,-18.2457077935889
1.504,-18.2699874247351
1.51,-18.2962922902889
1.516,-18.3246189621349
1.522,-18.3549717939932
1.528,-18.3873521923988
1.534,-18.4217576907085
1.54,-18.4581821521579
1.546,-18.4966161712331
1.552,-18.5370474945478
1.558,-18.579461416942
