"Freq [GHz]","dB(St(1,1)) []"
1,-21.9081746190092
1.006,-12.5917549880976
1.012,-12.2329400524426
1.018,-12.3998360498422
1.024,-12.6196695779837
1.03,-12.8257303413207
1.036,-13.0061274150162
1.042,-13.1587529020893
1.048,-13.2914551208494
1.054,-13.4080083802506
1.06,-13.5123346990375
1.066,-13.6075095005172
1.072,-13.6959314016505
1.078,-13.7789224948921
1.084,-13.8576643469059
1.09,-13.9326168281634
1.096,-14.0038751069013
1.102,-14.0711972315131
1.108,-14.1340503252813
1.114,-14.1916433640443
1.12,-14.2429482015704
1.126,-14.2867131004502
1.132,-14.3214825347016
1.138,-14.3458257058091
1.144,-14.3578200768446
1.15,-14.356126889304
1.156,-14.3392858515195
1.162,-14.3061708170961
1.168,-14.256226577301
1.174,-14.1895808128834
1.18,-14.1072070611784
1.186,-14.0110307580692
1.192,-13.9039283815533
1.198,-13.7895853764974
1.204,-13.6722081232697
1.21,-13.556125178844
1.216,-13.445349423418
1.222,-13.3431893141185
1.228,-13.2519851686387
1.234,-13.1730097759256
1.24,-13.1065275156288
1.246,-13.051970508926
1.252,-13.0081747304447
1.258,-12.9736235630658
1.264,-12.9466648043497
1.27,-12.9257006596156
1.276,-12.909529955256
1.282,-12.8967963114663
1.288,-12.8870671159176
1.294,-12.879626650879
1.3,-12.874150282848
1.306,-12.8704345647025
1.312,-12.8682545026367
1.318,-12.8706977033523
1.324,-12.8715607351921
1.33,-12.8760568279049
1.336,-12.8834389505286
1.342,-12.8940097784732
1.348,-12.9077146607713
1.354,-12.9298743524342
1.36,-12.9523210710754
1.366,-12.9815667505515
1.372,-13.017367324604
1.378,-13.0604887210707
1.384,-13.1118690539711
1.39,-13.1725810873742
1.396,-13.2438415218465
1.402,-13.3270309975804
1.408,-13.4237198879316
1.414,-13.5357004320025
1.42,-13.6650661102086
1.426,-13.8139001193841
1.432,-13.9852098892156
1.438,-14.1818682768508
1.444,-14.4073439024605
1.45,-14.6655379245176
1.456,-14.9608022353068
1.462,-15.297902420245
1.468,-15.681892975566
1.474,-16.1178324327334
1.48,-16.6102096891221
1.486,-17.1618578770054
1.492,-17.7719826803329
1.498,-18.432741826673
1.504,-19.1237334429422
1.51,-19.8043633371383
1.516,-20.4067633392105
1.522,-20.8379786142659
1.528,-21.0044843458136
1.534,-20.8575383254481
1.54,-20.4241173589892
1.546,-19.7896329012227
1.552,-19.0519768359142
1.558,-18.2886562248861
1.564,-17.8122847986505
1.57,-18.1413862619098
1.576,-18.4679861079213
1.582,-18.7904770121329
1.588,-19.1072691966389
1.594,-19.4168170208396
1.6,-19.7176437029898
1.606,-20.0083495437813
1.612,-20.2875455258682
1.618,-20.5534510215838
1.624,-20.8016955882521
1.63,-21.0095006366851
1.636,-20.9136870070237
1.642,-19.4235552425804
