"Freq [GHz]","dB(St(1,1)) []"
1,-0.235061943510339
1.006,-5.88807965688178
1.012,-4.17549687666759
1.018,-1.21482629776508
1.024,-1.4173021244445
1.03,-4.33673576115957
1.036,-6.96966033144244
1.042,-9.02723097743
1.048,-10.6803014676835
1.054,-12.0615227243856
1.06,-13.2437765616336
1.066,-14.2647132156958
1.072,-15.1433233448721
1.078,-15.8888929255594
1.084,-16.5087562020895
1.09,-17.0100817755109
1.096,-17.4015474877932
1.102,-17.6929199142346
1.108,-17.8940111413473
1.114,-18.0136320892861
1.12,-18.058893032197
1.126,-18.0350706707871
1.132,-17.9458985046832
1.138,-17.7940089926851
1.144,-17.6761173017351
1.15,-17.3099625446509
1.156,-16.9845212896443
1.162,-16.6131941786567
1.168,-16.1894146898826
1.174,-15.719285743213
1.18,-15.2098693535052
1.186,-14.6664976430228
1.192,-14.092771073655
1.198,-13.4912764189168
1.204,-12.865538670809
1.21,-12.2808181725967
1.216,-11.4952143801814
1.222,-10.791050772096
1.228,-10.053197552784
1.234,-9.28590426264047
1.24,-8.48987647916488
1.246,-7.66591250748351
1.252,-6.8158702723244
1.258,-5.943594980295
1.264,-5.05605707439746
1.27,-4.16419060085378
1.276,-3.27671204318714
1.282,-14.5942940909197
1.288,-14.6388777392621
1.294,-14.6547755631291
1.3,-14.6746240175926
1.306,-14.7016376985947
1.312,-14.734614478518
1.318,-14.7757684899794
1.324,-14.8264848986438
1.33,-14.8887646117877
1.336,-14.9646594517806
1.342,-15.0566009434365
1.348,-15.1674545755778
1.354,-15.3004900860609
1.36,-15.4599469778215
1.366,-15.6505726695405
1.372,-15.8783567064204
1.378,-16.1506921468781
1.384,-16.4768726656043
1.39,-16.8687872225306
1.396,-17.3419684800373
1.402,-17.9172968152198
1.408,-18.6242915313968
1.414,-19.5115412212984
1.42,-20.8126547941613
1.426,-21.9937882563743
1.432,-23.7619531929448
1.438,-25.8157540379393
1.444,-27.204315766616
1.45,-25.9816702713159
1.456,-22.9128438719302
1.462,-19.77787367132
1.468,-17.0207656889827
1.474,-14.6222602007352
1.48,-12.5106072841234
1.486,-10.630707648522
1.492,-8.95251821390632
1.498,-7.44308194578826
1.504,-6.1098384649057
1.51,-4.93720193650668
1.516,-3.95186894512327
1.522,-3.12519615423788
1.528,-2.53357915737854
1.534,-1.97056485978444
1.54,-1.60065042859944
1.546,-1.19875407074516
1.552,-1.1037761550196
1.558,-0.997281564348911
1.564,-0.987673833825356
1.57,-1.18651342945045
1.576,-1.44708708827389
1.582,-1.75893881896032
1.588,-2.1098539392265
1.594,-2.48726180772328
1.6,-2.87932304905778
1.606,-3.27560449140051
1.612,-3.66738105081431
1.618,-4.04766744659934
1.624,-4.41108851659962
1.63,-4.75367380419308
1.636,-5.07263243008505
1.642,-5.36613930575038
1.648,-5.6331466098146
1.654,-5.87322427606061
1.66,-6.08642798346447
1.666,-6.27319083473041
1.672,-6.43423399968229
1.678,-6.57049057088193
1.684,-6.68303239826517
1.69,-6.7729643928595
1.696,-6.84102917925004
1.702,-6.87577185457003
1.708,-6.92886687747803
1.714,-6.9410297824037
1.72,-6.93925974055274
1.726,-6.92365799909142
1.732,-6.89533891136518
1.738,-6.85552273473833
1.744,-6.80542289862448
1.75,-6.74621722640306
1.756,-6.67903731798602
1.762,-6.60496374209877
1.768,-6.52502368699756
1.774,-6.4401898959972
1.78,-6.3513803942053
1.786,-6.2594587837258
1.792,-6.16523503593696
1.798,-6.06946685205048
1.804,-5.9728618947886
1.81,-5.87608172752158
1.816,-5.77974981748634
1.822,-5.6844712119396
1.828,-5.59089471656517
1.834,-5.50000017413831
1.84,-5.41612972379995
1.846,-5.30150906992735
1.852,-5.2292651606953
1.858,-5.14983573632782
1.864,-5.07268531128384
1.87,-4.99879885376577
1.876,-4.92853713484658
1.882,-4.86210043908292
1.888,-4.7996166681422
1.894,-4.74116774446501
1.9,-4.68680029417721
1.906,-4.63653106309503
1.912,-4.59035006619137
