"Freq [GHz]","dB(St(1,1)) []"
1,-11.4311648979963
1.006,-6.90651141877864
1.012,-5.51789507015551
1.018,-17.4065452834474
1.024,-23.1907281704331
1.03,-26.1600625506887
1.036,-26.4294214078996
1.042,-25.1285545071405
1.048,-23.7564484438369
1.054,-22.5859035910153
1.06,-21.6447393890844
1.066,-20.9009162326396
1.072,-20.296727008632
1.078,-19.8433381623596
1.084,-19.4841007332821
1.09,-19.2070094752415
1.096,-18.9975458437929
1.102,-18.8438256743602
1.108,-18.736052989299
1.114,-18.6659644568587
1.12,-18.6264095020554
1.126,-18.6110851961463
1.132,-18.6146280929568
1.138,-18.637378404612
1.144,-18.6375380834146
1.15,-18.6666468821596
1.156,-18.6877615417424
1.162,-18.6998782068715
1.168,-18.698816605239
1.174,-18.6804038194597
1.18,-18.6408560359939
1.186,-18.5769481723081
1.192,-18.4861229332305
1.198,-18.3665490462722
1.204,-18.2171224763647
1.21,-18.0374078254369
1.216,-17.8275248146021
1.222,-17.5879919364373
1.228,-17.3195436334424
1.234,-17.0229378288478
1.24,-16.6987677345968
1.246,-16.3472868187273
1.252,-15.9682500026542
1.258,-15.5607684754072
1.264,-15.1231695556153
1.27,-14.6528405001596
1.276,-14.145931058138
1.282,-13.4396352143483
1.288,-13.4252672262638
1.294,-13.4236231122913
1.3,-13.4359501469069
1.306,-13.459223006076
1.312,-13.4888627373366
1.318,-13.520007376864
1.324,-13.5480543577674
1.33,-13.5689055514961
1.336,-13.5790591222516
1.342,-13.5756666684078
1.348,-13.5565641453367
1.354,-13.5621598683817
1.36,-13.3376427317117
1.366,-13.3912267287459
1.372,-13.3053808816777
1.378,-13.197401676764
1.384,-13.075807994158
1.39,-12.9407540438159
1.396,-12.7942508496033
1.402,-12.6383076143799
1.408,-12.4749686289339
1.414,-12.3063076540641
1.42,-12.1362029290331
1.426,-10.5976875053559
1.432,-10.8963881305978
1.438,-11.1157989935904
1.444,-11.2240313777435
1.45,-11.2138652413099
1.456,-11.1068943048361
1.462,-10.943453450578
1.468,-10.7698920706975
1.474,-10.6402651846839
1.48,-10.6847363357322
1.486,-13.1583014516579
1.492,-9.05491328116115
1.498,-9.32229583565003
1.504,-9.33623929123594
1.51,-9.30709839086412
1.516,-9.27089047931719
1.522,-9.23736061067279
1.528,-9.20937822886204
1.534,-9.18753166203122
1.54,-9.17158057578264
1.546,-9.1609944912354
1.552,-9.15516967717273
1.558,-9.15351834715364
1.564,-9.15279564075867
1.57,-9.14502111195604
1.576,-9.13704953838431
1.582,-9.12900006264715
1.588,-9.12097964683639
1.594,-9.11308411334701
1.6,-9.10539862890959
1.606,-9.09799704206845
1.612,-9.09093807305267
1.618,-9.08424980581098
1.624,-9.07784723252882
1.63,-9.07038198762518
1.636,-9.07106097957186
1.642,-9.06519434903171
1.648,-9.06136933529746
1.654,-9.05849878751695
1.66,-9.0564907225087
1.666,-9.05534707055719
1.672,-9.05509052627242
1.678,-9.05574998552076
1.684,-9.05735671329071
1.69,-9.05994430495517
1.696,-9.06355662356852
1.702,-9.06852659259359
1.708,-9.073694822422
1.714,-9.0805255169119
1.72,-9.08844155609852
1.726,-9.0975014012853
1.732,-9.10773858018142
1.738,-9.11918308088886
1.744,-9.13186396191306
1.75,-9.14581000337636
1.756,-9.16104995008706
1.762,-9.1776126327297
1.768,-9.1955270415789
1.774,-9.21482237668942
1.78,-9.23552808343448
1.786,-9.25767387686138
1.792,-9.2812897559174
1.798,-9.30640600692715
1.804,-9.33305319345203
1.81,-9.36126212469991
1.816,-9.39106378054951
1.822,-9.42248912246035
1.828,-9.4555685036691
1.834,-9.49032898078547
1.84,-9.52676609955793
1.846,-9.56526671992145
1.852,-9.60518639467471
1.858,-9.64702085350614
1.864,-9.69071680783959
1.87,-9.73629938955533
1.876,-9.78379915336263
1.882,-9.8332478405184
1.888,-9.88467783161385
1.894,-9.93812280653761
1.9,-9.99362111801586
1.906,-10.051235268062
1.912,-10.1114164331509
1.918,-10.1720421585353
1.924,-10.2361740119791
1.93,-10.3023016481444
1.936,-10.3705884258354
1.942,-10.4410701592068
1.948,-10.5137614296485
1.954,-10.5886612581125
1.96,-10.6657440744487
1.966,-10.7449318287999
1.972,-10.8260151727626
1.978,-10.9086346577371
1.984,-11.3349621682534
1.99,-11.1045877806571
1.996,-11.1881178992722
2.002,-11.279949277156
2.008,-11.3753945298433
2.014,-11.4736942018923
2.02,-11.5746208750154
2.026,-11.6780829146515
2.032,-11.7840349864126
2.038,-11.89244990535
2.044,-12.0033075074173
2.05,-12.1165891520273
2.056,-12.2322740861623
2.062,-12.3503360409782
2.068,-12.4707390324369
2.074,-12.5934313652057
2.08,-12.7183365361826
2.086,-12.8453391108201
2.092,-12.9742626002234
2.098,-13.1048347166853
2.104,-13.2366328989455
2.11,-13.3689995334982
2.116,-13.5009122732097
2.122,-13.6307926338387
2.128,-13.7624428908645
2.134,-13.9002726193256
2.14,-14.0399711492041
2.146,-14.1814275533303
2.152,-14.3245253536087
2.158,-14.4691425782036
2.164,-14.6151518423651
2.17,-14.7624204577285
2.176,-14.9108105754262
2.182,-15.0601793687945
2.188,-15.2103792618355
2.194,-15.3612582098584
2.2,-15.5126600388592
2.206,-15.6644248501667
2.212,-15.8163894966494
2.218,-15.9683881363139
2.224,-16.1202528683968
2.23,-16.2718144560318
2.236,-16.4229031382475
2.242,-16.5733495323987
2.248,-16.722985626178
2.254,-16.8716458561064
2.26,-17.0191682669233
2.266,-17.1653957436778
2.272,-17.3101773056829
2.278,-17.4533694490428
2.284,-17.5948375224586
2.29,-17.7344571198619
2.296,-17.8721154736998
2.302,-18.0077128352734
2.308,-18.1411638348275
2.314,-18.2723988263928
2.32,-18.4013652447121
2.326,-18.5280290411244
2.332,-18.6523763356103
2.338,-18.7744155499795
2.344,-18.8941805274323
2.35,-19.0117356162221
2.356,-19.1271846774557
2.362,-19.2406881618201
2.368,-19.3524976779972
2.374,-19.4630316168469
2.38,-19.5730587187397
2.386,-19.6842157295066
2.392,-19.800850481819
2.398,-19.9399755433208
2.404,-20.2970005745935
2.41,-19.8262526995499
2.416,-20.0392642899956
2.422,-20.1575878654806
2.428,-20.2563720898971
2.434,-20.3460736711245
2.44,-20.4294440773631
2.446,-20.5072305788636
2.452,-20.5793990108861
2.458,-20.6454988417759
2.464,-20.7047935700281
2.47,-20.7563128080891
2.476,-20.7988763282263
2.482,-20.8311099586429
2.488,-20.8514630213525
2.494,-20.8582330704308
2.5,-20.8496017853798
2.506,-20.8236844730241
2.512,-20.7785941033608
2.518,-20.7125189097085
2.524,-20.6238103373895
2.53,-20.5110757701729
2.536,-20.3732684319465
2.542,-20.2097656814864
2.548,-20.0204270577678
2.554,-19.8056251116114
2.56,-19.5662451124282
2.566,-19.3036535877845
2.572,-19.0196395289114
2.578,-18.7163351665517
2.584,-18.3961249276506
2.59,-18.0615513579675
2.596,-17.7152256583335
2.602,-17.3597485042329
2.608,-16.9976445396644
2.614,-16.6313118116334
2.62,-16.2629857288166
2.626,-15.8947159987425
2.632,-15.5283543978337
2.638,-15.1655510542256
2.644,-14.8077570430119
2.65,-14.4562313835509
2.656,-14.1120508902777
2.662,-13.7761216940101
2.668,-13.4491915793646
2.674,-13.1318625561738
2.68,-12.8246032937601
2.686,-12.5277612004292
2.692,-12.2415740349754
2.698,-11.9661810023897
2.704,-11.7016333222907
2.71,-11.4479042747612
2.716,-11.2048987316775
2.722,-10.9724621780567
2.728,-10.7503892216605
2.734,-10.5384315829481
2.74,-10.3363055531907
2.746,-10.1436989069466
2.752,-9.96027725628911
2.758,-9.78568983786275
2.764,-9.61957472942307
2.77,-9.46156349930167
2.776,-9.31128529951779
2.782,-9.16837042041618
2.788,-9.03245333124512
2.794,-8.90317523664154
2.8,-8.78018618334973
2.806,-8.66314675457721
2.812,-8.55172939120294
2.818,-8.44561937969458
2.824,-8.3445155462081
2.83,-8.24813069511439
2.836,-8.15619182830928
2.842,-8.06844017930311
2.848,-7.98463109342729
2.854,-7.90453378269909
2.86,-7.82793098109388
2.866,-7.75461852332463
2.872,-7.68440486785626
2.878,-7.61711058295237
2.884,-7.55256781329325
2.89,-7.49061974449547
2.896,-7.43112008439554
2.902,-7.37393258458957
2.908,-7.3189306362683
2.914,-7.26599699707787
2.92,-7.21502375522563
2.926,-7.16591275060786
2.932,-7.11857695449163
2.938,-7.07294408646523
2.944,-7.02896621776867
2.95,-6.98664867439804
2.956,-6.94616143814886
2.962,-6.90854169945854
