"Freq [GHz]","dB(St(1,1)) []"
1,-3.62180211650199
1.006,-6.58699787024269
1.012,-6.84045342918448
1.018,-6.08662784230069
1.024,-5.3754032171386
1.03,-5.16560994601565
1.036,-5.10923946062934
1.042,-5.10718678899041
1.048,-5.1262223824417
1.054,-5.15358508144632
1.06,-5.1839296729947
1.066,-5.21490915366766
1.072,-5.2454849966609
1.078,-5.27521945321169
1.084,-5.30395839171501
1.09,-5.33168189836074
1.096,-5.35843142666452
1.102,-5.38427356743701
1.108,-5.40928198956531
1.114,-5.43352864549546
1.12,-5.45707978946844
1.126,-5.47999452296759
1.132,-5.50232467293808
1.138,-5.52411537462178
1.144,-5.54540603283842
1.15,-5.56623150111984
1.156,-5.58662341215728
1.162,-5.60661164955475
1.168,-5.62622598837652
1.174,-5.64549796099763
1.18,-5.66446303187847
1.186,-5.68316319476982
1.192,-5.70165014254533
1.198,-5.71998920757787
1.204,-5.73826433442075
1.21,-5.75658443320063
1.216,-5.77509158069169
1.222,-5.79397169918871
1.228,-5.81346856879196
1.234,-5.83390234149189
1.24,-5.85569416040073
1.246,-5.87939909306752
1.252,-5.90575043020664
1.258,-5.93571956817014
1.264,-5.97059729564162
1.27,-6.01210446760047
1.276,-6.06254288128066
1.282,-3.77643647992255
1.288,-3.78689590907295
1.294,-3.79759597280067
1.3,-3.80763266264902
1.306,-3.81665808869162
1.312,-3.8243613666276
1.318,-3.83046104500641
1.324,-3.83470524523338
1.33,-3.8368707931358
1.336,-3.8367564544048
1.342,-3.83414634811962
1.348,-3.82839961594
1.354,-3.82409463089898
1.36,-3.81258716496773
1.366,-3.79954879257388
1.372,-3.78399383074986
1.378,-3.76586166441513
1.384,-3.74518071813693
1.39,-3.72201207824627
1.396,-3.69643477195637
1.402,-3.66853476135808
1.408,-3.63838181471307
1.414,-3.60591810249751
1.42,-3.5687619009596
1.426,-3.54403735298391
1.432,-3.49806353763314
1.438,-3.45783259100418
1.444,-3.41713049380997
1.45,-3.37551356352006
1.456,-3.33288051961342
1.462,-3.29099612582513
1.468,-3.24869485611635
1.474,-3.2070906467316
1.48,-3.1665883238568
1.486,-3.12764116717428
1.492,-3.0996281354446
1.498,-3.05456743383147
1.504,-3.02188238660298
1.51,-2.99161118807975
1.516,-2.96394737889437
1.522,-2.93895249640053
1.528,-2.916572798561
1.534,-2.89680268863941
1.54,-2.87932512864988
1.546,-2.86614351049122
1.552,-2.851838596578
1.558,-2.84051742605178
1.564,-2.83096000858337
1.57,-2.8233543281808
1.576,-2.81711137955871
1.582,-2.81212115617093
1.588,-2.80828191513617
1.594,-2.8055001178129
1.6,-2.80369060550363
1.606,-2.80277743465985
1.612,-2.8026967489842
1.618,-2.80340749878973
1.624,-2.80494742291453
1.63,-2.80821020416166
1.636,-2.80694229796768
1.642,-2.81109693479142
1.648,-2.81483088595521
1.654,-2.81887734316214
1.66,-2.82329425047875
1.666,-2.82807903350221
1.672,-2.83321946339743
1.678,-2.83870634717619
1.684,-2.84454430208933
1.69,-2.85078255495226
1.696,-2.85769620947385
1.702,-2.87177211584461
1.708,-2.86751535888546
1.714,-2.87565891193862
1.72,-2.88322164639422
1.726,-2.890834011585
1.732,-2.89859913657756
1.738,-2.9065478413823
1.744,-2.91469308295723
1.75,-2.92304309202624
1.756,-2.93160722621757
1.762,-2.94040538059428
1.768,-2.94952897150161
1.774,-2.95534784696106
1.78,-2.96752236825908
1.786,-2.97726971290242
1.792,-2.98717016018553
1.798,-2.99729011490945
1.804,-3.00765032983233
1.81,-3.01826395325688
1.816,-3.02914238323065
1.822,-3.04029676043535
1.828,-3.05173841824075
1.834,-3.06347879996006
1.84,-3.07552648172176
1.846,-3.08793333891778
1.852,-3.10063945911858
1.858,-3.11370993717155
1.864,-3.12715073597883
1.87,-3.14097711381873
1.876,-3.15520569233649
1.882,-3.16985401351982
1.888,-3.18494047978307
1.894,-3.20048435930676
1.9,-3.21650581017525
1.906,-3.23302591277245
1.912,-3.2500667073624
1.918,-3.26765123578062
1.924,-3.28580358675565
1.93,-3.30454894448434
1.936,-3.32391363987426
1.942,-3.34392520319296
1.948,-3.36461241507528
1.954,-3.38600534780008
1.96,-3.40813537247116
1.966,-3.43103504354839
1.972,-3.45473742775807
1.978,-3.47927118219711
1.984,-3.50417441295067
1.99,-3.53112034022545
1.996,-3.55841232790178
2.002,-3.58672321236851
2.008,-3.61608924775709
2.014,-3.64655712266212
2.02,-3.678177318349
2.026,-3.71100339812284
2.032,-3.74509210614394
2.038,-3.78050399734628
2.044,-3.81730595157739
2.05,-3.8555919383131
2.056,-3.89493853867902
2.062,-3.93654215010461
2.068,-3.97957696044801
2.074,-4.02434259329729
2.08,-4.07093531580576
2.086,-4.11944728378756
2.092,-4.16997380762865
2.098,-4.22261481921051
2.104,-4.27747549357172
2.11,-4.33466668103302
2.116,-4.39430529303065
2.122,-4.45651468363725
2.128,-4.52144194446475
2.134,-4.58920461822854
2.14,-4.65992649166203
2.146,-4.73376243733192
2.152,-4.81087466029488
2.158,-4.89143313469688
2.164,-4.97561622179618
2.17,-5.06361174901631
2.176,-5.15561952138904
2.182,-5.25185973533867
2.188,-5.35262110130027
2.194,-5.45961695594626
2.2,-5.56692412679237
2.206,-5.6824504980316
2.212,-5.80308369836479
2.218,-5.92927189883381
2.224,-6.06127020820225
2.23,-6.19654400721931
2.236,-6.34486412573314
2.242,-6.4963250558591
2.248,-6.65503673212925
2.254,-6.82127953173026
2.26,-6.9954144149999
2.266,-7.17778084308064
2.272,-7.36893695801881
2.278,-7.56919313149798
2.284,-7.77906295664097
2.29,-7.99905410451581
2.296,-8.22972463439298
2.302,-8.47132027007834
2.308,-8.72524690283387
2.314,-8.99154831410739
2.32,-9.27112329788741
2.326,-9.56479278913278
2.332,-9.87348071430743
2.338,-10.1977467230394
2.344,-10.5395554542356
2.35,-10.8994721720303
2.356,-11.2789775748887
2.362,-11.6795152106184
2.368,-12.1016749542464
2.374,-12.555797039981
2.38,-13.0306216735344
2.386,-13.53713027553
2.392,-14.0776799107803
2.398,-14.6569134319308
2.404,-15.2900308648762
2.41,-15.9531995339366
2.416,-16.675153287982
2.422,-17.4672517319462
2.428,-18.337334240785
2.434,-19.3006605941941
2.44,-20.3783671915923
2.446,-21.5998943174712
2.452,-23.0074729804892
2.458,-24.6638724371107
2.464,-26.6652112938207
2.47,-29.1530761839737
2.476,-31.7817001446503
2.482,-36.0879659727276
2.488,-36.3877784987812
2.494,-32.9812838574641
2.5,-29.739169055868
2.506,-27.2176772011819
2.512,-25.2251073900492
2.518,-23.5973198425943
2.524,-22.2291683973941
2.53,-21.0527147670824
2.536,-20.020664638522
2.542,-19.0822050716554
2.548,-18.2990439411503
2.554,-17.5936765251613
2.56,-16.9189486114543
2.566,-16.3026394845368
2.572,-15.7355116071236
2.578,-15.2108007236366
2.584,-14.7231935263809
2.59,-14.2683691046381
2.596,-13.8427429002977
2.602,-13.44329945766
2.608,-13.0674740443903
2.614,-12.71306506341
2.62,-12.3781674129658
2.626,-12.0611207724058
2.632,-11.7604688512161
2.638,-11.4749268693699
2.644,-11.2033553239298
2.65,-10.9447386239801
2.656,-10.6981675409983
2.662,-10.4628246809061
2.668,-10.2379723716392
2.674,-10.0229424980891
2.68,-9.81712791921845
2.686,-9.61997517985249
2.692,-9.45794909834372
2.698,-9.30650507392183
2.704,-9.15600510882802
2.71,-9.00672788836064
2.716,-8.85894346789075
2.722,-8.71291158383198
2.728,-8.56888016811586
2.734,-8.42708406694738
2.74,-8.28774395954533
2.746,-8.15106546841845
2.752,-8.01723844953996
2.758,-7.88643644855834
2.764,-7.75881630787662
2.77,-7.63451790896561
2.776,-7.51366403454404
2.782,-7.39636033613762
2.788,-7.28269539388765
2.794,-7.17274085718387
2.8,-7.06655165661458
2.806,-6.96416627973569
2.812,-6.86560710514823
2.818,-6.77088079124431
2.824,-6.67997871765188
2.83,-6.59287747881902
2.836,-6.50953943027927
2.842,-6.42991328890787
2.848,-6.35393478889999
2.854,-6.28152739528355
2.86,-6.21260307653892
2.866,-6.14706313736568
2.872,-6.08479911185357
2.878,-6.02569371632543
2.884,-5.96962185997768
2.89,-5.91645171019815
2.896,-5.86604580814687
2.902,-5.81826222888936
2.908,-5.77295577912153
2.914,-5.72997922435875
2.92,-5.68918453641273
2.926,-5.65042415107583
2.932,-5.61355222519252
2.938,-5.57842588173605
2.944,-5.54490643113271
2.95,-5.51286055688858
2.956,-5.48216145357334
2.962,-5.45268990539755
2.968,-5.42433529397498
2.974,-5.39699652438258
2.98,-5.37058285930461
2.986,-5.34501465186413
2.992,-5.32022396869145
2.998,-5.29615509584349
3.004,-5.27276492135735
3.01,-5.2500231894836
3.016,-5.22791262298731
3.022,-5.20642891131485
3.028,-5.18558056388949
3.034,-5.16538862930585
3.04,-5.14588628272864
3.046,-5.12711828535094
3.052,-5.10914032131657
3.058,-5.09201821904363
3.064,-5.0758270653842
3.07,-5.06065022249971
3.076,-5.04657825870052
3.082,-5.0337078057688
3.088,-5.0221403564304
3.094,-5.01198101663711
3.1,-5.00333722813646
3.106,-4.99631747741537
3.112,-4.99103000747633
3.118,-4.98758154901796
3.124,-4.98607608742208
3.13,-4.98661368148276
3.136,-4.98928934904025
3.142,-4.99419203360522
3.148,-5.00140366468676
3.154,-5.01099832289299
3.16,-5.02304151898812
3.166,-5.03758959400747
3.172,-5.05468924530341
3.178,-5.07437718108105
3.184,-5.09667990364466
3.19,-5.12161361928215
3.196,-5.14918427052826
3.202,-5.17938768452937
3.208,-5.21220982943628
3.214,-5.24762716922119
3.22,-5.28560710608288
3.226,-5.32610849869193
3.232,-5.36908224394185
3.238,-5.41447190960917
3.244,-5.46221440536924
3.25,-5.5122406799392
3.256,-5.55918686054895
3.262,-5.61051759571627
3.268,-5.66644070266279
3.274,-5.72717086293931
3.28,-5.79292997508115
3.286,-5.86394757811193
3.292,-5.94046135822125
3.298,-6.02271775241915
3.304,-6.1109726646181
3.31,-6.20549231144756
3.316,-6.30655421721575
3.322,-6.41444837985989
3.328,-6.52947863254917
3.334,-6.65196422892303
3.34,-6.7822416838871
3.346,-6.92066690660634
3.352,-7.06761766802647
3.358,-7.22349645216464
3.364,-7.38873374884463
3.37,-7.56379185589111
3.376,-7.7491692715197
3.382,-7.94540577335988
3.388,-8.15308829997452
3.394,-8.37285777482641
3.4,-8.60541704255676
3.406,-8.85154012463293
3.412,-9.11208304767634
3.418,-9.38799655525464
3.424,-9.68034108514545
3.43,-9.99030448185933
3.436,-10.3192230213122
3.442,-10.6686064529125
3.448,-11.0401679133776
3.454,-11.4358597295174
3.46,-11.857916283374
3.466,-12.3089052122888
3.472,-12.7917881463595
3.478,-13.3099917041883
3.484,-13.8674880599531
3.49,-14.4688809679501
3.496,-15.1194853516905
3.502,-15.8253714008884
3.508,-16.593306597071
3.514,-17.4304471118078
3.52,-18.3434510287063
3.526,-19.3362998130972
3.532,-20.4053216158795
3.538,-21.5285195766039
3.544,-22.6450977383373
3.55,-23.6258794494823
3.556,-24.2627922499289
3.562,-24.3486216335573
3.568,-23.8417563801143
3.574,-22.9075141989147
3.58,-21.7697627994059
3.586,-20.5882105926083
3.592,-19.4450912142079
3.598,-18.373603163325
3.604,-17.3825077618113
3.61,-16.4698953408219
3.616,-15.6298068193111
3.622,-14.8551947993379
3.628,-14.1391664730489
3.634,-13.4754497898679
3.64,-12.8585184004974
